"Station Name","LORNEVILLE"
"Province","ONTARIO"
"Latitude","44.48"
"Longitude","-78.95"
"Elevation","274.30"
"Climate Identifier","6164615"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1965-01","1965","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-02","1965","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-03","1965","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-04","1965","04","7.2","","-2.6","","2.3","","19.4","","-14.4","","","M","","M","","M","0","",,"",,""
"1965-05","1965","05","19.8","","7.2","","13.5","","28.3","","-0.6","","","M","0.0","","","M","0","",,"",,""
"1965-06","1965","06","22.9","","9.8","","16.4","","31.7","","1.7","","44.5","","0.0","","44.5","","0","",,"",,""
"1965-07","1965","07","22.9","","11.1","","17.0","","28.3","","5.6","","50.3","","0.0","","50.3","","0","",,"",,""
"1965-08","1965","08","23.1","","12.5","","17.8","","33.3","","1.1","","111.0","","0.0","","111.0","","0","",,"",,""
"1965-09","1965","09","19.7","","10.4","","15.1","","28.9","S","-3.9","","85.3","","0.0","","85.3","","0","",,"",,""
"1965-10","1965","10","11.3","","2.5","E","6.9","E","23.3","","-7.8","","106.4","","0.0","T","106.4","","0","",,"",,""
"1965-11","1965","11","4.2","","-3.1","","0.6","","17.8","","-11.1","","72.1","","24.6","","96.8","","5","",,"",,""
"1965-12","1965","12","0.6","","-5.8","","-2.6","","12.2","","-18.3","","54.4","","22.4","","76.7","","0","",,"",,""
"1966-01","1966","01","-6.3","","-15.8","","-11.1","","3.9","","-28.9","","2.8","","63.5","","66.3","","10","",,"",,""
"1966-02","1966","02","-3.1","","-12.3","","-7.7","","6.7","","-27.2","","26.7","","19.8","","46.5","","5","",,"",,""
"1966-03","1966","03","2.3","","-5.3","","-1.5","","16.7","","-16.7","","31.5","","31.0","","62.5","","5","",,"",,""
"1966-04","1966","04","8.9","","-0.8","","4.1","","16.1","","-7.2","","16.0","","11.7","","27.7","","0","",,"",,""
"1966-05","1966","05","14.1","","3.1","","8.6","","26.1","","-5.0","S","56.6","","7.6","","64.3","","0","",,"",,""
"1966-06","1966","06","23.7","","11.6","","17.7","","33.3","","1.7","","51.6","","0.0","","51.6","","0","",,"",,""
"1966-07","1966","07","28.2","","14.7","","21.5","","32.8","S","7.8","","15.2","","0.0","","15.2","","0","",,"",,""
"1966-08","1966","08","24.8","","13.2","","19.0","","31.1","S","7.8","","81.8","","0.0","","81.8","","0","",,"",,""
"1966-09","1966","09","18.8","","7.3","","13.1","","26.7","","0.6","","61.5","","0.0","","61.5","","0","",,"",,""
"1966-10","1966","10","12.3","","2.7","","7.5","","23.9","","-8.9","","49.0","","0.0","","49.0","","0","",,"",,""
"1966-11","1966","11","6.9","","-0.8","","3.1","","15.0","","-11.1","","128.8","","11.7","","140.5","","0","",,"",,""
"1966-12","1966","12","-2.3","","-9.8","","-6.1","","15.6","","-22.2","","63.8","","30.7","","94.5","","5","",,"",,""
"1967-01","1967","01","-1.4","","-9.4","","-5.4","","11.7","","-26.1","","3.3","","57.7","","61.0","","10","",,"",,""
"1967-02","1967","02","-6.6","","-17.3","","-12.0","","3.3","","-32.2","","0.5","","50.8","","51.3","","25","",,"",,""
"1967-03","1967","03","0.6","","-8.8","","-4.1","","15.6","","-24.4","","7.4","","16.8","","24.1","","0","",,"",,""
"1967-04","1967","04","10.2","","0.0","","5.1","","19.4","S","-8.3","S","57.9","","0.5","","58.4","","0","",,"",,""
