"Station Name","LUCEVILLE"
"Province","QUEBEC"
"Latitude","48.52"
"Longitude","-68.37"
"Elevation","38.10"
"Climate Identifier","7054355"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1964-01","1964","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-04","1964","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-05","1964","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-06","1964","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-07","1964","07","21.4","","11.8","","16.6","","30.6","","7.2","","","M","0.0","","","M","0","",,"",,""
"1964-08","1964","08","19.3","","10.3","","14.8","","25.0","","5.6","","76.2","","0.0","","76.2","","0","",,"",,""
"1964-09","1964","09","15.8","","5.7","","10.8","","22.8","","0.0","S","46.0","","0.0","","46.0","","0","",,"",,""
"1964-10","1964","10","8.1","","","M","","M","20.0","","","M","87.9","","9.1","","97.0","","","M",,"",,""
"1964-11","1964","11","2.4","","-5.7","","-1.7","","11.1","","-15.0","S","22.9","","19.3","","42.2","","","M",,"",,""
"1964-12","1964","12","-4.4","","-12.8","","-8.6","","13.3","","-24.4","S","15.2","","63.0","","78.2","","","M",,"",,""
"1965-01","1965","01","-8.9","","-18.2","","-13.6","","6.7","","-28.9","","5.1","","24.4","","29.5","","","M",,"",,""
"1965-02","1965","02","-5.8","","-15.5","","-10.7","","5.0","","-25.0","","34.5","","27.4","","62.0","","","M",,"",,""
"1965-03","1965","03","-0.8","","-7.7","","-4.3","","5.6","S","-16.7","","2.5","","8.4","","10.9","","","M",,"",,""
"1965-04","1965","04","5.6","","-2.4","","1.6","","","M","-8.3","","18.0","","5.1","","23.1","","0","",,"",,""
"1965-05","1965","05","11.4","","3.1","","7.3","","20.0","","-2.8","","89.9","","0.0","","89.9","","0","",,"",,""
"1965-06","1965","06","20.3","E","9.3","","14.8","E","33.9","","3.3","S","47.2","","0.0","","47.2","","0","",,"",,""
