"Station Name","LUTHER DAM"
"Province","ONTARIO"
"Latitude","43.97"
"Longitude","-80.40"
"Elevation","483.10"
"Climate Identifier","6144715"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1951-01","1951","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-02","1951","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-03","1951","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-04","1951","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-05","1951","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-06","1951","06","","","","","","","","","","","","M","0.0","","","M","","",,"",,""
"1951-07","1951","07","","","","","","","","","","","165.9","","0.0","","165.9","","","",,"",,""
"1951-08","1951","08","","","","","","","","","","","55.4","","0.0","","55.4","","","",,"",,""
"1951-09","1951","09","","","","","","","","","","","84.3","","0.0","","84.3","","","",,"",,""
"1951-10","1951","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-11","1951","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-12","1951","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-01","1952","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1952-02","1952","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1952-03","1952","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1952-04","1952","04","12.8","","-0.9","","6.0","","23.3","","-7.2","","39.1","","0.0","","39.1","","","",,"",,""
"1952-05","1952","05","15.7","","7.4","","11.6","","22.8","","1.7","S","66.0","","0.0","","66.0","","","",,"",,""
"1952-06","1952","06","23.8","","","M","","M","32.2","","","M","22.9","","0.0","","22.9","","","",,"",,""
"1952-07","1952","07","25.9","","13.0","","19.5","","31.1","","4.4","","59.9","","0.0","","59.9","","","",,"",,""
"1952-08","1952","08","23.8","","11.6","","17.7","","29.4","","3.3","","64.5","","0.0","","64.5","","","",,"",,""
"1952-09","1952","09","20.8","","8.8","","14.8","","30.6","S","-0.6","","35.1","","0.0","","35.1","","","",,"",,""
"1952-10","1952","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
