"Station Name","LYTTON BOTANIE VALLEY"
"Province","BRITISH COLUMBIA"
"Latitude","50.33"
"Longitude","-121.55"
"Elevation","730.00"
"Climate Identifier","1114742"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1989-01","1989","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1989-02","1989","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1989-03","1989","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1989-04","1989","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1989-05","1989","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1989-06","1989","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1989-07","1989","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1989-08","1989","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1989-09","1989","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1989-10","1989","10","","","","","","","","","","","35.9","","0.8","","36.7","","0","",,"",,""
"1989-11","1989","11","","","","","","","","","","","18.1","","17.2","","35.3","","9","",,"",,""
"1989-12","1989","12","","","","","","","","","","","18.0","","8.0","","26.0","","4","",,"",,""
"1990-01","1990","01","","","","","","","","","","","20.1","","54.7","","74.8","","39","",,"",,""
"1990-02","1990","02","","","","","","","","","","","9.4","","30.8","","40.2","","28","",,"",,""
"1990-03","1990","03","","","","","","","","","","","10.4","E","4.5","E","14.9","E","0","",,"",,""
"1990-04","1990","04","","","","","","","","","","","13.7","","5.0","","18.7","","0","",,"",,""
"1990-05","1990","05","","","","","","","","","","","91.7","","0.0","","91.7","","0","",,"",,""
"1990-06","1990","06","","","","","","","","","","","27.5","","0.0","","27.5","","0","",,"",,""
"1990-07","1990","07","","","","","","","","","","","47.0","","0.0","","47.0","","0","",,"",,""
"1990-08","1990","08","","","","","","","","","","","24.2","","0.0","","24.2","","0","",,"",,""
"1990-09","1990","09","","","","","","","","","","","26.6","","0.0","","26.6","","0","",,"",,""
"1990-10","1990","10","","","","","","","","","","","82.0","E","1.1","E","83.1","E","0","",,"",,""
"1990-11","1990","11","","","","","","","","","","","79.4","","35.0","","114.4","","16","",,"",,""
"1990-12","1990","12","","","","","","","","","","","14.3","E","69.3","E","83.6","E","36","",,"",,""
"1991-01","1991","01","","","","","","","","","","","13.6","E","16.5","E","30.1","E","22","",,"",,""
"1991-02","1991","02","","","","","","","","","","","55.8","","2.0","","57.8","","0","",,"",,""
