"Station Name","MACPHERSON"
"Province","YUKON TERRITORY"
"Latitude","60.82"
"Longitude","-135.22"
"Elevation","686.10"
"Climate Identifier","2100FRN"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1984-01","1984","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-02","1984","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-03","1984","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-04","1984","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-05","1984","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-06","1984","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-07","1984","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-08","1984","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-09","1984","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-10","1984","10","2.2","E","-7.6","","-2.7","E","13.5","","-31.0","","1.2","","10.2","","11.4","","1","",,"",,""
"1984-11","1984","11","-9.1","","-16.4","","-12.8","","2.0","","-28.5","","0.0","","21.6","","21.6","","13","",,"",,""
"1984-12","1984","12","-14.0","","-25.8","","-19.9","","1.0","","-48.5","","0.0","","38.0","","38.0","","35","",,"",,""
"1985-01","1985","01","-0.4","","-10.7","","-5.6","","4.5","S","-28.0","","0.0","","36.2","","36.2","","42","",,"",,""
"1985-02","1985","02","-13.3","","-25.5","","-19.4","","5.5","","-46.0","","0.0","","27.2","","27.2","","47","",,"",,""
"1985-03","1985","03","0.9","","-14.9","","-7.0","","6.5","","-28.5","","0.0","","9.6","","9.6","","38","",,"",,""
"1985-04","1985","04","5.2","","-7.3","","-1.1","","9.0","S","-17.0","","0.0","","26.2","","26.2","","2","",,"",,""
"1985-05","1985","05","13.4","","-0.8","","6.3","","22.0","","-9.0","","5.2","","0.0","T","5.2","","0","",,"",,""
"1985-06","1985","06","16.8","","2.0","","9.4","","28.5","","-5.0","","53.6","","0.0","","53.6","","0","",,"",,""
