"Station Name","MAGAGUADAVIC LAKE"
"Province","NEW BRUNSWICK"
"Latitude","45.73"
"Longitude","-67.20"
"Elevation","106.70"
"Climate Identifier","8102550"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1958-01","1958","01","","","","","","","","","","","72.1","","43.2","","115.3","","28","",,"",,""
"1958-02","1958","02","","","","","","","","","","","16.5","","58.4","","74.9","","61","",,"",,""
"1958-03","1958","03","","","","","","","","","","","9.1","","45.7","","54.9","","30","",,"",,""
"1958-04","1958","04","","","","","","","","","","","79.0","","25.4","","104.4","","0","",,"",,""
"1958-05","1958","05","","","","","","","","","","","62.5","","0.0","","62.5","","","M",,"",,""
"1958-06","1958","06","","","","","","","","","","","90.9","","0.0","","90.9","","","M",,"",,""
"1958-07","1958","07","","","","","","","","","","","97.0","","0.0","","97.0","","","M",,"",,""
"1958-08","1958","08","","","","","","","","","","","114.6","","0.0","","114.6","","","M",,"",,""
"1958-09","1958","09","","","","","","","","","","","61.7","","0.0","","61.7","","","M",,"",,""
"1958-10","1958","10","","","","","","","","","","","110.0","","0.0","T","110.0","","","M",,"",,""
"1958-11","1958","11","","","","","","","","","","","94.5","","0.0","T","94.5","","5","",,"",,""
"1958-12","1958","12","","","","","","","","","","","22.6","","","M","","M","18","",,"",,""
"1959-01","1959","01","","","","","","","","","","","29.5","","21.8","","51.3","","8","",,"",,""
"1959-02","1959","02","","","","","","","","","","","17.8","","16.5","","34.3","","36","",,"",,""
"1959-03","1959","03","","","","","","","","","","","","M","43.2","","","M","","M",,"",,""
"1959-04","1959","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-05","1959","05","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1959-06","1959","06","","","","","","","","","","","131.8","","0.0","","131.8","","","M",,"",,""
"1959-07","1959","07","","","","","","","","","","","97.0","","0.0","","97.0","","","M",,"",,""
"1959-08","1959","08","","","","","","","","","","","138.9","","0.0","","138.9","","","M",,"",,""
"1959-09","1959","09","","","","","","","","","","","94.5","","0.0","","94.5","","","M",,"",,""
"1959-10","1959","10","","","","","","","","","","","170.9","","0.0","T","170.9","","","M",,"",,""
"1959-11","1959","11","","","","","","","","","","","190.0","","5.1","","195.1","","3","",,"",,""
"1959-12","1959","12","","","","","","","","","","","73.2","","21.6","","94.7","","25","",,"",,""
"1960-01","1960","01","","","","","","","","","","","45.0","","81.5","","126.5","","86","",,"",,""
"1960-02","1960","02","","","","","","","","","","","43.9","","47.8","","91.7","","119","",,"",,""
"1960-03","1960","03","","","","","","","","","","","20.6","","36.3","","56.9","","117","",,"",,""
"1960-04","1960","04","","","","","","","","","","","","M","13.5","","","M","0","",,"",,""
"1960-05","1960","05","","","","","","","","","","","101.1","","0.0","","101.1","","0","",,"",,""
"1960-06","1960","06","","","","","","","","","","","59.7","","0.0","","59.7","","0","",,"",,""
"1960-07","1960","07","","","","","","","","","","","70.6","","0.0","","70.6","","0","",,"",,""
"1960-08","1960","08","","","","","","","","","","","11.4","","0.0","","11.4","","","M",,"",,""
"1960-09","1960","09","","","","","","","","","","","51.8","","0.0","","51.8","","","M",,"",,""
"1960-10","1960","10","","","","","","","","","","","96.0","","0.0","","96.0","","","M",,"",,""
"1960-11","1960","11","","","","","","","","","","","104.1","","0.0","","104.1","","","M",,"",,""
"1960-12","1960","12","","","","","","","","","","","86.9","","43.2","","130.0","","13","",,"",,""
"1961-01","1961","01","","","","","","","","","","","0.0","","53.3","","53.3","","51","",,"",,""
"1961-02","1961","02","","","","","","","","","","","","M","","M","","M","71","",,"",,""
"1961-03","1961","03","","","","","","","","","","","3.8","","40.6","","44.5","","61","",,"",,""
"1961-04","1961","04","","","","","","","","","","","110.7","","22.9","","133.6","","0","",,"",,""
"1961-05","1961","05","","","","","","","","","","","224.8","","12.7","","237.5","","0","",,"",,""
"1961-06","1961","06","","","","","","","","","","","77.0","","0.0","","77.0","","","M",,"",,""
"1961-07","1961","07","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1961-08","1961","08","","","","","","","","","","","62.7","","0.0","","62.7","","","M",,"",,""
"1961-09","1961","09","","","","","","","","","","","95.3","","0.0","","95.3","","","M",,"",,""
"1961-10","1961","10","","","","","","","","","","","126.2","","7.6","","133.9","","0","",,"",,""
"1961-11","1961","11","","","","","","","","","","","105.2","","10.2","","115.3","","10","",,"",,""
"1961-12","1961","12","","","","","","","","","","","100.8","","48.3","","149.1","","0","T",,"",,""
"1962-01","1962","01","","","","","","","","","","","22.9","","38.1","","61.0","","20","",,"",,""
"1962-02","1962","02","","","","","","","","","","","19.3","","45.7","","65.0","","36","",,"",,""
"1962-03","1962","03","","","","","","","","","","","34.5","","33.0","","67.6","","0","T",,"",,""
"1962-04","1962","04","","","","","","","","","","","81.0","","30.5","","111.5","","0","",,"",,""
"1962-05","1962","05","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
