"Station Name","MAJORVILLE"
"Province","ALBERTA"
"Latitude","50.70"
"Longitude","-112.65"
"Elevation","914.40"
"Climate Identifier","3034166"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1962-01","1962","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-05","1962","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-06","1962","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-07","1962","07","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1962-08","1962","08","","","","","","","","","","","22.1","","0.0","","22.1","","0","",,"",,""
"1962-09","1962","09","","","","","","","","","","","34.8","","7.6","","42.4","","0","",,"",,""
"1962-10","1962","10","","","","","","","","","","","11.7","","0.0","","11.7","","0","",,"",,""
"1962-11","1962","11","","","","","","","","","","","0.0","T","2.5","","2.5","","0","",,"",,""
"1962-12","1962","12","","","","","","","","","","","0.0","","1.5","","1.5","","3","",,"",,""
"1963-01","1963","01","","","","","","","","","","","1.0","","31.8","","32.8","","30","",,"",,""
"1963-02","1963","02","","","","","","","","","","","1.3","","12.7","","14.0","","0","",,"",,""
"1963-03","1963","03","","","","","","","","","","","4.1","","7.6","","11.7","","","M",,"",,""
"1963-04","1963","04","","","","","","","","","","","3.3","","5.6","","8.9","","0","",,"",,""
"1963-05","1963","05","","","","","","","","","","","3.8","","12.7","","16.5","","0","",,"",,""
"1963-06","1963","06","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1963-07","1963","07","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1963-08","1963","08","","","","","","","","","","","16.5","","0.0","","16.5","","0","",,"",,""
"1963-09","1963","09","","","","","","","","","","","36.3","","0.0","","36.3","","0","",,"",,""
"1963-10","1963","10","","","","","","","","","","","0.0","T","0.0","","0.0","T","0","",,"",,""
"1963-11","1963","11","","","","","","","","","","","0.0","","5.1","","5.1","","","M",,"",,""
"1963-12","1963","12","","","","","","","","","","","0.0","","25.4","","25.4","","5","",,"",,""
"1964-01","1964","01","","","","","","","","","","","0.0","T","6.4","","6.4","","3","",,"",,""
"1964-02","1964","02","","","","","","","","","","","0.0","","1.3","","1.3","","0","",,"",,""
"1964-03","1964","03","","","","","","","","","","","0.0","","16.8","","16.8","","0","",,"",,""
"1964-04","1964","04","","","","","","","","","","","19.1","","25.4","","44.5","","0","",,"",,""
"1964-05","1964","05","","","","","","","","","","","38.9","","0.0","T","38.9","","0","",,"",,""
"1964-06","1964","06","","","","","","","","","","","65.5","","0.0","","65.5","","0","",,"",,""
"1964-07","1964","07","","","","","","","","","","","49.0","","0.0","","49.0","","0","",,"",,""
"1964-08","1964","08","","","","","","","","","","","25.9","","0.0","","25.9","","0","",,"",,""
"1964-09","1964","09","","","","","","","","","","","38.1","","0.0","","38.1","","0","",,"",,""
"1964-10","1964","10","","","","","","","","","","","5.3","","1.3","","6.6","","0","",,"",,""
"1964-11","1964","11","","","","","","","","","","","7.6","","16.5","","24.1","","15","",,"",,""
"1964-12","1964","12","","","","","","","","","","","0.0","","27.9","","27.9","","36","",,"",,""
"1965-01","1965","01","","","","","","","","","","","0.0","","16.5","","16.5","","41","",,"",,""
"1965-02","1965","02","","","","","","","","","","","0.0","","10.2","","10.2","","13","",,"",,""
"1965-03","1965","03","","","","","","","","","","","1.5","","17.8","","19.3","","15","",,"",,""
"1965-04","1965","04","","","","","","","","","","","10.4","","7.6","","18.0","","0","",,"",,""
"1965-05","1965","05","","","","","","","","","","","42.4","","3.6","","46.0","","0","",,"",,""
"1965-06","1965","06","","","","","","","","","","","140.7","","0.0","","140.7","","0","",,"",,""
"1965-07","1965","07","","","","","","","","","","","36.3","","0.0","","36.3","","0","",,"",,""
"1965-08","1965","08","","","","","","","","","","","66.0","","0.0","","66.0","","0","",,"",,""
"1965-09","1965","09","","","","","","","","","","","54.9","","14.0","","68.8","","0","",,"",,""
"1965-10","1965","10","","","","","","","","","","","0.8","","0.0","","0.8","","0","",,"",,""
"1965-11","1965","11","","","","","","","","","","","0.0","T","26.7","","26.7","","18","",,"",,""
"1965-12","1965","12","","","","","","","","","","","0.0","","8.9","","8.9","","10","",,"",,""
"1966-01","1966","01","","","","","","","","","","","0.0","","19.1","","19.1","","25","",,"",,""
"1966-02","1966","02","","","","","","","","","","","0.0","","14.0","","14.0","","25","",,"",,""
"1966-03","1966","03","","","","","","","","","","","3.3","","5.1","","8.4","","0","",,"",,""
"1966-04","1966","04","","","","","","","","","","","6.4","","23.4","","29.7","","3","",,"",,""
"1966-05","1966","05","","","","","","","","","","","38.4","","3.8","","42.2","","0","",,"",,""
"1966-06","1966","06","","","","","","","","","","","69.9","","0.0","","69.9","","0","",,"",,""
"1966-07","1966","07","","","","","","","","","","","78.2","","0.0","","78.2","","0","",,"",,""
"1966-08","1966","08","","","","","","","","","","","49.8","","0.0","","49.8","","0","",,"",,""
"1966-09","1966","09","","","","","","","","","","","6.6","","0.0","","6.6","","0","",,"",,""
"1966-10","1966","10","","","","","","","","","","","10.9","","15.2","","26.2","","0","",,"",,""
"1966-11","1966","11","","","","","","","","","","","0.0","","38.1","","38.1","","13","",,"",,""
"1966-12","1966","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-01","1967","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-02","1967","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-03","1967","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-04","1967","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
