"Station Name","MAYNE ISLAND"
"Province","BRITISH COLUMBIA"
"Latitude","48.84"
"Longitude","-123.32"
"Elevation","28.00"
"Climate Identifier","1014931"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1970-01","1970","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-02","1970","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-03","1970","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-04","1970","04","","","","","","","","","","","77.0","","0.0","","77.0","","0","",,"",,""
"1970-05","1970","05","","","","","","","","","","","18.8","","0.0","","18.8","","0","",,"",,""
"1970-06","1970","06","","","","","","","","","","","15.7","","0.0","","15.7","","0","",,"",,""
"1970-07","1970","07","","","","","","","","","","","19.6","","0.0","","19.6","","0","",,"",,""
"1970-08","1970","08","","","","","","","","","","","5.6","","0.0","","5.6","","0","",,"",,""
"1970-09","1970","09","","","","","","","","","","","55.6","","0.0","","55.6","","0","",,"",,""
"1970-10","1970","10","","","","","","","","","","","30.5","","0.0","","30.5","","0","",,"",,""
"1970-11","1970","11","","","","","","","","","","","113.5","","9.7","","123.2","","0","",,"",,""
"1970-12","1970","12","","","","","","","","","","","123.4","","10.2","","133.6","","0","",,"",,""
"1971-01","1971","01","","","","","","","","","","","87.9","","35.6","","123.4","","0","",,"",,""
"1971-02","1971","02","","","","","","","","","","","82.8","","7.6","","90.4","","5","",,"",,""
"1971-03","1971","03","","","","","","","","","","","114.0","","4.6","","118.6","","0","",,"",,""
"1971-04","1971","04","","","","","","","","","","","14.2","","0.0","","14.2","","0","",,"",,""
"1971-05","1971","05","","","","","","","","","","","26.2","","0.0","","26.2","","0","",,"",,""
"1971-06","1971","06","","","","","","","","","","","64.8","","0.0","","64.8","","0","",,"",,""
"1971-07","1971","07","","","","","","","","","","","20.6","","0.0","","20.6","","0","",,"",,""
"1971-08","1971","08","","","","","","","","","","","5.8","","0.0","","5.8","","0","",,"",,""
"1971-09","1971","09","","","","","","","","","","","69.3","","0.0","","69.3","","0","",,"",,""
"1971-10","1971","10","","","","","","","","","","","45.7","","0.0","T","45.7","","0","",,"",,""
"1971-11","1971","11","","","","","","","","","","","117.6","","0.0","","117.6","","0","",,"",,""
"1971-12","1971","12","","","","","","","","","","","87.1","","50.0","","137.2","","0","T",,"",,""
"1972-01","1972","01","","","","","","","","","","","64.0","","17.3","","81.3","","0","T",,"",,""
"1972-02","1972","02","","","","","","","","","","","117.9","","0.8","","118.6","","0","",,"",,""
"1972-03","1972","03","","","","","","","","","","","111.5","","2.0","","113.5","","0","",,"",,""
"1972-04","1972","04","","","","","","","","","","","41.4","","0.0","","41.4","","0","",,"",,""
"1972-05","1972","05","","","","","","","","","","","12.4","","0.0","","12.4","","0","",,"",,""
"1972-06","1972","06","","","","","","","","","","","29.5","","0.0","","29.5","","0","",,"",,""
"1972-07","1972","07","","","","","","","","","","","48.5","","0.0","","48.5","","0","",,"",,""
"1972-08","1972","08","","","","","","","","","","","28.7","","0.0","","28.7","","0","",,"",,""
"1972-09","1972","09","","","","","","","","","","","83.8","","0.0","","83.8","","0","",,"",,""
"1972-10","1972","10","","","","","","","","","","","38.1","","0.0","","38.1","","0","",,"",,""
"1972-11","1972","11","","","","","","","","","","","52.8","","0.0","","52.8","","0","",,"",,""
"1972-12","1972","12","","","","","","","","","","","226.3","","16.0","","242.3","","0","",,"",,""
"1973-01","1973","01","","","","","","","","","","","91.4","","5.1","","96.5","","0","",,"",,""
"1973-02","1973","02","","","","","","","","","","","31.0","","0.0","T","31.0","","","M",,"",,""
"1973-03","1973","03","","","","","","","","","","","34.8","","0.0","","34.8","","","M",,"",,""
"1973-04","1973","04","","","","","","","","","","","10.7","","0.0","","10.7","","0","",,"",,""
"1973-05","1973","05","","","","","","","","","","","19.3","","0.0","","19.3","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","21.8","","0.0","","21.8","","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","6.1","","0.0","","6.1","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","15.0","","0.0","","15.0","","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","27.2","","0.0","","27.2","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","80.5","","0.0","","80.5","","0","",,"",,""
"1973-11","1973","11","","","","","","","","","","","164.1","","12.7","","176.8","","0","",,"",,""
"1973-12","1973","12","","","","","","","","","","","169.7","","2.0","","171.7","","0","",,"",,""
"1974-01","1974","01","","","","","","","","","","","171.2","","15.2","","186.4","","0","T",,"",,""
"1974-02","1974","02","","","","","","","","","","","71.6","","0.0","T","71.6","","0","",,"",,""
"1974-03","1974","03","","","","","","","","","","","101.1","","0.5","","101.6","","0","",,"",,""
"1974-04","1974","04","","","","","","","","","","","32.0","","0.0","","32.0","","0","",,"",,""
