"Station Name","MCBRIDE 4SE"
"Province","BRITISH COLUMBIA"
"Latitude","53.27"
"Longitude","-120.15"
"Elevation","722.40"
"Climate Identifier","1094950"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1922-01","1922","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-02","1922","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-03","1922","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-04","1922","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-05","1922","05","17.8","","2.2","","10.0","","29.4","","-5.6","","17.5","","0.0","","17.5","","","",,"",,""
"1922-06","1922","06","23.5","","4.8","","14.2","","31.1","S","-4.4","","17.0","","0.0","","17.0","","","",,"",,""
"1922-07","1922","07","24.7","","5.6","","15.2","","30.6","","-0.6","","17.5","","0.0","","17.5","","","",,"",,""
"1922-08","1922","08","24.1","","6.9","","15.5","","30.0","S","1.1","","54.4","","0.0","","54.4","","","",,"",,""
"1922-09","1922","09","18.5","","4.1","","11.3","","26.7","","-2.8","","53.3","","0.0","","53.3","","","",,"",,""
"1922-10","1922","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-11","1922","11","4.1","","-3.3","","0.4","","8.9","S","-11.1","","24.1","","7.6","","31.8","","","",,"",,""
"1922-12","1922","12","-7.5","","-17.8","","-12.7","","6.7","","-34.4","","22.4","","","M","","M","","",,"",,""
"1923-01","1923","01","-2.6","","-11.5","","-7.1","","3.9","S","-33.3","","0.0","","15.2","","15.2","","","",,"",,""
"1923-02","1923","02","0.5","","-10.5","","-5.0","","8.9","","-31.1","","1.8","","","M","","M","","",,"",,""
"1923-03","1923","03","4.1","","-7.4","","-1.7","","15.6","S","-20.6","S","0.0","","43.2","","43.2","","","",,"",,""
"1923-04","1923","04","14.1","","-1.8","","6.2","","22.8","","-8.3","S","9.7","","0.0","","9.7","","","",,"",,""
"1923-05","1923","05","18.2","","2.1","","10.2","","25.0","","-3.9","","19.6","","0.0","","19.6","","","",,"",,""
"1923-06","1923","06","22.1","","5.4","","13.8","","28.9","","-1.1","","36.6","","0.0","","36.6","","","",,"",,""
"1923-07","1923","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1923-08","1923","08","23.8","","5.8","","14.8","","30.6","","-1.1","S","51.6","","0.0","","51.6","","","",,"",,""
"1923-09","1923","09","18.8","","0.9","","9.9","","27.8","S","-4.4","","19.1","","0.0","","19.1","","","",,"",,""
"1923-10","1923","10","14.1","","-0.6","","6.8","","25.6","","-12.2","","8.6","","0.0","","8.6","","","",,"",,""
"1923-11","1923","11","5.9","","-1.1","","2.4","","11.1","S","-11.7","","11.2","","8.9","","20.1","","","",,"",,""
"1923-12","1923","12","0.9","","-8.7","","-3.9","","7.8","","-23.3","","","M","","M","","M","","",,"",,""
"1924-01","1924","01","-1.6","","-9.5","","-5.6","","6.1","S","-18.9","S","75.4","","17.8","","93.2","","","",,"",,""
"1924-02","1924","02","2.6","","-4.1","","-0.8","","8.3","","-15.6","","9.4","","0.0","","9.4","","","",,"",,""
"1924-03","1924","03","5.2","","-6.0","","-0.4","","11.7","","-11.1","S","0.0","","20.3","","20.3","","","",,"",,""
"1924-04","1924","04","10.0","","-1.4","","4.3","","22.2","S","-6.7","","0.0","","12.2","","12.2","","","",,"",,""
"1924-05","1924","05","21.1","","0.5","","10.8","","30.6","","-5.0","","12.2","","0.0","","12.2","","","",,"",,""
"1924-06","1924","06","22.6","","4.3","","13.5","","33.9","","-0.6","S","13.5","","0.0","","13.5","","","",,"",,""
"1924-07","1924","07","25.4","","8.1","","16.8","","34.4","S","0.0","","15.2","","0.0","","15.2","","","",,"",,""
"1924-08","1924","08","21.8","","5.8","","13.8","","31.1","","-2.2","","87.1","","0.0","","87.1","","","",,"",,""
"1924-09","1924","09","17.9","","4.9","","11.4","","27.2","","-2.2","","116.3","","0.0","","116.3","","","",,"",,""
"1924-10","1924","10","12.8","","3.1","","8.0","","19.4","","-5.6","","25.9","","0.0","","25.9","","","",,"",,""
"1924-11","1924","11","-0.2","","-7.8","","-4.0","","7.8","","-27.8","","7.9","","57.2","","65.0","","","",,"",,""
"1924-12","1924","12","-9.7","","-19.4","","-14.6","","5.6","","-45.6","S","2.8","","6.4","","9.1","","","",,"",,""
"1925-01","1925","01","-2.2","","-10.1","","-6.2","","2.8","S","-32.8","","13.7","","15.2","","29.0","","","",,"",,""
"1925-02","1925","02","1.0","","-8.8","","-3.9","","6.7","S","-22.8","","0.0","","36.8","","36.8","","","",,"",,""
"1925-03","1925","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1925-04","1925","04","14.2","","-1.1","","6.6","","22.2","","-11.1","","19.8","","1.3","","21.1","","","",,"",,""
"1925-05","1925","05","22.0","","2.4","","12.2","","29.4","","-5.0","","22.6","","1.3","","23.9","","","",,"",,""
"1925-06","1925","06","23.7","","6.3","","15.0","","33.9","S","0.0","","28.7","","0.0","","28.7","","","",,"",,""
"1925-07","1925","07","27.5","","6.9","","17.2","","33.9","S","0.0","","30.7","","0.0","","30.7","","","",,"",,""
"1925-08","1925","08","21.2","","7.4","","14.3","","32.2","","-0.6","","33.5","","0.0","","33.5","","","",,"",,""
"1925-09","1925","09","17.2","","2.6","","9.9","","27.8","","-5.6","","53.8","","0.0","","53.8","","","",,"",,""
"1925-10","1925","10","10.8","","-3.5","","3.7","","20.0","","-16.1","","22.1","","1.3","","23.4","","","",,"",,""
"1925-11","1925","11","3.5","","-2.8","","0.4","","12.2","","-18.3","","0.0","","17.8","","17.8","","","",,"",,""
"1925-12","1925","12","2.8","","-2.2","","0.3","","7.8","","-8.3","","26.9","","16.0","","42.9","","","",,"",,""
"1926-01","1926","01","0.3","","-5.3","","-2.5","","4.4","","-11.1","","0.0","","2.5","","2.5","","","",,"",,""
"1926-02","1926","02","3.6","","-4.4","","-0.4","","11.1","","-15.6","","7.6","","10.2","","17.8","","","",,"",,""
"1926-03","1926","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1926-04","1926","04","17.4","","0.7","","9.1","","27.8","","-12.2","","28.4","","0.0","","28.4","","","",,"",,""
"1926-05","1926","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
