"Station Name","MCBRIDE NORTH"
"Province","BRITISH COLUMBIA"
"Latitude","53.37"
"Longitude","-120.25"
"Elevation","771.10"
"Climate Identifier","1094955"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01","1973","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-02","1973","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-04","1973","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-05","1973","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-06","1973","06","","M","","M","","M","30.6","","","M","","M","0.0","","","M","0","",,"",,""
"1973-07","1973","07","22.2","","7.7","","15.0","","31.7","","1.7","","36.3","","0.0","","36.3","","0","",,"",,""
"1973-08","1973","08","20.5","","5.1","","12.8","","30.6","S","-2.8","","42.9","","0.0","","42.9","","0","",,"",,""
"1973-09","1973","09","16.3","","4.2","","10.3","","26.1","","-3.3","S","70.4","","0.0","","70.4","","0","",,"",,""
"1973-10","1973","10","8.1","","0.3","","4.2","","11.7","","-3.9","S","95.8","","1.0","","96.8","","0","",,"",,""
"1973-11","1973","11","-3.3","","-10.6","","-7.0","","5.6","","-20.0","","0.3","","40.1","","40.4","","13","",,"",,""
"1973-12","1973","12","-0.4","","-6.2","","-3.3","","5.6","","-20.6","","0.8","","28.7","","29.5","","13","",,"",,""
"1974-01","1974","01","-8.2","","-16.3","","-12.3","","2.8","S","-32.8","","2.3","","151.1","","153.4","","64","",,"",,""
"1974-02","1974","02","1.8","","-5.7","","-2.0","","5.6","S","-16.7","","0.3","","53.3","","53.6","","61","",,"",,""
"1974-03","1974","03","3.4","","-6.0","","-1.3","","11.1","","-15.6","S","8.4","","53.8","","62.2","","28","",,"",,""
"1974-04","1974","04","11.8","","-0.2","","5.8","","20.6","","-3.3","S","29.2","","10.4","","39.6","","0","",,"",,""
"1974-05","1974","05","13.8","","1.7","","7.8","","21.1","","-2.2","S","43.9","","3.0","","47.0","","","M",,"",,""
"1974-06","1974","06","20.4","","5.6","","13.0","","31.7","","0.6","","48.8","","0.0","","48.8","","0","",,"",,""
"1974-07","1974","07","20.3","","6.8","","13.6","","28.3","","2.2","","48.5","","0.0","","48.5","","0","",,"",,""
"1974-08","1974","08","22.4","","7.3","","14.9","","32.8","","2.2","S","18.5","","0.0","","18.5","","0","",,"",,""
"1974-09","1974","09","17.7","","4.6","","11.2","","27.8","","-2.2","","56.9","","0.0","","56.9","","0","",,"",,""
"1974-10","1974","10","11.8","","1.7","","6.8","","19.4","","-3.3","S","53.3","","11.4","","64.8","","0","",,"",,""
"1974-11","1974","11","2.5","","-4.1","","-0.8","","10.0","","-15.6","","19.1","","48.8","","67.8","","8","",,"",,""
"1974-12","1974","12","1.6","","-5.2","","-1.8","","6.7","","-16.7","","7.1","","37.1","","44.2","","10","",,"",,""
"1975-01","1975","01","-4.9","","-12.1","","-8.5","","2.8","","-35.6","","6.9","","40.4","","47.2","","25","",,"",,""
"1975-02","1975","02","-5.8","","-15.9","","-10.9","","5.0","","-27.2","","4.3","","30.0","","34.3","","25","",,"",,""
"1975-03","1975","03","1.7","","-7.8","","-3.1","","6.1","S","-17.2","","14.5","","46.7","","61.2","","41","",,"",,""
"1975-04","1975","04","10.4","","-3.9","","3.3","","18.9","","-14.4","","17.8","","7.6","","25.4","","0","",,"",,""
"1975-05","1975","05","16.2","","1.7","","9.0","","23.9","","-3.3","","56.4","","2.0","","58.4","","0","",,"",,""
"1975-06","1975","06","17.9","","6.0","","12.0","","26.7","","2.2","","55.9","","0.0","","55.9","","0","",,"",,""
"1975-07","1975","07","24.3","","9.3","","16.8","","33.3","","2.2","","48.3","","0.0","","48.3","","0","",,"",,""
