"Station Name","MCCONNELL"
"Province","MANITOBA"
"Latitude","50.27"
"Longitude","-100.60"
"Elevation","541.00"
"Climate Identifier","5011705"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1966-01","1966","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-02","1966","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-03","1966","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-04","1966","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-05","1966","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-06","1966","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-07","1966","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-08","1966","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-09","1966","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-10","1966","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-11","1966","11","","","","","","","","","","","5.3","","31.5","","36.8","","18","",,"",,""
"1966-12","1966","12","","","","","","","","","","","5.1","","34.0","","39.1","","30","",,"",,""
"1967-01","1967","01","","","","","","","","","","","0.0","T","35.1","","35.1","","61","",,"",,""
"1967-02","1967","02","","","","","","","","","","","0.0","","11.7","","11.7","","61","",,"",,""
"1967-03","1967","03","","","","","","","","","","","6.9","","32.8","","39.6","","46","",,"",,""
"1967-04","1967","04","","","","","","","","","","","32.0","","16.0","","48.0","","0","",,"",,""
"1967-05","1967","05","","","","","","","","","","","7.6","","3.6","","11.2","","0","",,"",,""
"1967-06","1967","06","","","","","","","","","","","22.9","","0.0","","22.9","","0","",,"",,""
"1967-07","1967","07","","","","","","","","","","","31.8","","0.0","","31.8","","0","",,"",,""
"1967-08","1967","08","","","","","","","","","","","46.7","","0.0","","46.7","","0","",,"",,""
"1967-09","1967","09","","","","","","","","","","","28.2","","0.0","","28.2","","0","",,"",,""
