"Station Name","MEAGER CREEK"
"Province","BRITISH COLUMBIA"
"Latitude","50.63"
"Longitude","-123.40"
"Elevation","430.10"
"Climate Identifier","1085064"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1981-01","1981","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-02","1981","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-03","1981","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-04","1981","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-05","1981","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-06","1981","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-07","1981","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1981-08","1981","08","29.2","","12.0","","20.6","","38.0","","4.0","","49.0","","0.0","","49.0","","0","",,"",,""
"1981-09","1981","09","17.8","","6.9","","12.4","","","M","","M","67.9","","0.0","","67.9","","0","",,"",,""
"1981-10","1981","10","10.0","","1.5","","5.8","","","M","-3.0","","358.3","","0.0","","358.3","","0","",,"",,""
"1981-11","1981","11","5.1","","0.1","","2.6","","","M","","M","201.8","","51.1","","252.9","","","M",,"",,""
"1981-12","1981","12","-1.3","","-7.6","","-4.5","","","M","","M","","M","","M","","M","","M",,"",,""
"1982-01","1982","01","-2.4","","-8.4","","-5.4","","","M","","M","0.0","T","184.4","","184.4","","250","",,"",,""
"1982-02","1982","02","","M","","M","","M","","M","","M","0.0","","","M","","M","","M",,"",,""
"1982-03","1982","03","","M","","M","","M","","M","","M","0.0","","33.0","E","33.0","E","195","",,"",,""
"1982-04","1982","04","9.7","","-1.7","E","4.0","E","","M","","M","","M","","M","","M","90","",,"",,""
"1982-05","1982","05","16.6","","2.0","","9.3","","26.0","S","-2.5","","27.3","","0.0","T","27.3","","0","",,"",,""
"1982-06","1982","06","25.9","E","9.1","","17.5","E","","M","3.0","","15.4","","0.0","","15.4","","0","",,"",,""
"1982-07","1982","07","25.4","E","10.6","E","18.0","E","36.5","","","M","28.9","","0.0","","28.9","","0","",,"",,""
"1982-08","1982","08","23.8","E","10.2","E","17.0","E","33.5","","5.0","","45.6","","0.0","","45.6","","0","",,"",,""
"1982-09","1982","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-10","1982","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-11","1982","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-12","1982","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
