"Station Name","MELVILLE"
"Province","SASKATCHEWAN"
"Latitude","50.95"
"Longitude","-102.80"
"Elevation","557.80"
"Climate Identifier","4015100"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1956-01","1956","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-02","1956","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-03","1956","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-04","1956","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-05","1956","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-06","1956","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-07","1956","07","22.6","","12.2","","17.4","","27.8","","7.2","","60.7","","0.0","","60.7","","0","",,"",,""
"1956-08","1956","08","23.1","","11.0","","17.1","","27.2","S","3.3","","68.1","","0.0","","68.1","","0","",,"",,""
"1956-09","1956","09","16.2","","4.2","","10.2","","23.9","","-1.1","","8.1","","0.0","","8.1","","0","",,"",,""
"1956-10","1956","10","10.8","","-0.6","","5.1","","25.6","","-10.6","","31.0","","6.4","","37.3","","5","",,"",,""
"1956-11","1956","11","0.4","","-8.8","","-4.2","","6.7","","-21.1","","0.5","","29.7","","30.2","","0","",,"",,""
"1956-12","1956","12","-9.9","","-19.5","","-14.7","","3.9","","-40.0","","0.0","T","41.9","","41.9","","20","",,"",,""
"1957-01","1957","01","-16.4","","-25.9","","-21.2","","-3.3","S","-37.2","","0.0","","4.1","","4.1","","18","",,"",,""
"1957-02","1957","02","-10.1","","-22.1","","-16.1","","2.8","S","-34.4","","0.0","","7.4","","7.4","","20","",,"",,""
"1957-03","1957","03","-3.3","","-13.6","","-8.5","","6.7","","-27.8","","2.0","","18.8","","20.8","","3","",,"",,""
"1957-04","1957","04","6.6","","-3.2","","1.7","","26.7","S","-16.1","","22.6","","2.0","","24.6","","0","",,"",,""
"1957-05","1957","05","18.6","","5.6","","12.1","","29.4","","0.6","","16.3","","0.0","","16.3","","0","",,"",,""
"1957-06","1957","06","20.1","","8.7","","14.4","","26.7","S","1.7","","36.3","","0.0","","36.3","","0","",,"",,""
"1957-07","1957","07","27.5","","13.7","","20.6","","33.9","S","7.2","","44.5","","0.0","","44.5","","0","",,"",,""
"1957-08","1957","08","21.6","","10.7","","16.2","","28.9","","0.6","","107.4","","0.0","","107.4","","0","",,"",,""
"1957-09","1957","09","17.8","","5.1","","11.5","","27.2","","-2.8","S","7.6","","0.0","","7.6","","0","",,"",,""
"1957-10","1957","10","9.8","","-2.0","","3.9","","27.8","S","-20.6","","8.6","","18.5","","27.2","","","M",,"",,""
"1957-11","1957","11","-0.3","","-8.2","","-4.3","","8.9","","-21.1","","0.0","T","5.1","","5.1","","5","",,"",,""
"1957-12","1957","12","-5.5","","-15.9","","-10.7","","3.3","","-35.6","","0.3","","7.9","","8.1","","5","",,"",,""
"1958-01","1958","01","-6.9","","-16.4","","-11.7","","4.4","","-28.9","","0.0","","24.6","","24.6","","10","",,"",,""
"1958-02","1958","02","-10.8","","-21.8","","-16.3","","6.7","","-37.2","","0.0","T","12.7","","12.7","","3","",,"",,""
"1958-03","1958","03","-1.2","","-10.2","","-5.7","","12.8","","-25.6","","0.8","","10.9","","11.7","","0","",,"",,""
"1958-04","1958","04","11.3","","-1.1","","5.1","","23.9","","-12.8","","10.7","","2.5","","13.2","","","M",,"",,""
"1958-05","1958","05","19.9","","4.8","","12.4","","33.3","","-8.3","","3.3","","0.0","","3.3","","","M",,"",,""
"1958-06","1958","06","20.8","","6.2","","13.5","","32.2","","-0.6","S","13.0","","0.0","","13.0","","","M",,"",,""
"1958-07","1958","07","24.1","","10.7","","17.4","","35.0","","5.6","","41.9","","0.0","","41.9","","","M",,"",,""
"1958-08","1958","08","25.3","","11.1","","18.2","","34.4","","5.6","S","93.2","","0.0","","93.2","","","M",,"",,""
"1958-09","1958","09","16.8","","4.5","","10.7","","29.4","","-3.9","","27.7","","0.3","","27.9","","","M",,"",,""
"1958-10","1958","10","11.9","","-0.8","","5.6","","23.9","","-10.0","","5.1","","0.5","","5.6","","","M",,"",,""
