"Station Name","MERIVALE TS"
"Province","ONTARIO"
"Latitude","45.33"
"Longitude","-75.73"
"Elevation","97.50"
"Climate Identifier","610E061"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1983-01","1983","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1983-02","1983","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1983-03","1983","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1983-04","1983","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1983-05","1983","05","","","","","","","","","","","","M","","M","","M","0","",,"",,""
"1983-06","1983","06","","","","","","","","","","","55.6","","0.0","","55.6","","0","",,"",,""
"1983-07","1983","07","","","","","","","","","","","61.9","","0.0","","61.9","","0","",,"",,""
"1983-08","1983","08","","","","","","","","","","","26.5","","0.0","","26.5","","0","",,"",,""
"1983-09","1983","09","","","","","","","","","","","57.4","","0.0","","57.4","","0","",,"",,""
"1983-10","1983","10","","","","","","","","","","","129.2","","0.0","","129.2","","0","",,"",,""
"1983-11","1983","11","","","","","","","","","","","80.8","","21.2","","102.0","","","M",,"",,""
"1983-12","1983","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1984-01","1984","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1984-02","1984","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1984-03","1984","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1984-04","1984","04","","","","","","","","","","","107.8","E","0.0","","107.8","E","","M",,"",,""
"1984-05","1984","05","","","","","","","","","","","126.7","","0.0","","126.7","","0","",,"",,""
"1984-06","1984","06","","","","","","","","","","","57.8","","0.0","","57.8","","0","",,"",,""
"1984-07","1984","07","","","","","","","","","","","51.1","","0.0","","51.1","","0","",,"",,""
"1984-08","1984","08","","","","","","","","","","","175.4","","0.0","","175.4","","0","",,"",,""
"1984-09","1984","09","","","","","","","","","","","15.5","","0.0","","15.5","","","M",,"",,""
"1984-10","1984","10","","","","","","","","","","","53.9","","0.0","","53.9","","0","",,"",,""
"1984-11","1984","11","","","","","","","","","","","57.6","E","0.0","","57.6","E","","M",,"",,""
"1984-12","1984","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1985-01","1985","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1985-02","1985","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
