"Station Name","MILLERS LAKE"
"Province","ONTARIO"
"Latitude","43.28"
"Longitude","-80.38"
"Elevation","304.80"
"Climate Identifier","6145160"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1964-01","1964","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-04","1964","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-05","1964","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-06","1964","06","","M","","M","","M","33.3","","","M","60.5","","0.0","","60.5","","0","",,"",,""
"1964-07","1964","07","26.9","","15.3","","21.1","","33.3","","7.2","","87.9","","0.0","","87.9","","0","",,"",,""
"1964-08","1964","08","22.2","","11.2","","16.7","","29.4","","5.6","S","202.9","","0.0","","202.9","","0","",,"",,""
"1964-09","1964","09","20.2","","8.9","","14.6","","30.6","","0.6","S","21.6","","0.0","","21.6","","0","",,"",,""
"1964-10","1964","10","13.5","","1.4","","7.5","","23.3","S","-6.7","","40.1","","0.0","T","40.1","","0","",,"",,""
"1964-11","1964","11","7.9","","-0.3","","3.8","","17.2","","-10.0","S","19.6","","15.2","","34.8","","0","",,"",,""
"1964-12","1964","12","-0.1","","-7.3","","-3.7","","12.2","","-17.8","","48.8","","22.9","","71.6","","0","T",,"",,""
"1965-01","1965","01","-3.7","","-11.3","","-7.5","","10.6","","-25.6","","40.4","","46.7","","87.1","","20","",,"",,""
"1965-02","1965","02","-2.2","","-10.5","","-6.4","","10.0","","-19.4","","55.9","","52.6","","108.5","","28","",,"",,""
"1965-03","1965","03","-0.2","","-7.2","","-3.7","","5.6","","-17.2","","18.8","","47.5","","66.3","","","M",,"",,""
"1965-04","1965","04","7.6","","-1.7","","3.0","","20.0","","-12.2","","58.9","","17.8","","76.7","","0","",,"",,""
"1965-05","1965","05","20.7","","7.9","","14.3","","29.4","","-0.6","","35.6","","0.0","","35.6","","0","",,"",,""
