"Station Name","MILLERTOWN"
"Province","NEWFOUNDLAND"
"Latitude","49.00"
"Longitude","-56.35"
"Elevation","210.90"
"Climate Identifier","8402755"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1934-01","1934","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1934-02","1934","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1934-03","1934","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1934-04","1934","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1934-05","1934","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1934-06","1934","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1934-07","1934","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1934-08","1934","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1934-09","1934","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1934-10","1934","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1934-11","1934","11","5.6","","-4.4","","0.6","","15.6","S","-18.3","","74.2","","0.0","","74.2","","","",,"",,""
"1934-12","1934","12","-3.8","","-11.4","","-7.6","","5.0","","-17.8","","0.0","","35.3","","35.3","","","",,"",,""
"1935-01","1935","01","-4.6","","-14.2","","-9.4","","7.8","","-28.9","","0.0","","74.4","","74.4","","","",,"",,""
"1935-02","1935","02","-7.4","","-17.8","","-12.6","","2.8","","-27.8","","0.0","","38.4","","38.4","","","",,"",,""
"1935-03","1935","03","-3.4","","-13.9","","-8.7","","2.2","S","-28.3","","0.0","","14.2","","14.2","","","",,"",,""
"1935-04","1935","04","3.2","","-5.4","","-1.1","","11.7","S","-15.6","","46.7","","1.3","","48.0","","","",,"",,""
