"Station Name","MILLSTREAM"
"Province","BRITISH COLUMBIA"
"Latitude","48.48"
"Longitude","-123.55"
"Elevation","213.40"
"Climate Identifier","1015150"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1926-01","1926","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1926-02","1926","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1926-03","1926","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1926-04","1926","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1926-05","1926","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1926-06","1926","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1926-07","1926","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1926-08","1926","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1926-09","1926","09","","","","","","","","","","","27.7","","0.0","","27.7","","","",,"",,""
"1926-10","1926","10","","","","","","","","","","","107.7","","0.0","","107.7","","","",,"",,""
"1926-11","1926","11","","","","","","","","","","","131.1","","0.0","","131.1","","","",,"",,""
"1926-12","1926","12","","","","","","","","","","","134.9","","28.7","","163.6","","","",,"",,""
"1927-01","1927","01","","","","","","","","","","","120.1","","16.3","","136.4","","","",,"",,""
"1927-02","1927","02","","","","","","","","","","","117.9","","0.0","","117.9","","","",,"",,""
"1927-03","1927","03","","","","","","","","","","","73.4","","2.5","","75.9","","","",,"",,""
"1927-04","1927","04","","","","","","","","","","","39.1","","7.4","","46.5","","","",,"",,""
"1927-05","1927","05","","","","","","","","","","","47.0","","0.0","","47.0","","","",,"",,""
"1927-06","1927","06","","","","","","","","","","","27.2","","0.0","","27.2","","","",,"",,""
"1927-07","1927","07","","","","","","","","","","","5.1","","0.0","","5.1","","","",,"",,""
"1927-08","1927","08","","","","","","","","","","","11.4","","0.0","","11.4","","","",,"",,""
"1927-09","1927","09","","","","","","","","","","","74.7","","0.0","","74.7","","","",,"",,""
"1927-10","1927","10","","","","","","","","","","","143.3","","0.0","","143.3","","","",,"",,""
"1927-11","1927","11","","","","","","","","","","","244.9","","22.9","","267.7","","","",,"",,""
"1927-12","1927","12","","","","","","","","","","","7.9","","48.3","","56.1","","","",,"",,""
"1928-01","1928","01","","","","","","","","","","","175.5","","30.5","","206.0","","","",,"",,""
"1928-02","1928","02","","","","","","","","","","","11.7","","0.0","","11.7","","","",,"",,""
"1928-03","1928","03","","","","","","","","","","","119.9","","4.6","","124.5","","","",,"",,""
"1928-04","1928","04","","","","","","","","","","","74.7","","0.0","","74.7","","","",,"",,""
"1928-05","1928","05","","","","","","","","","","","26.9","","0.0","","26.9","","","",,"",,""
"1928-06","1928","06","","","","","","","","","","","11.9","","0.0","","11.9","","","",,"",,""
"1928-07","1928","07","","","","","","","","","","","27.7","","0.0","","27.7","","","",,"",,""
"1928-08","1928","08","","","","","","","","","","","9.9","","0.0","","9.9","","","",,"",,""
"1928-09","1928","09","","","","","","","","","","","22.9","","0.0","","22.9","","","",,"",,""
"1928-10","1928","10","","","","","","","","","","","141.7","","0.0","","141.7","","","",,"",,""
"1928-11","1928","11","","","","","","","","","","","58.9","","0.0","","58.9","","","",,"",,""
"1928-12","1928","12","","","","","","","","","","","101.1","","0.0","","101.1","","","",,"",,""
"1929-01","1929","01","","","","","","","","","","","48.0","","67.3","","115.3","","","",,"",,""
"1929-02","1929","02","","","","","","","","","","","60.5","","0.0","","60.5","","","",,"",,""
"1929-03","1929","03","","","","","","","","","","","78.7","","0.0","","78.7","","","",,"",,""
"1929-04","1929","04","","","","","","","","","","","43.9","","7.6","","51.6","","","",,"",,""
"1929-05","1929","05","","","","","","","","","","","19.1","","0.0","","19.1","","","",,"",,""
"1929-06","1929","06","","","","","","","","","","","35.6","","0.0","","35.6","","","",,"",,""
"1929-07","1929","07","","","","","","","","","","","4.8","","0.0","","4.8","","","",,"",,""
"1929-08","1929","08","","","","","","","","","","","5.6","","0.0","","5.6","","","",,"",,""
"1929-09","1929","09","","","","","","","","","","","5.1","","0.0","","5.1","","","",,"",,""
"1929-10","1929","10","","","","","","","","","","","36.1","","0.0","","36.1","","","",,"",,""
"1929-11","1929","11","","","","","","","","","","","52.8","","0.0","","52.8","","","",,"",,""
"1929-12","1929","12","","","","","","","","","","","145.0","","21.6","","166.6","","","",,"",,""
"1930-01","1930","01","","","","","","","","","","","44.7","","6.4","","51.1","","","",,"",,""
"1930-02","1930","02","","","","","","","","","","","200.9","","10.2","","211.1","","","",,"",,""
"1930-03","1930","03","","","","","","","","","","","76.5","","0.0","T","76.5","","","",,"",,""
"1930-04","1930","04","","","","","","","","","","","54.1","","0.0","","54.1","","","",,"",,""
"1930-05","1930","05","","","","","","","","","","","41.9","","0.0","","41.9","","","",,"",,""
"1930-06","1930","06","","","","","","","","","","","30.2","","0.0","","30.2","","","",,"",,""
"1930-07","1930","07","","","","","","","","","","","3.0","","0.0","","3.0","","","",,"",,""
"1930-08","1930","08","","","","","","","","","","","10.7","","0.0","","10.7","","","",,"",,""
"1930-09","1930","09","","","","","","","","","","","22.6","","0.0","","22.6","","","",,"",,""
"1930-10","1930","10","","","","","","","","","","","154.2","","0.0","T","154.2","","","",,"",,""
"1930-11","1930","11","","","","","","","","","","","25.9","","0.8","","26.7","","","",,"",,""
"1930-12","1930","12","","","","","","","","","","","41.7","","0.0","","41.7","","","",,"",,""
"1931-01","1931","01","","","","","","","","","","","185.4","","0.0","","185.4","","","",,"",,""
"1931-02","1931","02","","","","","","","","","","","113.0","","0.0","","113.0","","","",,"",,""
"1931-03","1931","03","","","","","","","","","","","130.0","","10.2","","140.2","","","",,"",,""
"1931-04","1931","04","","","","","","","","","","","57.9","","0.0","","57.9","","","",,"",,""
"1931-05","1931","05","","","","","","","","","","","44.5","","0.0","","44.5","","","",,"",,""
"1931-06","1931","06","","","","","","","","","","","138.2","","0.0","","138.2","","","",,"",,""
"1931-07","1931","07","","","","","","","","","","","13.5","","0.0","","13.5","","","",,"",,""
"1931-08","1931","08","","","","","","","","","","","10.2","","0.0","","10.2","","","",,"",,""
"1931-09","1931","09","","","","","","","","","","","67.6","","0.0","","67.6","","","",,"",,""
"1931-10","1931","10","","","","","","","","","","","67.8","","0.0","","67.8","","","",,"",,""
"1931-11","1931","11","","","","","","","","","","","180.6","","15.2","","195.8","","","",,"",,""
"1931-12","1931","12","","","","","","","","","","","120.1","","7.6","","127.8","","","",,"",,""
"1932-01","1932","01","","","","","","","","","","","176.0","","22.4","","198.4","","","",,"",,""
"1932-02","1932","02","","","","","","","","","","","147.3","","14.0","","161.3","","","",,"",,""
"1932-03","1932","03","","","","","","","","","","","122.2","","7.6","","129.8","","","",,"",,""
"1932-04","1932","04","","","","","","","","","","","57.4","","0.0","","57.4","","","",,"",,""
"1932-05","1932","05","","","","","","","","","","","9.4","","0.0","","9.4","","","",,"",,""
"1932-06","1932","06","","","","","","","","","","","42.2","","0.0","","42.2","","","",,"",,""
"1932-07","1932","07","","","","","","","","","","","47.0","","0.0","","47.0","","","",,"",,""
"1932-08","1932","08","","","","","","","","","","","34.5","","0.0","","34.5","","","",,"",,""
"1932-09","1932","09","","","","","","","","","","","12.7","","0.0","","12.7","","","",,"",,""
"1932-10","1932","10","","","","","","","","","","","77.7","","0.0","","77.7","","","",,"",,""
"1932-11","1932","11","","","","","","","","","","","198.6","","0.0","","198.6","","","",,"",,""
"1932-12","1932","12","","","","","","","","","","","152.4","","0.0","T","152.4","","","",,"",,""
"1933-01","1933","01","","","","","","","","","","","216.7","","22.9","","239.5","","","",,"",,""
"1933-02","1933","02","","","","","","","","","","","65.5","","10.9","","76.5","","","",,"",,""
"1933-03","1933","03","","","","","","","","","","","14.5","","0.0","","14.5","","","",,"",,""
"1933-04","1933","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1933-05","1933","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1933-06","1933","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1933-07","1933","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1933-08","1933","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1933-09","1933","09","","","","","","","","","","","111.5","","0.0","","111.5","","","",,"",,""
"1933-10","1933","10","","","","","","","","","","","176.3","","0.0","","176.3","","","",,"",,""
"1933-11","1933","11","","","","","","","","","","","111.3","","0.0","","111.3","","","",,"",,""
"1933-12","1933","12","","","","","","","","","","","378.7","","14.7","","393.4","","","",,"",,""
"1934-01","1934","01","","","","","","","","","","","284.2","","0.0","","284.2","","","",,"",,""
