"Station Name","MIRAMICHI RCS"
"Province","NEW BRUNSWICK"
"Latitude","47.01"
"Longitude","-65.47"
"Elevation","33.00"
"Climate Identifier","8100989"
"WMO Identifier","71744"
"TC Identifier","ACQ"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2005-09","2005","09","20.5","","10.6","","15.6","","28.2","","1.2","","","","","","115.8","","0","",,"",,""
"2005-10","2005","10","12.8","","5.4","","9.1","","25.4","","-3.1","","","","","","149.3","","0","",,"",,""
"2005-11","2005","11","6.5","","-1.5","","2.5","","16.6","","-16.1","","","","","","130.8","","3","",,"",,""
"2005-12","2005","12","-1.8","","-8.6","","-5.2","","9.1","","-18.0","","","","","","124.3","","25","",,"",,""
"2006-01","2006","01","-1.1","","-9.3","","-5.2","","12.4","","-23.5","","","","","","82.3","","11","",,"",,""
"2006-02","2006","02","-3.3","","-11.5","","-7.4","","8.0","","-20.6","","","","","","49.9","","10","",,"",,""
"2006-03","2006","03","3.8","","-4.9","","-0.5","","15.1","","-23.0","","","","","","27.2","E","1","",,"",,""
"2006-04","2006","04","11.3","","-0.1","","5.6","","21.9","","-4.7","","","","","","113.9","","0","",,"",,""
"2006-05","2006","05","17.4","","6.4","","11.9","","26.5","","-0.9","","","","","","64.5","","0","",,"",,""
"2006-06","2006","06","23.0","","13.2","","18.1","","29.3","","7.6","","","","","","103.2","","0","",,"",,""
"2006-07","2006","07","26.0","","15.4","","20.7","","30.8","","9.3","","","","","","70.1","","0","",,"",,""
"2006-08","2006","08","22.4","","11.5","","17.0","","29.3","","3.2","","","","","","50.1","","0","",,"",,""
"2006-09","2006","09","20.5","","8.7","","14.6","","26.2","","0.9","","","","","","49.1","","0","",,"",,""
"2006-10","2006","10","13.2","","4.1","","8.7","","25.0","","-4.9","","","","","","196.9","","0","",,"",,""
"2006-11","2006","11","8.4","","0.5","","4.5","","21.0","","-8.1","","","","","","90.9","","0","",,"",,""
"2006-12","2006","12","0.6","","-6.3","","-2.9","","7.5","","-18.8","","","","","","61.0","","8","",,"",,""
"2007-01","2007","01","-3.5","","-13.6","","-8.6","","8.8","","-27.9","","","","","","105.5","","33","",,"",,""
"2007-02","2007","02","-4.5","","-15.8","","-10.2","","3.9","","-26.6","","","","","","23.4","","42","",,"",,""
"2007-03","2007","03","2.0","","-6.9","","-2.5","","9.4","","-22.6","","","","","","77.3","","0","",,"",,""
"2007-04","2007","04","7.3","","-1.4","","2.9","","26.0","","-8.3","","","","","","56.4","","0","",,"",,""
"2007-05","2007","05","16.0","","5.4","","10.7","","32.5","","-2.6","","","","","","53.2","","0","",,"",,""
"2007-06","2007","06","22.1","","9.9","","16.0","","29.8","","2.5","","","","","","80.6","","0","",,"",,""
"2007-07","2007","07","24.9","","14.5","","19.7","","32.1","","5.3","","","","","","116.1","","0","",,"",,""
