"Station Name","MISSINIPE"
"Province","SASKATCHEWAN"
"Latitude","55.60"
"Longitude","-104.77"
"Elevation","355.00"
"Climate Identifier","4065220"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1993-01","1993","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1993-02","1993","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1993-03","1993","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1993-04","1993","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1993-05","1993","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1993-06","1993","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1993-07","1993","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1993-08","1993","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1993-09","1993","09","12.4","","2.1","","7.3","","19.0","","-4.5","","40.1","","0.0","T","40.1","","0","",,"",,""
"1993-10","1993","10","5.3","E","-3.4","","1.0","E","15.5","","-10.0","","18.6","I","4.0","","22.6","I","0","",,"",,""
"1993-11","1993","11","-5.3","","-13.5","","-9.4","","4.0","","-35.0","","0.0","","16.2","","16.2","","","M",,"",,""
"1993-12","1993","12","-10.6","","-20.0","E","-15.3","E","4.0","","-38.0","","0.0","","25.0","","25.0","","26","",,"",,""
"1994-01","1994","01","-21.6","","-32.0","E","-26.8","E","-7.0","","-43.0","","0.0","","21.6","","21.6","","37","",,"",,""
"1994-02","1994","02","-17.8","E","-30.5","E","-24.0","E","-4.0","E","-41.0","S","0.0","","24.1","","24.1","","46","",,"",,""
"1994-03","1994","03","0.9","E","-12.0","","-5.3","E","13.0","E","-31.0","","0.5","","41.4","","41.9","","41","",,"",,""
"1994-04","1994","04","7.8","","-7.5","E","0.2","E","20.0","S","-22.0","S","20.2","","8.6","","28.8","","0","",,"",,""
"1994-05","1994","05","15.0","","2.0","","8.5","","30.0","","-8.0","","87.3","","1.0","","88.3","","0","",,"",,""
"1994-06","1994","06","22.7","","8.0","E","15.3","E","31.0","","-1.0","","101.5","","0.0","","101.5","","0","",,"",,""
"1994-07","1994","07","23.2","","10.4","E","16.8","E","31.0","","4.0","","73.2","","0.0","","73.2","","0","",,"",,""
"1994-08","1994","08","22.2","","8.8","","15.5","","29.0","S","1.0","","68.0","","0.0","","68.0","","0","",,"",,""
"1994-09","1994","09","18.8","","5.6","","12.2","","29.0","","-1.0","S","19.6","","0.0","","19.6","","0","",,"",,""
"1994-10","1994","10","7.9","","-0.3","","3.8","","17.0","","-6.0","","58.4","","10.0","","68.4","","6","",,"",,""
"1994-11","1994","11","-4.5","E","-14.2","E","-9.3","E","4.0","S","-32.0","S","0.4","","23.8","","24.2","","18","",,"",,""
"1994-12","1994","12","-12.6","E","-23.5","E","-18.1","E","-1.5","E","-36.0","","0.0","","22.8","","22.8","","40","",,"",,""
"1995-01","1995","01","-13.1","","-22.9","","-18.0","","3.0","","-43.0","","0.0","T","7.6","","7.6","","31","",,"",,""
"1995-02","1995","02","-10.9","","-24.1","E","-17.5","E","7.0","","-40.0","","0.0","","25.8","","25.8","","43","",,"",,""
"1995-03","1995","03","-3.0","","-16.8","","-9.9","","11.0","","-45.0","","0.0","T","25.5","","25.5","","38","",,"",,""
"1995-04","1995","04","4.0","","-9.9","","-2.9","","11.0","","-30.0","","7.8","","19.0","","26.8","","","M",,"",,""
"1995-05","1995","05","15.7","","-1.2","","7.3","","31.5","","-9.0","","4.6","","0.0","T","4.6","","0","",,"",,""
"1995-06","1995","06","23.8","","8.1","","16.0","","33.5","","-0.5","","19.1","","0.0","","19.1","","0","",,"",,""
"1995-07","1995","07","21.8","","9.6","","15.7","","27.0","S","5.0","S","66.4","","0.0","","66.4","","0","",,"",,""
"1995-08","1995","08","19.9","","9.4","","14.6","","29.0","","2.0","","109.4","","0.0","","109.4","","0","",,"",,""
"1995-09","1995","09","17.2","","4.0","","10.6","","27.0","","-4.0","","23.2","","3.4","","26.6","","0","",,"",,""
"1995-10","1995","10","6.9","","-1.9","","2.5","","16.0","","-10.0","","40.2","","0.0","T","40.2","","","",,"",,""
"1995-11","1995","11","-9.3","","-17.4","","-13.4","","2.0","","-33.5","","10.4","","21.0","","31.4","","12","",,"",,""
"1995-12","1995","12","-14.1","","-23.7","","-18.9","","0.5","","-44.5","","0.0","T","30.0","","30.0","","31","",,"",,""
"1996-01","1996","01","-21.4","","-33.8","","-27.6","","2.5","","-46.0","S","0.5","","19.0","","19.5","","39","",,"",,""
"1996-02","1996","02","-9.7","E","-23.2","","-16.5","E","1.0","","-40.0","","0.0","","29.0","E","29.0","E","51","",,"",,""
"1996-03","1996","03","-6.2","","-23.4","E","-14.8","E","13.0","","-40.0","","0.0","","16.0","","16.0","","44","",,"",,""
