"Station Name","MISSION HARTLEY RD"
"Province","BRITISH COLUMBIA"
"Latitude","49.25"
"Longitude","-122.23"
"Elevation","137.20"
"Climate Identifier","110EA90"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1979-01","1979","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1979-02","1979","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1979-03","1979","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1979-04","1979","04","13.1","","3.1","","8.1","","24.5","","-1.0","","178.4","","0.0","T","178.4","","0","",,"",,""
"1979-05","1979","05","17.3","","7.3","","12.3","","26.5","","3.5","","84.8","","0.0","","84.8","","0","",,"",,""
"1979-06","1979","06","19.5","","9.2","","14.4","","27.5","","4.5","","100.4","","0.0","","100.4","","0","",,"",,""
"1979-07","1979","07","24.4","","11.7","","18.1","","33.5","","5.5","","47.3","","0.0","","47.3","","0","",,"",,""
"1979-08","1979","08","23.9","","12.1","","18.0","","29.5","","7.5","","27.6","","0.0","","27.6","","0","",,"",,""
"1979-09","1979","09","20.9","","11.2","","16.1","","31.5","","7.5","","168.6","","0.0","","168.6","","0","",,"",,""
"1979-10","1979","10","15.7","","7.2","","11.5","","25.5","","2.0","","183.4","","0.0","","183.4","","0","",,"",,""
"1979-11","1979","11","9.2","","0.7","","5.0","","17.5","","-5.0","","111.2","","3.4","","114.6","","0","",,"",,""
"1979-12","1979","12","7.1","","2.7","","4.9","","12.5","","-3.5","","733.0","","8.4","","741.4","","0","",,"",,""
"1980-01","1980","01","2.9","","-3.5","","-0.3","","8.0","","-13.5","S","126.0","","39.8","","165.8","","0","",,"",,""
"1980-02","1980","02","7.7","","1.5","","4.6","","13.5","","-2.5","","342.2","","1.2","","343.4","","0","",,"",,""
"1980-03","1980","03","8.0","","1.7","","4.9","","15.0","","-2.5","","270.2","","8.4","","278.6","","0","",,"",,""
"1980-04","1980","04","15.8","","4.7","","10.3","","26.0","","0.0","S","200.2","","0.0","T","200.2","","0","",,"",,""
"1980-05","1980","05","15.8","","7.5","","11.7","","27.5","","2.5","","140.4","","0.0","","140.4","","0","",,"",,""
"1980-06","1980","06","17.6","","9.6","","13.6","","24.0","S","7.0","","156.2","","0.0","","156.2","","0","",,"",,""
"1980-07","1980","07","22.0","","11.7","","16.9","","31.0","","7.5","","106.4","","0.0","","106.4","","0","",,"",,""
"1980-08","1980","08","20.6","","11.1","","15.9","","30.5","","6.5","","120.2","","0.0","","120.2","","0","",,"",,""
"1980-09","1980","09","18.6","","10.2","","14.4","","26.0","S","6.5","","220.6","","0.0","","220.6","","0","",,"",,""
"1980-10","1980","10","16.6","","6.5","","11.6","","28.0","","0.5","","113.2","","0.0","","113.2","","0","",,"",,""
"1980-11","1980","11","9.1","","3.5","","6.3","","18.0","","-3.0","","517.6","","1.0","","518.6","","0","",,"",,""
"1980-12","1980","12","","M","","M","","M","","M","","M","","M","52.5","","","M","0","",,"",,""
"1981-01","1981","01","8.8","","2.5","","5.7","","","M","","M","","M","0.0","","","M","0","",,"",,""
