"Station Name","MONTMAGNY"
"Province","QUEBEC"
"Latitude","46.97"
"Longitude","-70.58"
"Elevation","15.20"
"Climate Identifier","7055210"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1963-01","1963","01","-7.7","","-13.6","","-10.7","","3.3","","-24.4","","0.0","","65.0","","65.0","","","M",,"",,""
"1963-02","1963","02","-10.3","","-17.3","","-13.8","","-0.6","","-30.0","","0.0","","67.1","","67.1","","","M",,"",,""
"1963-03","1963","03","-0.8","","-9.7","","-5.3","","7.8","","-21.1","","4.3","","69.9","","74.2","","","M",,"",,""
"1963-04","1963","04","6.6","","-1.6","","2.5","","18.9","","-9.4","","83.3","","10.2","","93.5","","","M",,"",,""
"1963-05","1963","05","16.1","","4.7","","10.4","","26.1","","-1.1","","61.2","","0.0","","61.2","","0","",,"",,""
"1963-06","1963","06","22.6","","11.6","","17.1","","32.8","","6.7","","42.9","","0.0","","42.9","","0","",,"",,""
"1963-07","1963","07","24.8","","15.0","","19.9","","33.3","","10.0","S","121.9","","0.0","","121.9","","0","",,"",,""
"1963-08","1963","08","20.4","","11.7","","16.1","","26.7","S","6.7","","159.3","","0.0","","159.3","","0","",,"",,""
"1963-09","1963","09","16.7","","7.3","","12.0","","24.4","","-0.6","","118.9","","0.0","","118.9","","0","",,"",,""
"1963-10","1963","10","14.9","","6.1","","10.5","","23.3","","-1.1","S","61.0","","0.0","","61.0","","0","",,"",,""
"1963-11","1963","11","5.1","","-0.2","","2.5","","17.8","","-9.4","","167.6","","0.0","","167.6","","0","",,"",,""
"1963-12","1963","12","-8.6","","-14.4","","-11.5","","1.7","","-25.0","","0.0","","21.6","","21.6","","23","",,"",,""
"1964-01","1964","01","-4.7","","-12.2","","-8.5","","3.3","","-24.4","","5.6","","","M","","M","","M",,"",,""
"1964-02","1964","02","-4.0","","-10.5","","-7.3","","1.1","S","-19.4","","0.0","","","M","","M","","M",,"",,""
"1964-03","1964","03","0.7","","-4.8","","-2.1","","8.3","S","-11.7","S","24.1","","","M","","M","102","",,"",,""
"1964-04","1964","04","7.9","","0.0","","4.0","","16.7","","-11.7","","42.4","","1.5","","43.9","","0","",,"",,""
"1964-05","1964","05","17.5","","6.3","","11.9","","29.4","","0.0","","","M","0.0","","","M","0","",,"",,""
"1964-06","1964","06","22.0","","10.3","","16.2","","29.4","","3.3","","116.1","","0.0","","116.1","","0","",,"",,""
"1964-07","1964","07","22.5","","14.1","","18.3","","31.7","","9.4","S","127.8","","0.0","","127.8","","0","",,"",,""
"1964-08","1964","08","20.8","","12.1","","16.5","","26.7","","8.9","S","119.1","","0.0","","119.1","","0","",,"",,""
"1964-09","1964","09","17.8","","7.9","","12.9","","25.0","","-0.6","","21.6","","0.0","","21.6","","0","",,"",,""
"1964-10","1964","10","9.5","","2.0","","5.8","","20.6","","-2.8","","","M","","M","","M","0","",,"",,""
"1964-11","1964","11","3.3","","-3.9","","-0.3","","12.8","","-14.4","","37.8","","13.2","","51.1","","25","",,"",,""
"1964-12","1964","12","-3.6","","-10.3","","-7.0","","13.3","","-18.9","","11.2","","62.5","","73.7","","69","",,"",,""
"1965-01","1965","01","-8.1","","-15.9","","-12.0","","5.0","","-28.9","S","10.2","","21.3","","31.5","","89","",,"",,""
