"Station Name","MORESBY ISLAND MITCHELL INLET"
"Province","BRITISH COLUMBIA"
"Latitude","52.93"
"Longitude","-132.13"
"Elevation","3.00"
"Climate Identifier","10551R8"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1991-01","1991","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-02","1991","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-03","1991","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-04","1991","04","9.8","","2.3","","6.1","","15.5","","-0.5","","332.3","","0.0","","332.3","","0","",,"",,""
"1991-05","1991","05","11.9","","5.5","","8.8","","17.0","","2.5","S","288.3","","0.0","","288.3","","0","",,"",,""
"1991-06","1991","06","15.1","","7.9","","11.5","","29.0","","2.5","","98.4","","0.0","","98.4","","0","",,"",,""
"1991-07","1991","07","16.7","","9.7","E","13.3","E","21.5","","4.0","E","154.9","","0.0","","154.9","","0","",,"",,""
"1991-08","1991","08","17.6","","10.6","","14.1","","24.5","","7.0","S","556.3","","0.0","","556.3","","0","",,"",,""
"1991-09","1991","09","16.3","","9.8","","13.0","","20.0","","4.5","","270.2","","0.0","","270.2","","0","",,"",,""
"1991-10","1991","10","12.1","","5.3","","8.8","","18.0","","-3.0","","646.1","","0.0","T","646.1","","0","",,"",,""
"1991-11","1991","11","10.8","","4.9","","7.9","","16.0","","0.5","S","######","","0.0","","######","","0","",,"",,""
"1991-12","1991","12","9.7","","3.5","","6.6","","13.0","S","-0.5","S","######","","0.0","","######","","0","",,"",,""
"1992-01","1992","01","8.8","E","3.2","E","6.0","E","13.5","B","-1.0","E","986.2","","0.0","","986.2","","0","",,"",,""
"1992-02","1992","02","8.5","","2.4","","5.5","","16.5","","-2.0","","534.1","","2.5","E","536.6","E","0","",,"",,""
"1992-03","1992","03","9.9","E","1.2","E","5.5","E","14.5","","-3.5","E","287.7","","0.0","T","287.7","","0","",,"",,""
"1992-04","1992","04","11.3","","1.9","","6.6","","15.0","S","-3.0","S","593.9","","0.0","","593.9","","0","",,"",,""
"1992-05","1992","05","13.6","E","4.1","","8.9","E","19.0","E","0.0","S","369.6","","0.0","","369.6","","0","",,"",,""
"1992-06","1992","06","16.9","E","9.2","E","13.2","E","27.0","E","4.5","E","104.9","","0.0","","104.9","","0","",,"",,""
"1992-07","1992","07","17.3","E","10.6","E","14.0","E","22.0","B","8.0","B","103.0","","0.0","","103.0","","0","",,"",,""
"1992-08","1992","08","18.4","","10.1","","14.3","","21.0","S","6.5","S","203.6","","0.0","","203.6","","0","",,"",,""
"1992-09","1992","09","14.9","","8.3","","11.6","","18.0","","1.5","","888.3","","0.0","","888.3","","0","",,"",,""
"1992-10","1992","10","12.2","","5.4","","8.8","","16.0","","-1.5","","643.6","","0.0","","643.6","","0","",,"",,""
"1992-11","1992","11","10.6","","4.8","","7.7","","15.0","S","-1.0","","######","","0.0","","######","","0","",,"",,""
"1992-12","1992","12","5.7","","0.1","","2.9","","12.0","S","-9.0","","587.1","","18.5","E","605.6","E","","M",,"",,""
"1993-01","1993","01","5.2","","-0.9","","2.2","","14.0","","-6.0","","545.4","E","35.0","E","580.4","E","0","",,"",,""
"1993-02","1993","02","8.3","","1.8","","5.1","","14.0","","-6.0","S","######","","0.0","","######","","0","",,"",,""
"1993-03","1993","03","8.9","E","1.6","E","5.2","E","12.0","E","-2.0","B","589.6","","1.0","","590.6","","0","",,"",,""
