"Station Name","MOUNT ODLUM"
"Province","ALBERTA"
"Latitude","50.48"
"Longitude","-114.90"
"Elevation","2060.00"
"Climate Identifier","3054733"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1998-01","1998","01","-7.5","E","-15.1","E","-11.4","E","4.3","E","-37.4","E","0.0","","133.1","E","133.1","E","","",,"",,""
"1998-02","1998","02","","","","","","","","","","","","","","","","","","",,"",,""
"1998-03","1998","03","","","","","","","","","","","","","","","","","","",,"",,""
"1998-04","1998","04","","","","","","","","","","","","","","","","","","",,"",,""
"1998-05","1998","05","","","","","","","","","","","","","","","","","","",,"",,""
"1998-06","1998","06","","","","","","","","","","","","","","","","","","",,"",,""
"1998-07","1998","07","","","","","","","","","","","","","","","","","","",,"",,""
"1998-08","1998","08","19.6","E","5.8","E","12.7","E","26.5","E","-0.2","E","7.4","E","0.0","","7.4","E","0","",,"",,""
"1998-09","1998","09","","","","","","","","","","","","","","","","","","",,"",,""
"1998-10","1998","10","6.3","E","-2.3","E","2.0","E","15.1","E","-9.8","E","31.4","E","72.3","E","103.7","E","","",,"",,""
"1998-11","1998","11","-3.1","E","-8.1","E","-5.6","E","1.0","B","-15.5","E","0.0","","152.9","E","152.9","E","","",,"",,""
"1998-12","1998","12","-7.8","E","-14.9","E","-11.4","E","3.4","B","-36.2","E","0.0","","108.3","E","108.3","E","","",,"",,""
"1999-01","1999","01","-5.1","E","-12.8","E","-8.9","E","-0.2","E","-27.2","E","0.0","","118.1","E","118.1","E","","",,"",,""
"1999-02","1999","02","-4.7","E","-11.4","E","-8.1","E","1.6","B","-19.7","E","0.0","","81.6","E","81.6","E","","",,"",,""
"1999-03","1999","03","-1.0","E","-10.2","E","-5.6","E","11.5","E","-17.6","B","0.0","","53.1","E","53.1","E","","",,"",,""
"1999-04","1999","04","3.1","E","-7.0","E","-2.0","E","13.9","E","-16.7","E","0.0","","75.7","E","75.7","E","","",,"",,""
"1999-05","1999","05","6.2","E","-3.2","E","1.5","E","19.9","E","-12.2","E","4.4","E","79.8","E","84.2","E","","",,"",,""
"1999-06","1999","06","10.1","E","0.4","E","5.3","E","19.3","E","-3.5","E","89.1","","0.0","","89.1","","0","",,"",,""
"1999-07","1999","07","14.2","E","3.1","E","8.7","E","23.2","E","-3.2","E","92.3","E","13.0","E","105.3","E","","",,"",,""
"1999-08","1999","08","16.9","E","5.5","E","11.2","E","23.8","E","0.0","E","121.0","E","0.0","","121.0","E","","",,"",,""
"1999-09","1999","09","10.9","E","-0.5","E","5.2","E","19.9","E","-8.9","E","38.6","E","27.2","E","65.8","E","","",,"",,""
"1999-10","1999","10","4.1","E","-4.2","E","-0.1","E","13.0","E","-12.2","B","35.6","E","59.7","E","95.3","E","","",,"",,""
"1999-11","1999","11","1.2","E","-5.8","E","-2.3","E","10.9","E","-17.3","E","","","","","","","","",,"",,""
"1999-12","1999","12","-1.2","E","-7.9","E","-4.6","E","10.0","E","-18.8","E","0.0","","44.8","E","44.8","E","","",,"",,""
"2000-01","2000","01","-5.9","E","-14.3","E","-10.1","E","6.7","E","-23.9","E","0.0","","72.7","I","72.7","I","","",,"",,""
"2000-02","2000","02","-3.5","E","-12.6","E","-8.1","E","4.0","E","-21.5","E","0.0","","75.2","","75.2","","","",,"",,""
"2000-03","2000","03","-1.0","E","-9.1","E","-5.1","E","5.8","E","-16.4","E","0.0","","88.2","E","88.2","E","","",,"",,""
"2000-04","2000","04","4.2","E","-6.3","E","-1.1","E","12.7","E","-20.3","E","0.0","","59.2","E","59.2","E","","",,"",,""
