"Station Name","MOYIE"
"Province","BRITISH COLUMBIA"
"Latitude","49.28"
"Longitude","-115.83"
"Elevation","944.90"
"Climate Identifier","1155236"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1972-01","1972","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-02","1972","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-03","1972","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-04","1972","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-05","1972","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-06","1972","06","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1972-07","1972","07","23.6","","8.0","","15.8","","30.6","S","2.8","","62.7","","0.0","","62.7","","0","",,"",,""
"1972-08","1972","08","27.6","","10.4","","19.0","","33.3","S","5.6","","18.5","","0.0","","18.5","","0","",,"",,""
"1972-09","1972","09","16.0","","3.9","","10.0","","27.8","","-1.7","","58.2","","2.5","","60.7","","0","",,"",,""
"1972-10","1972","10","10.2","","-0.5","","4.9","","20.6","","-6.7","","36.1","","8.6","","44.7","","","M",,"",,""
"1972-11","1972","11","3.9","","-1.9","","1.0","","8.9","S","-11.7","","10.4","","5.8","","16.3","","","M",,"",,""
"1972-12","1972","12","-4.1","","-10.8","","-7.5","","5.6","S","-26.7","","96.3","","13.5","","109.7","","","M",,"",,""
"1973-01","1973","01","-3.1","","-12.1","","-7.6","","5.6","","-29.4","S","40.1","","15.0","","55.1","","5","",,"",,""
"1973-02","1973","02","2.8","","-9.1","","-3.2","","9.4","","-27.2","","14.0","","15.7","","29.7","","0","T",,"",,""
"1973-03","1973","03","7.6","","-2.6","","2.5","","13.9","S","-7.8","","12.7","","18.8","","31.5","","","M",,"",,""
"1973-04","1973","04","12.3","","-1.2","","5.6","","18.9","S","-10.0","","31.8","","7.6","","39.4","","0","",,"",,""
"1973-05","1973","05","18.6","","3.0","","10.8","","30.6","","-3.9","","24.1","","0.0","","24.1","","0","",,"",,""
"1973-06","1973","06","21.1","","6.8","","14.0","","34.4","","-1.1","","46.7","","0.0","","46.7","","0","",,"",,""
"1973-07","1973","07","27.3","","9.1","","18.2","","33.3","S","3.9","","5.1","","0.0","","5.1","","0","",,"",,""
"1973-08","1973","08","27.1","","9.2","","18.2","","34.4","","2.8","S","33.8","","0.0","","33.8","","0","",,"",,""
"1973-09","1973","09","20.3","","5.7","","13.0","","30.6","","-2.8","","27.7","","0.0","","27.7","","0","",,"",,""
"1973-10","1973","10","11.1","","2.1","","6.6","","18.3","S","-4.4","S","52.3","","0.0","T","52.3","","0","",,"",,""
"1973-11","1973","11","0.4","","-4.5","","-2.1","","8.9","","-11.1","","71.6","","74.7","","146.3","","8","",,"",,""
"1973-12","1973","12","0.5","","-4.3","","-1.9","","5.0","","-17.8","","42.4","","30.7","","73.2","","5","",,"",,""
"1974-01","1974","01","-3.2","","-11.5","","-7.4","","6.7","","-33.3","","123.4","","74.7","","198.1","","13","",,"",,""
"1974-02","1974","02","2.7","","-4.8","","-1.1","","5.6","S","-13.9","","17.8","","46.7","","64.5","","20","",,"",,""
"1974-03","1974","03","4.9","","-4.4","","0.3","","11.7","","-15.0","","42.9","","17.5","","60.5","","","M",,"",,""
"1974-04","1974","04","12.4","","0.4","","6.4","","22.2","","-3.3","S","52.1","","3.6","","55.6","","0","",,"",,""
"1974-05","1974","05","14.3","","2.4","","8.4","","21.1","S","-1.1","S","65.3","","0.0","","65.3","","","M",,"",,""
"1974-06","1974","06","24.4","","7.9","","16.2","","32.2","S","3.3","S","59.9","","0.0","","59.9","","0","",,"",,""
"1974-07","1974","07","24.5","","9.1","","16.8","","32.8","S","3.9","","63.0","","0.0","","63.0","","0","",,"",,""
"1974-08","1974","08","23.8","","9.4","","16.6","","31.7","","4.4","","59.2","","0.0","","59.2","","0","",,"",,""
"1974-09","1974","09","21.3","","4.4","","12.9","","26.7","","-1.7","S","25.4","","0.0","","25.4","","0","",,"",,""
"1974-10","1974","10","15.9","","0.8","","8.4","","21.1","","-3.9","","4.3","","0.0","","4.3","","0","",,"",,""
"1974-11","1974","11","3.8","","-1.6","","1.1","","11.7","","-9.4","","85.3","","35.3","","120.7","","0","",,"",,""
"1974-12","1974","12","1.3","","-3.7","","-1.2","","5.0","","-13.3","S","25.4","","44.5","","69.9","","5","",,"",,""
