"Station Name","MUIR CREEK 1W"
"Province","BRITISH COLUMBIA"
"Latitude","48.38"
"Longitude","-123.88"
"Elevation","30.00"
"Climate Identifier","1015242"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1970-01","1970","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-02","1970","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-03","1970","03","","","","","","","","","","","97.8","","0.0","","97.8","","0","",,"",,""
"1970-04","1970","04","","","","","","","","","","","226.3","","0.0","","226.3","","0","",,"",,""
"1970-05","1970","05","","","","","","","","","","","25.1","","0.0","","25.1","","0","",,"",,""
"1970-06","1970","06","","","","","","","","","","","9.7","","0.0","","9.7","","0","",,"",,""
"1970-07","1970","07","","","","","","","","","","","21.1","","0.0","","21.1","","0","",,"",,""
"1970-08","1970","08","","","","","","","","","","","1.3","","0.0","","1.3","","0","",,"",,""
"1970-09","1970","09","","","","","","","","","","","147.6","","0.0","","147.6","","0","",,"",,""
"1970-10","1970","10","","","","","","","","","","","83.8","","0.0","","83.8","","0","",,"",,""
"1970-11","1970","11","","","","","","","","","","","179.6","","0.0","T","179.6","","0","",,"",,""
"1970-12","1970","12","","","","","","","","","","","239.3","","10.2","","249.4","","0","",,"",,""
"1971-01","1971","01","","","","","","","","","","","263.9","","88.6","","352.6","","0","",,"",,""
"1971-02","1971","02","","","","","","","","","","","154.4","","1.3","","155.7","","0","T",,"",,""
"1971-03","1971","03","","","","","","","","","","","210.6","","8.1","","218.7","","0","",,"",,""
"1971-04","1971","04","","","","","","","","","","","33.5","","0.0","","33.5","","0","",,"",,""
"1971-05","1971","05","","","","","","","","","","","23.9","","0.0","","23.9","","0","",,"",,""
"1971-06","1971","06","","","","","","","","","","","48.8","","0.0","","48.8","","0","",,"",,""
"1971-07","1971","07","","","","","","","","","","","9.9","","0.0","","9.9","","0","",,"",,""
"1971-08","1971","08","","","","","","","","","","","16.3","","0.0","","16.3","","0","",,"",,""
"1971-09","1971","09","","","","","","","","","","","59.4","","0.0","","59.4","","0","",,"",,""
"1971-10","1971","10","","","","","","","","","","","223.5","","0.0","","223.5","","0","",,"",,""
"1971-11","1971","11","","","","","","","","","","","243.3","","0.0","","243.3","","0","",,"",,""
"1971-12","1971","12","","","","","","","","","","","261.9","","7.6","","269.5","","0","T",,"",,""
"1972-01","1972","01","","","","","","","","","","","271.5","","23.9","","295.4","","0","T",,"",,""
"1972-02","1972","02","","","","","","","","","","","276.4","","0.0","T","276.4","","0","",,"",,""
"1972-03","1972","03","","","","","","","","","","","253.2","","0.0","T","253.2","","0","",,"",,""
"1972-04","1972","04","","","","","","","","","","","127.3","","0.0","","127.3","","","M",,"",,""
"1972-05","1972","05","","","","","","","","","","","5.3","","0.0","","5.3","","0","",,"",,""
"1972-06","1972","06","","","","","","","","","","","15.7","","0.0","","15.7","","0","",,"",,""
"1972-07","1972","07","","","","","","","","","","","101.6","","0.0","","101.6","","0","",,"",,""
"1972-08","1972","08","","","","","","","","","","","18.5","","0.0","","18.5","","0","",,"",,""
"1972-09","1972","09","","","","","","","","","","","121.7","","0.0","","121.7","","0","",,"",,""
"1972-10","1972","10","","","","","","","","","","","47.0","","0.0","","47.0","","0","",,"",,""
"1972-11","1972","11","","","","","","","","","","","129.5","","0.0","","129.5","","0","",,"",,""
"1972-12","1972","12","","","","","","","","","","","381.3","","19.8","","401.1","","0","",,"",,""
"1973-01","1973","01","","","","","","","","","","","212.1","","6.1","","218.2","","0","",,"",,""
"1973-02","1973","02","","","","","","","","","","","76.5","","0.0","","76.5","","","M",,"",,""
"1973-03","1973","03","","","","","","","","","","","86.9","","0.0","T","86.9","","","M",,"",,""
"1973-04","1973","04","","","","","","","","","","","39.1","","0.0","","39.1","","0","",,"",,""
"1973-05","1973","05","","","","","","","","","","","71.9","","0.0","","71.9","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","39.6","","0.0","","39.6","","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","6.9","","0.0","","6.9","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","11.9","","0.0","","11.9","","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","39.4","","0.0","","39.4","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","211.1","","0.0","","211.1","","0","",,"",,""
"1973-11","1973","11","","","","","","","","","","","257.6","","0.0","T","257.6","","0","",,"",,""
"1973-12","1973","12","","","","","","","","","","","264.7","","0.0","T","264.7","","0","",,"",,""
"1974-01","1974","01","","","","","","","","","","","340.4","","7.9","","348.2","","0","T",,"",,""
"1974-02","1974","02","","","","","","","","","","","217.9","","0.0","T","217.9","","0","",,"",,""
"1974-03","1974","03","","","","","","","","","","","189.0","","4.1","","193.0","","0","",,"",,""
"1974-04","1974","04","","","","","","","","","","","82.0","","0.0","","82.0","","0","",,"",,""
