"Station Name","MUSKOKA A"
"Province","ONTARIO"
"Latitude","44.97"
"Longitude","-79.30"
"Elevation","281.90"
"Climate Identifier","6115525"
"WMO Identifier","71630"
"TC Identifier","YQA"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1934-01","1934","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1934-02","1934","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1934-03","1934","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1934-04","1934","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1934-05","1934","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1934-06","1934","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1934-07","1934","07","","","","","","","","","","","56.4","","0.0","","56.4","","","",,"",,""
"1934-08","1934","08","","","","","","","","","","","21.8","","0.0","","21.8","","","",,"",,""
"1934-09","1934","09","","","","","","","","","","","98.6","","0.0","","98.6","","","",,"",,""
"1934-10","1934","10","","","","","","","","","","","66.3","","15.2","","81.5","","","",,"",,""
"1934-11","1934","11","","","","","","","","","","","77.2","","12.7","","89.9","","","",,"",,""
"1934-12","1934","12","","","","","","","","","","","0.3","","78.7","","79.0","","","",,"",,""
"1935-01","1935","01","","","","","","","","","","","31.2","","78.7","","110.0","","","",,"",,""
"1935-02","1935","02","","","","","","","","","","","18.5","","30.5","","49.0","","","",,"",,""
"1935-03","1935","03","","","","","","","","","","","54.1","","12.7","","66.8","","","",,"",,""
"1935-04","1935","04","","","","","","","","","","","43.2","","15.2","","58.4","","","",,"",,""
"1935-05","1935","05","","","","","","","","","","","39.9","","0.0","T","39.9","","","",,"",,""
"1935-06","1935","06","","","","","","","","","","","166.4","","0.0","","166.4","","","",,"",,""
"1935-07","1935","07","","","","","","","","","","","127.0","","0.0","","127.0","","","",,"",,""
"1935-08","1935","08","","","","","","","","","","","33.8","","0.0","","33.8","","","",,"",,""
"1935-09","1935","09","","","","","","","","","","","64.3","","0.0","","64.3","","","",,"",,""
"1935-10","1935","10","","","","","","","","","","","53.1","","1.3","","54.4","","","",,"",,""
"1935-11","1935","11","","","","","","","","","","","93.5","","21.6","","115.1","","","",,"",,""
"1935-12","1935","12","","","","","","","","","","","12.7","","63.5","","76.2","","","",,"",,""
"1936-01","1936","01","","","","","","","","","","","0.0","T","139.7","","139.7","","","",,"",,""
"1936-02","1936","02","","","","","","","","","","","0.0","T","132.1","","132.1","","","",,"",,""
"1936-03","1936","03","","","","","","","","","","","36.8","","48.3","","85.1","","","",,"",,""
"1936-04","1936","04","","","","","","","","","","","62.7","","10.2","","72.9","","","",,"",,""
"1936-05","1936","05","","","","","","","","","","","54.1","","0.0","","54.1","","","",,"",,""
"1936-06","1936","06","","","","","","","","","","","92.2","","0.0","","92.2","","","",,"",,""
"1936-07","1936","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1936-08","1936","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1936-09","1936","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1936-10","1936","10","","","","","","","","","","","85.3","","2.5","","87.9","","","",,"",,""
"1936-11","1936","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1936-12","1936","12","","","","","","","","","","","64.8","","30.5","","95.3","","","",,"",,""
"1937-01","1937","01","","","","","","","","","","","51.1","","21.6","","72.6","","","",,"",,""
"1937-02","1937","02","","","","","","","","","","","86.1","","25.4","","111.5","","","",,"",,""
"1937-03","1937","03","","","","","","","","","","","0.0","","21.1","","21.1","","","",,"",,""
"1937-04","1937","04","","","","","","","","","","","69.3","","2.0","","71.4","","","",,"",,""
"1937-05","1937","05","","","","","","","","","","","75.7","","0.0","","75.7","","","",,"",,""
"1937-06","1937","06","","","","","","","","","","","60.5","","0.0","","60.5","","","",,"",,""
"1937-07","1937","07","","","","","","","","","","","27.9","","0.0","","27.9","","","",,"",,""
"1937-08","1937","08","","","","","","","","","","","61.7","","0.0","","61.7","","","",,"",,""
"1937-09","1937","09","","","","","","","","","","","121.7","","0.0","","121.7","","","",,"",,""
"1937-10","1937","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
