"Station Name","NEW MEXICO"
"Province","QUEBEC"
"Latitude","45.35"
"Longitude","-71.48"
"Elevation",""
"Climate Identifier","7025425"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01","1973","01","","","","","","","","","","","10.4","","38.6","","49.0","","8","",,"",,""
"1973-02","1973","02","","","","","","","","","","","11.4","E","55.6","E","67.1","E","51","",,"",,""
"1973-03","1973","03","","","","","","","","","","","","M","18.0","","","M","0","",,"",,""
"1973-04","1973","04","","","","","","","","","","","27.7","","34.8","","62.5","","0","",,"",,""
"1973-05","1973","05","","","","","","","","","","","135.6","","0.0","","135.6","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","158.2","","0.0","","158.2","","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","96.5","","0.0","","96.5","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","123.7","","0.0","","123.7","","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","123.4","","0.0","","123.4","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1973-11","1973","11","","","","","","","","","","","42.4","","20.8","","63.2","","5","",,"",,""
"1973-12","1973","12","","","","","","","","","","","41.4","","50.5","","91.9","","5","",,"",,""
"1974-01","1974","01","","","","","","","","","","","15.0","","33.5","","48.5","","10","",,"",,""
"1974-02","1974","02","","","","","","","","","","","8.4","","30.2","E","38.6","E","10","",,"",,""
"1974-03","1974","03","","","","","","","","","","","11.9","","53.3","","65.3","","25","",,"",,""
"1974-04","1974","04","","","","","","","","","","","","M","36.6","","","M","0","",,"",,""
"1974-05","1974","05","","","","","","","","","","","158.5","","0.0","T","158.5","","0","",,"",,""
"1974-06","1974","06","","","","","","","","","","","98.3","","0.0","","98.3","","0","",,"",,""
"1974-07","1974","07","","","","","","","","","","","197.6","","0.0","","197.6","","0","",,"",,""
"1974-08","1974","08","","","","","","","","","","","105.9","","0.0","","105.9","","0","",,"",,""
"1974-09","1974","09","","","","","","","","","","","138.9","","0.0","T","138.9","","0","T",,"",,""
"1974-10","1974","10","","","","","","","","","","","88.9","","0.0","T","88.9","","0","",,"",,""
"1974-11","1974","11","","","","","","","","","","","98.3","","","M","","M","18","",,"",,""
"1974-12","1974","12","","","","","","","","","","","0.0","T","39.9","","39.9","","18","",,"",,""
"1975-01","1975","01","","","","","","","","","","","0.0","T","56.4","","56.4","","51","",,"",,""
"1975-02","1975","02","","","","","","","","","","","0.0","","69.1","","69.1","","36","",,"",,""
"1975-03","1975","03","","","","","","","","","","","","M","","M","","M","13","",,"",,""
"1975-04","1975","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1975-05","1975","05","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1975-06","1975","06","","","","","","","","","","","39.1","","0.0","","39.1","","0","",,"",,""
"1975-07","1975","07","","","","","","","","","","","141.5","","0.0","","141.5","","0","",,"",,""
"1975-08","1975","08","","","","","","","","","","","70.4","","0.0","","70.4","","0","",,"",,""
"1975-09","1975","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1975-10","1975","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1975-11","1975","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1975-12","1975","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
