"Station Name","NEWTON"
"Province","ONTARIO"
"Latitude","43.58"
"Longitude","-80.90"
"Elevation","382.00"
"Climate Identifier","614NFK0"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1986-01","1986","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-02","1986","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-03","1986","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-04","1986","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-05","1986","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-06","1986","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-07","1986","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-08","1986","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-09","1986","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-10","1986","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-11","1986","11","2.5","","","M","","M","","M","","M","","M","23.0","","","M","","M",,"",,""
"1986-12","1986","12","-0.6","","-5.5","","-3.1","","1.5","S","-20.0","","28.0","","45.0","","73.0","","33","",,"",,""
"1987-01","1987","01","-3.5","","-9.6","","-6.6","","3.0","S","-22.0","","2.0","","62.0","","64.0","","","M",,"",,""
"1987-02","1987","02","-2.4","","-12.8","","-7.6","","2.0","","-30.0","","4.2","","11.0","","15.2","","25","",,"",,""
"1987-03","1987","03","3.9","","-5.3","","-0.7","","17.0","","-19.0","","37.8","","16.0","","53.8","","10","",,"",,""
"1987-04","1987","04","13.7","E","2.8","E","8.3","E","27.0","","-7.0","","33.4","E","3.0","","36.4","E","0","",,"",,""
"1987-05","1987","05","21.5","","7.1","","14.3","","33.0","","-3.0","","39.4","E","0.0","","39.4","E","0","",,"",,""
"1987-06","1987","06","24.8","","11.9","","18.4","","33.0","","1.5","","80.6","","0.0","","80.6","","0","",,"",,""
"1987-07","1987","07","26.8","","15.2","","21.0","","30.5","S","8.5","","102.4","","0.0","","102.4","","0","",,"",,""
"1987-08","1987","08","23.6","","13.0","","18.3","","30.0","S","6.0","","140.2","","0.0","","140.2","","0","",,"",,""
"1987-09","1987","09","20.1","","10.1","","15.1","","27.0","","3.0","S","69.6","","0.0","","69.6","","0","",,"",,""
"1987-10","1987","10","10.4","","1.7","","6.1","","20.0","","-4.0","S","91.8","","1.0","","92.8","","0","",,"",,""
"1987-11","1987","11","6.2","","-0.9","","2.7","","20.0","","-16.0","","86.2","E","17.0","E","103.2","E","","M",,"",,""
"1987-12","1987","12","0.6","","-4.4","","-1.9","","10.0","","-15.0","","30.8","","20.0","E","50.8","E","2","",,"",,""
"1988-01","1988","01","-3.3","","-11.2","","-7.3","","9.0","","-24.0","S","26.6","E","17.0","","43.6","E","","M",,"",,""
"1988-02","1988","02","-3.8","","-13.2","E","-8.5","E","5.0","","-25.0","","6.6","E","67.4","E","74.0","E","","M",,"",,""
"1988-03","1988","03","2.1","","-6.9","","-2.4","","18.0","","-20.0","","35.0","","5.0","","40.0","","0","",,"",,""
"1988-04","1988","04","9.7","","0.9","","5.3","","19.0","","-5.0","S","71.6","","0.0","T","71.6","","0","",,"",,""
"1988-05","1988","05","19.0","E","6.7","E","12.9","E","29.0","E","-1.0","","53.9","E","0.0","","53.9","E","0","",,"",,""
"1988-06","1988","06","24.6","E","9.1","E","16.9","E","35.0","","0.0","","6.6","E","0.0","","6.6","E","0","",,"",,""
"1988-07","1988","07","28.7","","13.8","","21.3","","35.0","S","2.0","","114.6","E","0.0","","114.6","E","0","",,"",,""
"1988-08","1988","08","26.5","","14.1","","20.3","","35.5","","4.0","","52.4","","0.0","","52.4","","0","",,"",,""
"1988-09","1988","09","19.7","","8.8","","14.3","","26.0","S","3.0","","141.3","","0.0","","141.3","","0","",,"",,""
"1988-10","1988","10","9.6","E","2.2","","5.9","E","25.0","","-5.0","","138.6","","6.0","","144.6","","","M",,"",,""
"1988-11","1988","11","6.6","","0.4","","3.5","","14.0","","-3.0","S","103.0","","5.0","","108.0","","","M",,"",,""
"1988-12","1988","12","-1.4","","-8.2","","-4.8","","8.0","","-27.0","","41.6","","26.0","","","M","9","",,"",,""
"1989-01","1989","01","0.3","","-7.6","E","-3.7","E","8.5","","-25.0","","38.2","","22.0","","60.2","","","M",,"",,""
"1989-02","1989","02","-4.8","","-11.5","","-8.2","","2.0","S","-24.0","","0.0","T","34.0","","34.0","","22","",,"",,""
"1989-03","1989","03","1.6","","-7.7","","-3.1","","22.0","","-21.0","","32.8","","23.0","","55.8","","0","",,"",,""
"1989-04","1989","04","8.6","","-0.3","","4.2","","19.0","S","-8.0","","40.4","","24.0","","64.4","","0","",,"",,""
"1989-05","1989","05","17.3","","6.1","","11.7","","26.0","","0.0","S","113.6","","1.6","E","115.2","E","0","",,"",,""
"1989-06","1989","06","22.7","","11.7","","17.2","","30.0","","5.0","S","66.1","E","0.0","","66.1","E","0","",,"",,""
"1989-07","1989","07","26.8","","13.4","","20.1","","31.5","","5.0","","15.8","","0.0","","15.8","","0","",,"",,""
"1989-08","1989","08","24.0","","12.1","","18.1","","30.0","","6.0","S","81.3","","0.0","","81.3","","0","",,"",,""
"1989-09","1989","09","19.9","","8.6","","14.3","","27.0","","-2.0","","65.5","","0.0","","65.5","","0","",,"",,""
"1989-10","1989","10","14.0","","3.7","","8.9","","27.0","","-2.0","","91.8","","0.0","T","91.8","","0","",,"",,""
"1989-11","1989","11","3.5","","-3.2","","0.2","","16.0","","-14.0","S","107.0","","22.0","","129.0","","4","",,"",,""
"1989-12","1989","12","-7.6","","-15.2","","-11.4","","3.5","","-27.0","","11.0","","34.0","E","45.0","E","20","",,"",,""
"1990-01","1990","01","0.3","","-5.7","","-2.7","","6.0","","-14.0","","43.6","","21.0","","64.6","","","M",,"",,""
"1990-02","1990","02","-0.7","E","-7.4","E","-4.1","E","","M","","M","36.0","E","30.0","E","66.0","E","14","",,"",,""
"1990-03","1990","03","4.0","","-3.5","","0.3","","22.0","","-15.0","","50.8","","5.0","","55.8","","","M",,"",,""
"1990-04","1990","04","12.2","","2.7","","7.5","","28.0","S","-6.0","","58.0","","0.0","T","58.0","","0","",,"",,""
"1990-05","1990","05","16.3","","4.7","","10.5","","24.0","S","-2.5","","82.6","","0.0","T","82.6","","0","",,"",,""
"1990-06","1990","06","22.3","","11.3","","16.8","","29.0","","2.0","","122.6","E","0.0","","122.6","E","0","",,"",,""
"1990-07","1990","07","24.6","","13.0","","18.8","","32.0","","7.0","","122.4","","0.0","","122.4","","0","",,"",,""
"1990-08","1990","08","24.2","","12.4","E","18.3","E","29.0","","7.0","S","78.2","","0.0","","78.2","","0","",,"",,""
"1990-09","1990","09","19.6","","8.9","","14.3","","28.0","","0.0","","130.4","","0.0","","130.4","","0","",,"",,""
"1990-10","1990","10","12.7","","3.4","","8.1","","25.0","","-4.0","","95.0","","0.0","","95.0","","0","",,"",,""
"1990-11","1990","11","7.7","","-0.1","","3.8","","20.0","","-8.0","","92.8","","10.6","","103.4","","0","",,"",,""
"1990-12","1990","12","0.6","","-5.8","","-2.6","","11.0","","-20.0","","69.4","","38.0","","107.4","","4","",,"",,""
"1991-01","1991","01","-4.3","","-10.5","E","-7.4","E","3.0","","-23.0","","9.8","","45.8","","55.6","","30","",,"",,""
"1991-02","1991","02","-0.7","","-7.7","","-4.2","","7.0","","-23.0","","17.4","","36.0","","53.4","","28","",,"",,""
"1991-03","1991","03","3.6","","-3.8","","-0.1","","16.0","S","-14.0","","99.4","","17.0","","116.4","","1","",,"",,""
"1991-04","1991","04","11.9","","3.6","","7.8","","24.0","","-4.0","S","116.8","","3.0","","119.8","","0","",,"",,""
"1991-05","1991","05","22.0","","10.2","","16.1","","32.0","","0.0","S","68.6","","0.0","","68.6","","0","",,"",,""
"1991-06","1991","06","25.1","","12.3","","18.7","","30.5","","5.0","","23.2","","0.0","","23.2","","0","",,"",,""
"1991-07","1991","07","25.4","","13.4","","19.4","","31.0","","5.0","","163.9","","0.0","","163.9","","0","",,"",,""
"1991-08","1991","08","25.4","","14.4","E","19.9","E","31.0","","7.0","","79.6","","0.0","","79.6","","0","",,"",,""
"1991-09","1991","09","20.5","","7.6","","14.0","","31.0","","-1.0","","69.4","","0.0","","69.4","","0","",,"",,""
"1991-10","1991","10","13.6","","5.7","","9.6","","24.0","","-3.0","","116.0","","0.0","","116.0","","0","",,"",,""
"1991-11","1991","11","4.4","","-1.9","E","1.3","E","15.0","S","-10.0","","60.2","","25.0","","85.2","","0","T",,"",,""
"1991-12","1991","12","-0.5","","-7.4","","-3.9","","11.0","","-22.0","","42.8","","35.0","","77.8","","5","",,"",,""
"1992-01","1992","01","-2.9","","-8.6","","-5.7","","4.0","","-21.0","","15.4","","41.0","E","56.4","E","29","",,"",,""
"1992-02","1992","02","-2.0","","-9.6","","-5.8","","3.0","S","-25.5","","26.8","","25.0","","51.8","","23","",,"",,""
"1992-03","1992","03","1.4","","-6.6","","-2.6","","11.0","","-20.0","","32.6","","12.0","","44.6","","0","",,"",,""
"1992-04","1992","04","8.9","","0.7","E","4.8","E","20.0","","-6.0","","137.4","","1.0","","138.4","","0","",,"",,""
"1992-05","1992","05","19.1","I","5.2","I","12.1","I","29.0","I","-1.0","I","50.2","","0.0","","50.2","","0","",,"",,""
"1992-06","1992","06","20.3","E","8.6","E","14.4","E","27.0","E","0.5","E","78.6","","0.0","","78.6","","0","",,"",,""
"1992-07","1992","07","21.5","","11.0","","16.2","","26.0","","4.5","","199.2","","0.0","","199.2","","0","",,"",,""
"1992-08","1992","08","22.0","","11.0","","16.5","","29.0","","4.0","","152.0","","0.0","","152.0","","0","",,"",,""
"1992-09","1992","09","19.5","","9.1","","14.3","","26.0","S","0.0","","122.0","","0.0","","122.0","","0","",,"",,""
"1992-10","1992","10","11.2","","0.5","","5.8","","22.0","","-5.0","","56.8","","3.0","","59.8","","0","",,"",,""
"1992-11","1992","11","4.0","","-1.6","","1.2","","14.0","","-11.0","","151.8","","21.0","","172.8","","0","",,"",,""
"1992-12","1992","12","0.0","","-5.5","","-2.7","","8.0","","-20.0","","39.8","","23.0","","62.8","","0","",,"",,""
"1993-01","1993","01","-2.2","","-8.1","","-5.1","","10.0","","-17.0","","49.2","","47.0","","96.2","","42","",,"",,""
"1993-02","1993","02","-5.8","","-15.1","","-10.4","","1.0","","-26.0","","0.0","T","40.0","","40.0","","","M",,"",,""
"1993-03","1993","03","0.5","","-8.3","","-3.9","","14.0","","-25.0","","1.2","","24.0","","25.2","","10","",,"",,""
"1993-04","1993","04","10.5","","0.8","","5.6","","19.0","S","-5.0","S","79.4","","0.0","T","79.4","","0","",,"",,""
"1993-05","1993","05","17.7","","5.4","","11.6","","30.0","","-2.0","","52.8","","0.0","","52.8","","0","",,"",,""
