"Station Name","NORQUAY"
"Province","SASKATCHEWAN"
"Latitude","51.87"
"Longitude","-102.07"
"Elevation","496.00"
"Climate Identifier","4015580"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1997-12","1997","12","","","","","","","","","","","0.0","","12.4","","12.4","","","",,"",,""
"1998-01","1998","01","","","","","","","","","","","0.0","","45.6","","45.6","","","",,"",,""
"1998-02","1998","02","","","","","","","","","","","0.4","","25.6","","26.0","","","",,"",,""
"1998-03","1998","03","","","","","","","","","","","0.2","","8.6","","8.8","","","",,"",,""
"1998-04","1998","04","","","","","","","","","","","2.8","","4.0","","6.8","","0","",,"",,""
"1998-05","1998","05","","","","","","","","","","","49.8","","5.0","","54.8","","0","",,"",,""
"1998-06","1998","06","","","","","","","","","","","121.0","","0.0","","121.0","","0","",,"",,""
"1998-07","1998","07","","","","","","","","","","","69.4","","0.0","","69.4","","0","",,"",,""
"1998-08","1998","08","","","","","","","","","","","37.8","","0.0","","37.8","","0","",,"",,""
"1998-09","1998","09","","","","","","","","","","","75.8","","0.0","","75.8","","0","",,"",,""
"1998-10","1998","10","","","","","","","","","","","26.4","","14.4","","40.8","","0","",,"",,""
"1998-11","1998","11","","","","","","","","","","","4.0","","1.0","","5.0","","","",,"",,""
"1998-12","1998","12","","","","","","","","","","","0.0","","35.2","","35.2","","","",,"",,""
"1999-01","1999","01","","","","","","","","","","","0.0","","21.0","","21.0","","","",,"",,""
"1999-02","1999","02","","","","","","","","","","","0.0","","36.0","","36.0","","","",,"",,""
"1999-03","1999","03","","","","","","","","","","","0.0","","9.0","","9.0","","","",,"",,""
"1999-04","1999","04","","","","","","","","","","","3.0","","20.8","","23.8","","0","",,"",,""
"1999-05","1999","05","","","","","","","","","","","104.4","","0.0","","104.4","","0","",,"",,""
"1999-06","1999","06","","","","","","","","","","","79.4","","0.0","","79.4","","0","",,"",,""
"1999-07","1999","07","","","","","","","","","","","87.8","","0.0","","87.8","","0","",,"",,""
"1999-08","1999","08","","","","","","","","","","","34.0","","0.0","","34.0","","0","",,"",,""
"1999-09","1999","09","","","","","","","","","","","48.2","","0.0","T","48.2","","0","",,"",,""
"1999-10","1999","10","","","","","","","","","","","39.2","","8.0","","47.2","","0","",,"",,""
"1999-11","1999","11","","","","","","","","","","","1.2","","21.0","","22.2","","12","",,"",,""
"1999-12","1999","12","","","","","","","","","","","2.0","","14.0","","16.0","","","",,"",,""
"2000-01","2000","01","","","","","","","","","","","0.0","","36.0","","36.0","","","",,"",,""
"2000-02","2000","02","","","","","","","","","","","0.6","","5.0","","5.6","","","",,"",,""
"2000-03","2000","03","","","","","","","","","","","4.8","","5.0","","9.8","","0","",,"",,""
"2000-04","2000","04","","","","","","","","","","","10.4","","16.4","","26.8","","0","",,"",,""
"2000-05","2000","05","","","","","","","","","","","47.6","","0.0","T","47.6","","0","",,"",,""
"2000-06","2000","06","","","","","","","","","","","158.2","","0.0","","158.2","","0","",,"",,""
"2000-07","2000","07","","","","","","","","","","","122.4","","0.0","","122.4","","0","",,"",,""
"2000-08","2000","08","","","","","","","","","","","86.0","","0.0","","86.0","","0","",,"",,""
"2000-09","2000","09","","","","","","","","","","","30.0","","0.0","","30.0","","0","",,"",,""
"2000-10","2000","10","","","","","","","","","","","9.2","","0.0","T","9.2","","0","",,"",,""
"2000-11","2000","11","","","","","","","","","","","0.4","","59.0","","59.4","","","",,"",,""
