"Station Name","NORWOOD"
"Province","ONTARIO"
"Latitude","44.38"
"Longitude","-77.97"
"Elevation","213.40"
"Climate Identifier","6165716"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1875-01","1875","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1875-02","1875","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1875-03","1875","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1875-04","1875","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1875-05","1875","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1875-06","1875","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1875-07","1875","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1875-08","1875","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1875-09","1875","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1875-10","1875","10","","M","","M","","M","","M","","M","56.6","","0.0","T","56.6","","","",,"",,""
"1875-11","1875","11","1.6","","-7.6","","-3.0","","9.4","S","-26.1","","11.9","","14.7","","26.7","","","",,"",,""
"1875-12","1875","12","-0.8","","","M","","M","12.8","","","M","20.3","","37.3","","57.7","","","",,"",,""
"1876-01","1876","01","0.7","","","M","","M","","M","","M","20.6","","20.1","","40.6","","","",,"",,""
"1876-02","1876","02","-2.6","","-12.7","","-7.7","","9.4","","-27.8","S","62.2","","60.7","","122.9","","","",,"",,""
"1876-03","1876","03","0.9","","-11.2","","-5.2","","10.0","S","-24.4","","23.6","","68.6","","92.2","","","",,"",,""
"1876-04","1876","04","7.7","","-2.4","","2.7","","15.0","S","-15.0","","33.8","","1.8","","35.6","","","",,"",,""
"1876-05","1876","05","16.8","","4.9","","10.9","","27.2","S","-2.2","","28.4","","0.0","","28.4","","","",,"",,""
"1876-06","1876","06","25.7","","13.9","","19.8","","32.2","","5.0","","42.4","","0.0","","42.4","","","",,"",,""
"1876-07","1876","07","26.3","","13.5","","19.9","","33.3","","3.3","","78.7","","0.0","","78.7","","","",,"",,""
"1876-08","1876","08","27.6","","11.7","","19.7","","","M","","M","14.5","","0.0","","14.5","","","",,"",,""
"1876-09","1876","09","19.2","","7.2","","13.2","","","M","","M","69.9","","0.0","","69.9","","","",,"",,""
"1876-10","1876","10","9.9","","0.2","","5.1","","","M","","M","32.3","","0.0","T","32.3","","","",,"",,""
"1876-11","1876","11","","M","","M","","M","","M","","M","39.9","","0.0","","39.9","","","",,"",,""
"1876-12","1876","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1877-01","1877","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1877-02","1877","02","1.6","","-8.3","","-3.4","","10.0","","-20.0","","0.0","","","M","","M","","",,"",,""
"1877-03","1877","03","-0.2","","-9.7","","-5.0","","8.3","","-23.3","","38.6","","49.5","","88.1","","","",,"",,""
"1877-04","1877","04","11.8","","-0.1","","5.9","","21.7","","-8.9","","37.1","","0.5","","37.6","","","",,"",,""
"1877-05","1877","05","19.0","","5.0","","12.0","","28.9","","-3.9","","29.2","","0.0","","29.2","","","",,"",,""
"1877-06","1877","06","24.3","","9.6","","17.0","","30.0","","1.7","","24.4","","0.0","","24.4","","","",,"",,""
"1877-07","1877","07","27.4","","12.9","","20.2","","32.8","","6.7","S","127.3","","0.0","","127.3","","","",,"",,""
"1877-08","1877","08","26.1","","12.8","","19.5","","29.4","","8.3","","35.6","","0.0","","35.6","","","",,"",,""
"1877-09","1877","09","22.7","","7.6","","15.2","","28.9","S","-1.1","S","68.1","","0.0","","68.1","","","",,"",,""
"1877-10","1877","10","12.8","","3.9","","8.4","","28.3","","-3.9","","44.2","","0.0","T","44.2","","","",,"",,""
"1877-11","1877","11","5.1","","-1.9","","1.6","","10.6","","-11.1","","108.2","","0.0","T","108.2","","","",,"",,""
"1877-12","1877","12","1.8","","-4.6","","-1.4","","7.2","S","-13.3","","8.9","","0.0","T","8.9","","","",,"",,""
"1878-01","1878","01","-2.7","","-11.7","","-7.2","","5.6","","-27.8","S","5.6","","20.3","","25.9","","","",,"",,""
"1878-02","1878","02","0.2","","-9.5","","-4.7","","6.1","S","-20.6","","39.4","","25.9","","65.3","","","",,"",,""
"1878-03","1878","03","7.0","","-2.7","","2.2","","15.6","","-15.0","","36.8","","25.7","","62.5","","","",,"",,""
"1878-04","1878","04","15.4","","4.4","","9.9","","21.7","","-2.2","S","100.1","","0.0","","100.1","","","",,"",,""
"1878-05","1878","05","17.2","","5.3","","11.3","","24.4","","-2.8","","80.0","","0.0","T","80.0","","","",,"",,""
"1878-06","1878","06","22.4","","9.5","","16.0","","","M","","M","65.8","","0.0","","65.8","","","",,"",,""
"1878-07","1878","07","28.6","","14.8","","21.7","","35.6","","7.2","","37.1","","0.0","","37.1","","","",,"",,""
"1878-08","1878","08","25.6","","13.0","","19.3","","","M","","M","127.5","","0.0","","127.5","","","",,"",,""
"1878-09","1878","09","20.1","","9.8","","15.0","","","M","","M","140.7","","0.0","","140.7","","","",,"",,""
"1878-10","1878","10","13.9","","3.6","","8.8","","","M","","M","113.3","","4.8","","118.1","","","",,"",,""
