"Station Name","NOTIGI"
"Province","MANITOBA"
"Latitude","55.90"
"Longitude","-99.37"
"Elevation","262.10"
"Climate Identifier","5062049"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01","1973","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-02","1973","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-04","1973","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-05","1973","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-06","1973","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-07","1973","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-08","1973","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-09","1973","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-10","1973","10","","M","","M","","M","","M","-6.7","","","M","","M","","M","10","",,"",,""
"1973-11","1973","11","-9.2","","-17.2","","-13.2","","-3.9","","-30.0","","0.0","","45.0","","45.0","","33","",,"",,""
"1973-12","1973","12","-18.7","","-27.6","","-23.2","","-7.2","S","-41.7","","0.0","","31.0","","31.0","","43","",,"",,""
"1974-01","1974","01","-24.2","","-35.1","","-29.7","","-5.0","","-43.9","","0.0","","17.3","","17.3","","48","",,"",,""
"1974-02","1974","02","-15.5","","-30.6","","-23.1","","-2.8","","-45.6","","0.0","","14.5","","14.5","","53","",,"",,""
"1974-03","1974","03","-11.3","","-24.6","","-18.0","","1.1","","-38.3","","0.0","","29.2","","29.2","","64","",,"",,""
"1974-04","1974","04","5.8","","-11.1","","-2.7","","21.7","","-30.0","","0.0","T","7.1","","7.1","","0","",,"",,""
"1974-05","1974","05","11.5","","-1.4","","5.1","","29.4","","-11.7","","17.8","","12.7","","30.5","","0","",,"",,""
"1974-06","1974","06","19.3","","5.7","","12.5","","32.2","","-2.2","","49.5","","0.0","","49.5","","0","",,"",,""
"1974-07","1974","07","23.1","","10.9","","17.0","","30.6","S","5.6","S","35.3","","0.0","","35.3","","0","",,"",,""
"1974-08","1974","08","20.1","","7.0","","13.6","","33.9","","-1.1","S","63.8","","0.0","","63.8","","0","",,"",,""
"1974-09","1974","09","8.6","","-0.9","","3.9","","21.7","","-12.2","","38.1","","3.3","","41.4","","","M",,"",,""
"1974-10","1974","10","3.6","","-5.3","","-0.9","","12.2","","-12.8","","7.9","","14.2","","22.1","","0","T",,"",,""
"1974-11","1974","11","-3.2","","-11.7","","-7.5","","12.8","","-32.8","","20.8","","28.4","","49.3","","25","",,"",,""
"1974-12","1974","12","-9.4","","-19.0","","-14.2","","2.2","","-30.6","","0.0","T","15.2","","15.2","","36","",,"",,""
"1975-01","1975","01","-22.2","","-32.2","","-27.2","","-6.7","","-45.6","","0.0","T","28.2","","28.2","","43","",,"",,""
"1975-02","1975","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-03","1975","03","-7.2","","-22.9","","-15.1","","3.3","","-30.0","","0.0","","14.7","","14.7","","","M",,"",,""
"1975-04","1975","04","8.1","","-7.2","","0.5","","22.2","","-27.2","","6.4","E","15.2","E","21.6","E","0","",,"",,""
"1975-05","1975","05","13.4","","0.6","","7.0","","22.8","","-10.6","","60.5","","14.5","E","74.9","E","0","",,"",,""
"1975-06","1975","06","18.9","E","7.4","","13.2","E","31.7","","0.0","","62.7","","0.0","","62.7","","0","",,"",,""
"1975-07","1975","07","24.1","","10.1","","17.1","","32.8","","3.9","","100.3","","0.0","","100.3","","0","",,"",,""
"1975-08","1975","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-09","1975","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-10","1975","10","5.3","","-4.4","E","0.5","E","23.3","","-15.6","","12.4","","3.6","","16.0","","0","T",,"",,""
"1975-11","1975","11","-4.3","","-13.4","","-8.9","","9.4","","-37.8","","0.0","","8.1","E","8.1","E","","M",,"",,""
"1975-12","1975","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
