"Station Name","NOTTINGHAM ISLAND"
"Province","NUNAVUT"
"Latitude","63.12"
"Longitude","-77.93"
"Elevation","16.50"
"Climate Identifier","2402900"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1927-01","1927","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-02","1927","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-03","1927","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-04","1927","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-05","1927","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-06","1927","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-07","1927","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-08","1927","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1927-09","1927","09","6.4","","0.5","","3.5","","19.4","","-2.2","S","96.5","","0.5","","97.0","","","",,"",,""
"1927-10","1927","10","0.0","","-3.2","","-1.6","","4.4","","-8.9","","0.5","","22.9","","23.4","","","",,"",,""
"1927-11","1927","11","-6.5","","-11.1","","-8.8","","3.9","","-20.0","","0.0","","81.0","","81.0","","","",,"",,""
"1927-12","1927","12","-14.9","","-20.9","","-17.9","","-5.6","S","-34.4","","0.0","","49.0","","49.0","","","",,"",,""
"1928-01","1928","01","-24.7","","-29.9","","-27.3","","-19.4","","-36.7","S","0.0","","9.9","","9.9","","","",,"",,""
"1928-02","1928","02","-23.0","","-30.1","","-26.6","","-12.8","","-36.7","","0.0","","8.6","","8.6","","","",,"",,""
"1928-03","1928","03","-14.7","","-22.6","","-18.7","","-6.7","","-31.7","","0.0","","2.5","","2.5","","","",,"",,""
"1928-04","1928","04","-10.3","","-17.9","","-14.1","","5.0","","-30.0","","0.0","","2.3","","2.3","","","",,"",,""
"1928-05","1928","05","-1.2","","-6.3","","-3.8","","5.0","","-15.6","","6.1","","9.7","","15.7","","","",,"",,""
"1928-06","1928","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1928-07","1928","07","9.9","","2.6","","6.3","","17.2","","0.0","","37.6","","0.0","","37.6","","","",,"",,""
"1928-08","1928","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1928-09","1928","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1928-10","1928","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1928-11","1928","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1928-12","1928","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1929-01","1929","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1929-02","1929","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1929-03","1929","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1929-04","1929","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1929-05","1929","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1929-06","1929","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1929-07","1929","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1929-08","1929","08","9.6","","2.6","","6.1","","17.8","","-1.7","","17.0","","14.5","","31.5","","","",,"",,""
"1929-09","1929","09","1.6","","-1.9","","-0.2","","9.4","","-5.6","","5.8","","2.3","","8.1","","","",,"",,""
"1929-10","1929","10","-1.3","","-5.1","","-3.2","","2.2","S","-12.2","","0.0","","17.5","","17.5","","","",,"",,""
"1929-11","1929","11","-11.6","","-20.1","","-15.9","","-0.6","","-29.4","S","0.0","","33.0","","33.0","","","",,"",,""
"1929-12","1929","12","-21.4","","-26.5","","-24.0","","-6.7","","-34.4","","0.0","","5.1","","5.1","","","",,"",,""
"1930-01","1930","01","-27.2","","-31.7","","-29.5","","-22.8","S","-37.8","","0.0","","3.6","","3.6","","","",,"",,""
"1930-02","1930","02","-25.5","","-31.2","","-28.4","","-17.8","S","-36.7","","0.0","","2.0","","2.0","","","",,"",,""
"1930-03","1930","03","-14.9","","-23.2","","-19.1","","-0.6","","-35.6","S","0.0","","4.6","","4.6","","","",,"",,""
"1930-04","1930","04","-11.2","","-16.8","","-14.0","","-2.2","","-27.2","","0.0","","19.1","","19.1","","","",,"",,""
"1930-05","1930","05","-2.3","","-8.6","","-5.5","","1.1","S","-14.4","","0.0","","1.5","","1.5","","","",,"",,""
"1930-06","1930","06","4.2","","-1.1","","1.6","","12.8","","-11.1","","11.2","","6.9","","18.0","","","",,"",,""
"1930-07","1930","07","6.1","","-1.4","","2.4","","11.7","","-3.3","","78.7","","0.0","","78.7","","","",,"",,""
"1930-08","1930","08","9.1","","0.6","","4.9","","14.4","","-1.7","S","32.8","","0.0","","32.8","","","",,"",,""
"1930-09","1930","09","5.2","","-0.3","","2.5","","10.6","","-2.8","","16.0","","0.0","","16.0","","","",,"",,""
"1930-10","1930","10","-1.2","","-7.2","","-4.2","","5.0","","-16.7","","","M","","M","","M","","",,"",,""
"1930-11","1930","11","-7.3","","-13.7","","-10.5","","3.9","","-26.7","","","M","","M","","M","","",,"",,""
"1930-12","1930","12","-28.1","","-33.7","","-30.9","","-20.6","S","-42.2","","","M","","M","","M","","",,"",,""
"1931-01","1931","01","-19.7","","-27.9","","-23.8","","-13.3","S","-36.7","","0.0","","","M","","M","","",,"",,""
"1931-02","1931","02","-20.5","","-30.1","","-25.3","","-6.1","","-41.1","","0.0","","","M","","M","","",,"",,""
"1931-03","1931","03","-16.7","","-25.3","","-21.0","","-4.4","","-35.6","","0.0","","","M","","M","","",,"",,""
"1931-04","1931","04","-8.9","","-17.6","","-13.3","","1.7","","-28.9","S","0.0","","","M","","M","","",,"",,""
"1931-05","1931","05","-0.1","","-4.8","","-2.5","","5.0","","-13.3","","0.0","","","M","","M","","",,"",,""
"1931-06","1931","06","4.7","","-0.4","","2.2","","12.2","","-4.4","","","M","","M","","M","","",,"",,""
"1931-07","1931","07","12.2","","4.8","","8.5","","18.9","S","-0.6","","","M","0.0","","","M","","",,"",,""
"1931-08","1931","08","10.6","","4.4","","7.5","","16.1","S","0.0","","","M","0.0","","","M","","",,"",,""
"1931-09","1931","09","4.7","","0.4","","2.6","","11.1","","-3.3","","6.6","","0.0","","6.6","","","",,"",,""
"1931-10","1931","10","-1.0","","-4.6","","-2.8","","3.3","","-7.8","S","7.9","","10.2","","18.0","","","",,"",,""
"1931-11","1931","11","-6.9","","-13.2","","-10.1","","0.0","","-22.2","S","0.0","T","57.2","","57.2","","","",,"",,""
"1931-12","1931","12","-15.1","","-21.4","","-18.3","","-3.9","","-31.7","","0.0","","40.1","","40.1","","","",,"",,""
"1932-01","1932","01","-22.5","","-28.2","","-25.4","","-8.9","","-34.4","S","0.0","","10.7","","10.7","","","",,"",,""
"1932-02","1932","02","-25.6","","-32.1","","-28.9","","-17.8","","-38.3","","0.0","","11.7","","11.7","","","",,"",,""
"1932-03","1932","03","-16.9","","-24.8","","-20.9","","-8.9","S","-34.4","","0.0","","23.1","","23.1","","","",,"",,""
"1932-04","1932","04","-8.6","","-16.1","","-12.4","","-1.7","","-22.8","S","0.0","","26.4","","26.4","","","",,"",,""
"1932-05","1932","05","0.8","","-3.8","","-1.5","","5.6","","-13.3","","1.8","","26.7","","28.4","","","",,"",,""
"1932-06","1932","06","4.8","","-0.7","","2.1","","12.8","","-5.0","","2.8","","11.2","","14.0","","","",,"",,""
"1932-07","1932","07","9.8","","1.9","","5.9","","16.7","","-0.6","","40.4","","0.0","","40.4","","","",,"",,""
"1932-08","1932","08","10.8","","3.4","","7.1","","17.8","S","0.0","S","72.1","","0.0","","72.1","","","",,"",,""
"1932-09","1932","09","4.8","","0.6","","2.7","","8.9","","-3.3","","108.0","","7.6","","115.6","","","",,"",,""
"1932-10","1932","10","-0.8","","-4.7","","-2.8","","4.4","","-12.2","","0.0","","22.4","","22.4","","","",,"",,""
"1932-11","1932","11","-8.3","","-13.8","","-11.1","","0.0","","-23.3","","0.0","","27.7","","27.7","","","",,"",,""
"1932-12","1932","12","-18.1","","-23.7","","-20.9","","-1.7","","-32.2","","0.0","","36.8","","36.8","","","",,"",,""
"1933-01","1933","01","-23.8","","-29.3","","-26.6","","-7.2","","-38.3","","0.0","","15.0","","15.0","","","",,"",,""
"1933-02","1933","02","-22.8","","-29.2","","-26.0","","-8.9","S","-37.2","","0.0","","9.9","","9.9","","","",,"",,""
"1933-03","1933","03","-14.6","","-22.0","","-18.3","","-3.9","","-30.6","","0.0","","16.0","","16.0","","","",,"",,""
"1933-04","1933","04","-8.2","","-15.8","","-12.0","","2.2","","-25.6","S","0.0","","33.5","","33.5","","","",,"",,""
"1933-05","1933","05","-2.7","","-8.1","","-5.4","","3.3","S","-15.0","","0.0","","32.3","","32.3","","","",,"",,""
"1933-06","1933","06","3.1","","-1.6","","0.8","","8.9","","-4.4","S","19.1","","8.4","","27.4","","","",,"",,""
"1933-07","1933","07","10.0","","1.9","","6.0","","15.6","","-0.6","","23.1","","0.0","","23.1","","","",,"",,""
"1933-08","1933","08","8.5","","2.5","","5.5","","15.0","","0.0","S","51.3","","0.3","","51.6","","","",,"",,""
"1933-09","1933","09","3.8","","-0.3","","1.8","","10.0","","-3.9","","18.3","","24.4","","42.7","","","",,"",,""
"1933-10","1933","10","-1.7","","-5.4","","-3.6","","2.8","S","-11.7","","2.5","","23.6","","26.2","","","",,"",,""
"1933-11","1933","11","-13.8","","-18.6","","-16.2","","-3.9","","-28.3","","0.0","","12.7","","12.7","","","",,"",,""
"1933-12","1933","12","-24.2","","-28.7","","-26.5","","-15.6","","-35.6","","0.0","","3.0","","3.0","","","",,"",,""
"1934-01","1934","01","-24.9","","-30.1","","-27.5","","-15.0","","-36.1","S","0.0","","9.4","","9.4","","","",,"",,""
"1934-02","1934","02","-26.0","","-30.7","","-28.4","","-18.9","","-36.7","S","0.0","","3.6","","3.6","","","",,"",,""
"1934-03","1934","03","-21.9","","-28.2","","-25.1","","-9.4","","-35.0","","0.0","","3.0","","3.0","","","",,"",,""
"1934-04","1934","04","-9.6","","-16.3","","-13.0","","3.9","","-24.4","S","0.0","","17.0","","17.0","","","",,"",,""
"1934-05","1934","05","-3.2","","-8.5","","-5.9","","3.9","","-22.2","","0.0","","13.2","","13.2","","","",,"",,""
"1934-06","1934","06","4.1","","-0.7","","1.7","","10.0","S","-5.0","S","6.6","","15.5","","22.1","","","",,"",,""
"1934-07","1934","07","10.1","","2.1","","6.1","","16.7","","-1.1","","19.1","","0.3","","19.3","","","",,"",,""
"1934-08","1934","08","8.4","","3.2","","5.8","","16.7","","1.1","","59.9","","0.0","","59.9","","","",,"",,""
"1934-09","1934","09","2.9","","-1.2","","0.9","","11.1","","-6.7","","45.0","","7.1","","52.1","","","",,"",,""
"1934-10","1934","10","-1.2","","-5.5","","-3.4","","2.8","","-14.4","","0.5","","50.5","","51.1","","","",,"",,""
"1934-11","1934","11","-9.2","","-15.5","","-12.4","","-2.2","","-25.6","","0.0","","24.4","","24.4","","","",,"",,""
"1934-12","1934","12","-21.2","","-26.9","","-24.1","","-12.2","","-35.6","S","0.0","","6.9","","6.9","","","",,"",,""
"1935-01","1935","01","-29.8","","-35.1","","-32.5","","-15.0","","-40.0","","0.0","","6.4","","6.4","","","",,"",,""
"1935-02","1935","02","-23.9","","-31.9","","-27.9","","-15.6","","-38.3","","0.0","","7.9","","7.9","","","",,"",,""
"1935-03","1935","03","-18.4","","-27.4","","-22.9","","-7.2","","-35.0","S","0.0","","0.5","","0.5","","","",,"",,""
"1935-04","1935","04","-7.4","","-15.5","","-11.5","","-1.1","S","-30.0","","0.0","","3.6","","3.6","","","",,"",,""
"1935-05","1935","05","0.0","","-7.1","","-3.6","","6.7","","-16.1","","0.0","","6.9","","6.9","","","",,"",,""
"1935-06","1935","06","6.1","","-0.4","","2.9","","18.3","","-12.2","","52.6","","3.6","","56.1","","","",,"",,""
"1935-07","1935","07","9.9","","1.7","","5.8","","18.3","","-1.7","","46.7","","0.0","","46.7","","","",,"",,""
"1935-08","1935","08","10.8","","3.3","","7.1","","19.4","S","-1.7","","23.1","","0.0","","23.1","","","",,"",,""
"1935-09","1935","09","6.3","","1.0","","3.7","","12.8","","-2.8","","14.2","","0.0","T","14.2","","","",,"",,""
"1935-10","1935","10","-0.4","","-5.2","","-2.8","","5.0","","-10.0","S","4.1","","24.4","","28.4","","","",,"",,""
"1935-11","1935","11","-12.5","","-18.2","","-15.4","","-2.2","","-29.4","","0.0","","42.9","","42.9","","","",,"",,""
"1935-12","1935","12","-13.8","","-20.9","","-17.4","","-2.8","","-31.7","","0.0","","42.9","","42.9","","","",,"",,""
"1936-01","1936","01","-21.3","","-28.9","","-25.1","","-6.7","","-37.2","","0.0","","4.8","","4.8","","","",,"",,""
"1936-02","1936","02","-18.2","","-26.9","","-22.6","","-7.2","S","-35.6","","0.0","","24.6","","24.6","","","",,"",,""
"1936-03","1936","03","-12.7","","-20.8","","-16.8","","-5.0","","-34.4","","0.0","","48.5","","48.5","","","",,"",,""
"1936-04","1936","04","-9.4","","-16.3","","-12.9","","-1.1","","-23.3","S","0.0","","39.1","","39.1","","","",,"",,""
"1936-05","1936","05","-3.6","","-10.4","","-7.0","","4.4","S","-17.8","","2.8","","71.6","","74.4","","","",,"",,""
"1936-06","1936","06","4.2","","-1.1","","1.6","","13.3","","-4.4","S","9.4","","5.6","","15.0","","","",,"",,""
"1936-07","1936","07","13.1","","2.5","","7.8","","22.8","","-0.6","S","14.0","","0.0","","14.0","","","",,"",,""
"1936-08","1936","08","7.2","","0.8","","4.0","","16.1","","-3.3","","82.8","","0.8","","83.6","","","",,"",,""
"1936-09","1936","09","4.1","","-0.8","","1.7","","12.8","","-6.7","","55.6","","21.3","","77.0","","","",,"",,""
"1936-10","1936","10","-4.3","","-8.6","","-6.5","","1.7","","-15.6","","0.0","","29.5","","29.5","","","",,"",,""
"1936-11","1936","11","-14.1","","-19.8","","-17.0","","-5.0","","-28.3","","0.0","","20.8","","20.8","","","",,"",,""
"1936-12","1936","12","-19.7","","-26.1","","-22.9","","-6.1","","-36.7","","0.0","","34.3","","34.3","","","",,"",,""
"1937-01","1937","01","-26.1","","-31.6","","-28.9","","-15.0","","-36.1","S","0.0","","22.9","","22.9","","","",,"",,""
"1937-02","1937","02","-21.1","","-27.9","","-24.5","","-10.0","","-36.7","","0.0","","25.9","","25.9","","","",,"",,""
"1937-03","1937","03","-11.7","","-20.1","","-15.9","","0.6","","-27.8","S","0.0","T","23.6","","23.6","","","",,"",,""
"1937-04","1937","04","-5.7","","-14.3","","-10.0","","2.8","","-21.1","","0.0","","14.0","","14.0","","","",,"",,""
"1937-05","1937","05","-0.2","","-6.2","","-3.2","","4.4","S","-16.7","","10.2","","34.5","","44.7","","","",,"",,""
"1937-06","1937","06","5.3","","-0.6","","2.4","","14.4","","-3.3","","18.0","","3.6","","21.6","","","",,"",,""
"1937-07","1937","07","8.7","","2.3","","5.5","","16.1","","0.0","S","61.0","","0.0","","61.0","","","",,"",,""
"1937-08","1937","08","7.4","","2.4","","4.9","","11.7","S","-1.1","","50.5","","0.0","","50.5","","","",,"",,""
"1937-09","1937","09","3.1","","-0.9","","1.1","","6.7","","-4.4","","42.7","","10.4","","53.1","","","",,"",,""
"1937-10","1937","10","-1.6","","-5.2","","-3.4","","1.1","","-10.0","S","0.0","","60.7","","60.7","","","",,"",,""
"1937-11","1937","11","-9.6","","-14.3","","-12.0","","-2.2","","-23.9","","0.0","","100.8","","100.8","","","",,"",,""
"1937-12","1937","12","-17.1","","-23.4","","-20.3","","-6.7","S","-30.0","","0.0","","30.5","","30.5","","","",,"",,""
"1938-01","1938","01","-18.2","","-24.7","","-21.5","","-7.2","","-35.6","","0.0","","19.1","","19.1","","","",,"",,""
"1938-02","1938","02","-23.1","","-30.5","","-26.8","","-16.7","S","-36.7","","0.0","","21.6","","21.6","","","",,"",,""
"1938-03","1938","03","-16.4","","-26.1","","-21.3","","-5.6","S","-34.4","","0.0","","19.6","","19.6","","","",,"",,""
"1938-04","1938","04","-12.2","","-19.7","","-16.0","","-4.4","S","-28.3","","0.0","","56.1","","56.1","","","",,"",,""
"1938-05","1938","05","1.2","","-4.4","","-1.6","","6.7","","-17.8","","10.9","","9.1","","20.1","","","",,"",,""
"1938-06","1938","06","4.6","","-0.5","","2.1","","12.2","","-3.3","S","18.3","","6.9","","25.1","","","",,"",,""
"1938-07","1938","07","11.0","","2.5","","6.8","","14.4","S","-0.6","","42.7","","0.0","","42.7","","","",,"",,""
"1938-08","1938","08","7.7","","2.1","","4.9","","13.3","S","0.0","S","59.4","","0.0","","59.4","","","",,"",,""
"1938-09","1938","09","3.7","","-0.7","","1.5","","7.8","","-4.4","S","49.5","","0.0","T","49.5","","","",,"",,""
"1938-10","1938","10","-1.9","","-5.9","","-3.9","","3.3","","-13.9","S","21.3","","22.6","","43.9","","","",,"",,""
"1938-11","1938","11","-7.4","","-13.1","","-10.3","","0.0","","-22.2","","0.0","","30.7","","30.7","","","",,"",,""
"1938-12","1938","12","-14.0","","-20.4","","-17.2","","-6.1","","-28.9","S","0.0","","30.7","","30.7","","","",,"",,""
"1939-01","1939","01","-21.3","","-28.4","","-24.9","","-3.9","","-37.2","","0.0","","3.6","","3.6","","","",,"",,""
"1939-02","1939","02","-26.1","","-31.1","","-28.6","","-20.0","","-35.6","","0.0","","0.0","T","0.0","T","","",,"",,""
"1939-03","1939","03","-22.3","","-29.7","","-26.0","","-15.6","S","-38.9","","0.0","","0.5","","0.5","","","",,"",,""
"1939-04","1939","04","-6.2","","-15.3","","-10.8","","3.3","","-23.9","","0.0","","35.1","","35.1","","","",,"",,""
