"Station Name","OPEMISKA"
"Province","QUEBEC"
"Latitude","49.78"
"Longitude","-74.87"
"Elevation","314.60"
"Climate Identifier","7095740"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1955-01","1955","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1955-02","1955","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1955-03","1955","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1955-04","1955","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1955-05","1955","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1955-06","1955","06","23.6","","11.8","","17.7","","31.7","","5.6","S","57.9","","0.0","","57.9","","","M",,"",,""
"1955-07","1955","07","24.6","","12.2","","18.4","","35.0","","3.9","","145.5","","0.0","","145.5","","","M",,"",,""
"1955-08","1955","08","21.9","","10.2","","16.1","","30.0","","3.3","S","93.7","","0.0","","93.7","","","M",,"",,""
"1955-09","1955","09","12.9","","3.2","","8.1","","24.4","","-2.2","S","148.8","","0.0","","148.8","","","M",,"",,""
"1955-10","1955","10","8.7","","","M","","M","17.8","","","M","86.4","","18.5","","104.9","","","M",,"",,""
"1955-11","1955","11","-0.9","","-6.5","","-3.7","","10.0","","-18.9","","32.5","","96.5","","129.0","","41","",,"",,""
"1955-12","1955","12","-11.9","","-20.2","","-16.1","","-4.4","","-37.8","","0.0","","96.8","","96.8","","76","",,"",,""
"1956-01","1956","01","-9.1","","-17.9","","-13.5","","3.9","","-31.7","","14.5","","47.2","","61.7","","","M",,"",,""
"1956-02","1956","02","-8.8","","-20.1","","-14.5","","-1.7","","-31.7","","0.0","","90.9","","90.9","","97","",,"",,""
"1956-03","1956","03","-5.4","","-19.8","","-12.6","","3.9","S","-29.4","","0.0","","40.6","","40.6","","56","",,"",,""
"1956-04","1956","04","2.8","","-6.3","","-1.8","","8.9","","-14.4","","23.1","","24.1","","47.2","","","M",,"",,""
"1956-05","1956","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-06","1956","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-07","1956","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-08","1956","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-09","1956","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-10","1956","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-11","1956","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-12","1956","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
