"Station Name","OSOYOOS"
"Province","BRITISH COLUMBIA"
"Latitude","49.03"
"Longitude","-119.43"
"Elevation","297.00"
"Climate Identifier","1125850"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1954-01","1954","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1954-02","1954","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1954-03","1954","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1954-04","1954","04","15.2","","2.3","","8.8","","25.6","","-2.8","S","1.8","","0.0","","1.8","","","M",,"",,""
"1954-05","1954","05","22.2","","8.2","","15.2","","32.8","","-3.9","","55.9","","0.0","","55.9","","","M",,"",,""
"1954-06","1954","06","22.4","","9.7","","16.1","","28.9","","2.2","","39.6","","0.0","","39.6","","","M",,"",,""
"1954-07","1954","07","28.4","","13.7","","21.1","","35.0","","8.9","","22.1","","0.0","","22.1","","","M",,"",,""
"1954-08","1954","08","25.9","","13.6","","19.8","","33.9","","8.9","S","52.8","","0.0","","52.8","","","M",,"",,""
"1954-09","1954","09","21.7","","9.5","","15.6","","28.3","","2.8","","25.9","","0.0","","25.9","","","M",,"",,""
"1954-10","1954","10","14.4","","2.4","","8.4","","22.2","","-3.9","","4.3","","0.0","","4.3","","","M",,"",,""
"1954-11","1954","11","10.0","","3.4","","6.7","","15.0","","-2.8","S","34.0","","0.0","","34.0","","","M",,"",,""
"1954-12","1954","12","2.3","","-2.7","","-0.2","","7.8","","-8.9","","17.5","","2.8","","20.3","","0","T",,"",,""
"1955-01","1955","01","0.2","","-4.6","","-2.2","","3.9","","-11.7","S","0.0","T","22.9","","22.9","","8","",,"",,""
"1955-02","1955","02","1.1","","-5.2","","-2.1","","7.2","","-12.2","S","3.6","","20.6","","24.1","","15","",,"",,""
"1955-03","1955","03","5.2","","-4.1","","0.6","","12.8","","-17.8","","18.3","","0.0","T","18.3","","","M",,"",,""
