"Station Name","OTTAWA U OF O"
"Province","ONTARIO"
"Latitude","45.42"
"Longitude","-75.68"
"Elevation","65.50"
"Climate Identifier","6106105"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1954-01","1954","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1954-02","1954","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1954-03","1954","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1954-04","1954","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1954-05","1954","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1954-06","1954","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1954-07","1954","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1954-08","1954","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1954-09","1954","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1954-10","1954","10","14.7","","6.2","","10.5","","24.5","","-1.1","S","72.9","","0.0","","72.9","","","M",,"",,""
"1954-11","1954","11","5.7","","-0.7","","2.5","","14.4","S","-7.8","","","M","","M","","M","","M",,"",,""
"1954-12","1954","12","-3.3","","-9.1","","-6.2","","2.2","S","-18.9","","12.7","","80.0","","92.7","","46","",,"",,""
"1955-01","1955","01","-7.1","","","","","","2.2","","","","0.0","","34.0","","34.0","","61","",,"",,""
"1955-02","1955","02","-3.9","","","","","","6.1","","","","0.0","T","34.0","","34.0","","53","",,"",,""
"1955-03","1955","03","","M","","","","","","M","","","","M","","M","","M","10","",,"",,""
"1955-04","1955","04","","M","","","","","","M","","","","M","","M","","M","","M",,"",,""
"1955-05","1955","05","","M","","","","","","M","","","","M","","M","","M","","M",,"",,""
"1955-06","1955","06","","M","","","","","","M","","","","M","","M","","M","","M",,"",,""
"1955-07","1955","07","","M","","","","","","M","","","","M","","M","","M","","M",,"",,""
"1955-08","1955","08","","M","","","","","","M","","","","M","","M","","M","","M",,"",,""
"1955-09","1955","09","","M","","","","","","M","","","","M","","M","","M","","M",,"",,""
"1955-10","1955","10","","M","","","","","","M","","","","M","","M","","M","","M",,"",,""
"1955-11","1955","11","","M","","","","","","M","","","","M","","M","","M","","M",,"",,""
"1955-12","1955","12","","M","","","","","","M","","","","M","","M","","M","","M",,"",,""
