"Station Name","OUTLET"
"Province","ONTARIO"
"Latitude","44.48"
"Longitude","-76.05"
"Elevation","91.40"
"Climate Identifier","6106123"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1969-01","1969","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-02","1969","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-03","1969","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-04","1969","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-05","1969","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-06","1969","06","","","","","","","","","","","","M","","M","","M","0","",,"",,""
"1969-07","1969","07","","","","","","","","","","","81.3","","0.0","","81.3","","0","",,"",,""
"1969-08","1969","08","","","","","","","","","","","72.4","","0.0","","72.4","","0","",,"",,""
"1969-09","1969","09","","","","","","","","","","","50.3","","0.0","","50.3","","0","",,"",,""
"1969-10","1969","10","","","","","","","","","","","50.8","E","5.1","E","55.9","E","","M",,"",,""
"1969-11","1969","11","","","","","","","","","","","86.4","","0.0","T","86.4","","0","T",,"",,""
"1969-12","1969","12","","","","","","","","","","","35.6","","24.4","","59.9","","","M",,"",,""
"1970-01","1970","01","","","","","","","","","","","0.0","T","18.5","","18.5","","","",,"",,""
"1970-02","1970","02","","","","","","","","","","","25.4","E","52.8","E","78.2","E","","",,"",,""
"1970-03","1970","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1970-04","1970","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1970-05","1970","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1970-06","1970","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1970-07","1970","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1970-08","1970","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1970-09","1970","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1970-10","1970","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1970-11","1970","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1970-12","1970","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
