"Station Name","PADDLE RIVER"
"Province","ALBERTA"
"Latitude","54.03"
"Longitude","-114.75"
"Elevation","655.30"
"Climate Identifier","3064964"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1978-01","1978","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1978-02","1978","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1978-03","1978","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1978-04","1978","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1978-05","1978","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1978-06","1978","06","","","","","","","","","","","","M","","M","","M","0","",,"",,""
"1978-07","1978","07","","","","","","","","","","","94.2","","0.0","","94.2","","0","",,"",,""
"1978-08","1978","08","","","","","","","","","","","85.3","","0.0","","85.3","","0","",,"",,""
"1978-09","1978","09","","","","","","","","","","","108.4","","0.0","","108.4","","0","",,"",,""
"1978-10","1978","10","","","","","","","","","","","9.4","","0.0","","9.4","","0","",,"",,""
"1978-11","1978","11","","","","","","","","","","","5.4","","32.4","","37.8","","","M",,"",,""
"1978-12","1978","12","","","","","","","","","","","0.0","T","11.2","","11.2","","","M",,"",,""
"1979-01","1979","01","","","","","","","","","","","0.0","","2.8","","2.8","","","M",,"",,""
"1979-02","1979","02","","","","","","","","","","","0.0","","51.7","","51.7","","","M",,"",,""
"1979-03","1979","03","","","","","","","","","","","0.0","","7.0","","7.0","","","M",,"",,""
"1979-04","1979","04","","","","","","","","","","","5.2","","28.9","","34.1","","0","",,"",,""
"1979-05","1979","05","","","","","","","","","","","30.4","","10.8","","41.2","","0","",,"",,""
"1979-06","1979","06","","","","","","","","","","","133.9","","0.0","","133.9","","0","",,"",,""
"1979-07","1979","07","","","","","","","","","","","110.0","","0.0","","110.0","","0","",,"",,""
"1979-08","1979","08","","","","","","","","","","","48.2","","0.0","","48.2","","0","",,"",,""
"1979-09","1979","09","","","","","","","","","","","27.2","","0.0","","27.2","","0","",,"",,""
"1979-10","1979","10","","","","","","","","","","","13.0","","6.8","","19.8","","0","",,"",,""
"1979-11","1979","11","","","","","","","","","","","0.0","","21.8","","21.8","","","M",,"",,""
"1979-12","1979","12","","","","","","","","","","","0.0","","35.0","","35.0","","","M",,"",,""
"1980-01","1980","01","","","","","","","","","","","0.2","","10.0","","10.2","","","M",,"",,""
"1980-02","1980","02","","","","","","","","","","","0.4","","17.0","","17.4","","","M",,"",,""
"1980-03","1980","03","","","","","","","","","","","7.4","","35.2","","42.6","","","M",,"",,""
"1980-04","1980","04","","","","","","","","","","","1.0","","3.0","","4.0","","0","",,"",,""
"1980-05","1980","05","","","","","","","","","","","62.4","","0.0","","62.4","","0","",,"",,""
"1980-06","1980","06","","","","","","","","","","","126.2","","0.0","","126.2","","0","",,"",,""
"1980-07","1980","07","","","","","","","","","","","57.9","","0.0","","57.9","","0","",,"",,""
"1980-08","1980","08","","","","","","","","","","","118.0","","0.0","","118.0","","0","",,"",,""
"1980-09","1980","09","","","","","","","","","","","64.4","","0.0","","64.4","","0","",,"",,""
