"Station Name","PALMAROLLE"
"Province","QUEBEC"
"Latitude","48.67"
"Longitude","-79.17"
"Elevation","275.80"
"Climate Identifier","7095785"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1986-01","1986","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1986-02","1986","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1986-03","1986","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1986-04","1986","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1986-05","1986","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1986-06","1986","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1986-07","1986","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1986-08","1986","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1986-09","1986","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1986-10","1986","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1986-11","1986","11","","","","","","","","","","","5.2","E","50.9","E","56.1","E","7","",,"",,""
"1986-12","1986","12","","","","","","","","","","","0.0","","40.4","","40.4","","16","",,"",,""
"1987-01","1987","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1987-02","1987","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1987-03","1987","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1987-04","1987","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1987-05","1987","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1987-06","1987","06","","M","","M","","M","","M","","M","79.6","","0.0","","79.6","","0","",,"",,""
"1987-07","1987","07","23.2","","11.0","E","17.1","E","30.5","S","2.0","E","137.4","","0.0","","137.4","","0","",,"",,""
"1987-08","1987","08","20.8","","8.4","E","14.6","E","29.5","","-1.0","","90.8","","0.0","","90.8","","0","",,"",,""
"1987-09","1987","09","17.1","","7.0","","12.1","","26.0","S","-4.0","","97.9","","0.4","","98.3","","0","",,"",,""
"1987-10","1987","10","6.5","E","-1.0","E","2.8","E","17.0","","-7.0","","91.7","","12.5","","104.2","","0","T",,"",,""
"1987-11","1987","11","-0.4","E","-7.9","E","-4.2","E","13.0","S","-20.0","E","24.4","","24.9","","49.3","","","M",,"",,""
"1987-12","1987","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1988-01","1988","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1988-02","1988","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1988-03","1988","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1988-04","1988","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1988-05","1988","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1988-06","1988","06","","M","","M","","M","","M","","M","75.0","E","0.0","E","75.0","E","0","",,"",,""
"1988-07","1988","07","25.4","","11.0","E","18.2","E","33.0","","1.0","","41.1","","0.0","","41.1","","0","",,"",,""
"1988-08","1988","08","21.1","","10.4","","15.8","","28.5","","0.5","","195.9","","0.0","","195.9","","0","",,"",,""
"1988-09","1988","09","15.3","","5.8","","10.6","","26.0","","-3.0","","115.7","","0.0","","115.7","","0","",,"",,""
"1988-10","1988","10","6.4","E","-1.3","","2.6","E","19.0","","-10.5","","75.7","","46.3","","122.0","","10","",,"",,""
"1988-11","1988","11","2.0","","-3.5","","-0.8","","10.0","","-13.5","","74.9","","33.1","","108.0","","7","",,"",,""
"1988-12","1988","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
