"Station Name","PANDORA EXP ST"
"Province","ALBERTA"
"Latitude","51.02"
"Longitude","-111.73"
"Elevation","762.00"
"Climate Identifier","3024980"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1959-01","1959","01","","","","","","","","","","","0.0","","","M","","M","","",,"",,""
"1959-02","1959","02","","","","","","","","","","","","M","3.8","","","M","","",,"",,""
"1959-03","1959","03","","","","","","","","","","","10.2","","3.8","","14.0","","","",,"",,""
"1959-04","1959","04","","","","","","","","","","","4.1","","10.2","","14.2","","","",,"",,""
"1959-05","1959","05","","","","","","","","","","","29.2","","0.0","T","29.2","","","",,"",,""
"1959-06","1959","06","","","","","","","","","","","75.7","","0.0","","75.7","","","",,"",,""
"1959-07","1959","07","","","","","","","","","","","14.0","","0.0","","14.0","","","",,"",,""
"1959-08","1959","08","","","","","","","","","","","68.3","","0.0","","68.3","","","",,"",,""
"1959-09","1959","09","","","","","","","","","","","11.7","","0.0","","11.7","","","",,"",,""
"1959-10","1959","10","","","","","","","","","","","7.9","","5.1","","13.0","","","",,"",,""
"1959-11","1959","11","","","","","","","","","","","5.8","","1.3","","7.1","","","",,"",,""
"1959-12","1959","12","","","","","","","","","","","0.0","","11.4","","11.4","","","",,"",,""
"1960-01","1960","01","","","","","","","","","","","0.0","","14.0","","14.0","","","",,"",,""
"1960-02","1960","02","","","","","","","","","","","0.0","","14.0","","14.0","","","",,"",,""
"1960-03","1960","03","","","","","","","","","","","0.0","T","10.2","","10.2","","","",,"",,""
"1960-04","1960","04","","","","","","","","","","","5.3","","16.5","","21.8","","","",,"",,""
"1960-05","1960","05","","","","","","","","","","","23.1","","0.0","","23.1","","","",,"",,""
"1960-06","1960","06","","","","","","","","","","","6.9","","0.0","","6.9","","","",,"",,""
"1960-07","1960","07","","","","","","","","","","","35.1","","0.0","","35.1","","","",,"",,""
"1960-08","1960","08","","","","","","","","","","","79.0","","0.0","","79.0","","","",,"",,""
"1960-09","1960","09","","","","","","","","","","","1.3","","0.0","","1.3","","","",,"",,""
"1960-10","1960","10","","","","","","","","","","","4.6","","2.5","","7.1","","","",,"",,""
"1960-11","1960","11","","","","","","","","","","","0.0","","15.2","","15.2","","","",,"",,""
"1960-12","1960","12","","","","","","","","","","","0.0","","15.2","","15.2","","","",,"",,""
"1961-01","1961","01","","","","","","","","","","","0.0","","1.3","","1.3","","","M",,"",,""
"1961-02","1961","02","","","","","","","","","","","0.0","","27.9","","27.9","","","M",,"",,""
"1961-03","1961","03","","","","","","","","","","","0.0","T","10.2","","10.2","","","M",,"",,""
"1961-04","1961","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-05","1961","05","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1961-06","1961","06","","","","","","","","","","","15.2","","0.0","","15.2","","0","",,"",,""
"1961-07","1961","07","","","","","","","","","","","14.7","","0.0","","14.7","","0","",,"",,""
"1961-08","1961","08","","","","","","","","","","","1.8","","0.0","","1.8","","0","",,"",,""
"1961-09","1961","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-10","1961","10","","","","","","","","","","","6.6","","","M","","M","","M",,"",,""
"1961-11","1961","11","","","","","","","","","","","0.0","","10.2","","10.2","","","M",,"",,""
"1961-12","1961","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
