"Station Name","PARRY SOUND ONT HYDRO"
"Province","ONTARIO"
"Latitude","0.00"
"Longitude","0.00"
"Elevation","0.00"
"Climate Identifier","6116260"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1964-01","1964","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-04","1964","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-05","1964","05","","","","","","","","","","","56.9","","0.0","","56.9","","0","",,"",,""
"1964-06","1964","06","","","","","","","","","","","26.2","","0.0","","26.2","","0","",,"",,""
"1964-07","1964","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-08","1964","08","","","","","","","","","","","52.8","","0.0","","52.8","","0","",,"",,""
"1964-09","1964","09","","","","","","","","","","","155.7","","0.0","","155.7","","0","",,"",,""
"1964-10","1964","10","","","","","","","","","","","39.4","","0.0","","39.4","","0","",,"",,""
"1964-11","1964","11","","","","","","","","","","","39.9","","","M","","M","","M",,"",,""
"1964-12","1964","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-01","1965","01","","","","","","","","","","","","M","129.5","","145.0","E","","M",,"",,""
"1965-02","1965","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-03","1965","03","","","","","","","","","","","0.0","","49.8","","49.8","","","M",,"",,""
"1965-04","1965","04","","","","","","","","","","","68.6","E","0.0","T","68.6","E","0","",,"",,""
"1965-05","1965","05","","","","","","","","","","","23.9","","0.0","","23.9","","0","",,"",,""
"1965-06","1965","06","","","","","","","","","","","55.4","","0.0","","55.4","","0","",,"",,""
"1965-07","1965","07","","","","","","","","","","","84.6","","0.0","","84.6","","0","",,"",,""
"1965-08","1965","08","","","","","","","","","","","119.6","","0.0","","119.6","","0","",,"",,""
"1965-09","1965","09","","","","","","","","","","","209.6","","0.0","","209.6","","0","",,"",,""
"1965-10","1965","10","","","","","","","","","","","86.1","","2.5","E","88.6","E","0","",,"",,""
"1965-11","1965","11","","","","","","","","","","","","M","","M","106.7","","","M",,"",,""
"1965-12","1965","12","","","","","","","","","","","81.0","","53.3","","134.4","","","M",,"",,""
"1966-01","1966","01","","","","","","","","","","","2.5","","49.5","","52.1","","","M",,"",,""
"1966-02","1966","02","","","","","","","","","","","50.0","","17.3","","67.3","","","M",,"",,""
"1966-03","1966","03","","","","","","","","","","","","M","","M","56.4","","","M",,"",,""
"1966-04","1966","04","","","","","","","","","","","18.5","","7.1","","25.7","","0","",,"",,""
"1966-05","1966","05","","","","","","","","","","","44.7","","0.0","","44.7","","0","",,"",,""
"1966-06","1966","06","","","","","","","","","","","51.3","","0.0","","51.3","","0","",,"",,""
"1966-07","1966","07","","","","","","","","","","","27.4","","0.0","","27.4","","0","",,"",,""
"1966-08","1966","08","","","","","","","","","","","113.5","","0.0","","113.5","","0","",,"",,""
"1966-09","1966","09","","","","","","","","","","","94.5","","0.0","","94.5","","0","",,"",,""
"1966-10","1966","10","","","","","","","","","","","79.0","","0.0","","79.0","","0","",,"",,""
"1966-11","1966","11","","","","","","","","","","","","M","","M","180.1","","0","",,"",,""
"1966-12","1966","12","","","","","","","","","","","","M","","M","133.4","","","M",,"",,""
"1967-01","1967","01","","","","","","","","","","","13.5","","122.7","","136.1","","","M",,"",,""
"1967-02","1967","02","","","","","","","","","","","0.0","","91.2","","91.2","","","M",,"",,""
"1967-03","1967","03","","","","","","","","","","","21.3","","16.0","","37.3","","","M",,"",,""
"1967-04","1967","04","","","","","","","","","","","86.9","E","6.4","","93.2","E","0","",,"",,""
"1967-05","1967","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-06","1967","06","","","","","","","","","","","152.4","E","0.0","","152.4","E","0","",,"",,""
"1967-07","1967","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-08","1967","08","","","","","","","","","","","116.6","","0.0","","116.6","","0","",,"",,""
"1967-09","1967","09","","","","","","","","","","","58.9","","0.0","","58.9","","0","",,"",,""
"1967-10","1967","10","","","","","","","","","","","134.1","","0.0","T","134.1","","0","",,"",,""
"1967-11","1967","11","","","","","","","","","","","111.8","E","96.5","E","208.3","E","","M",,"",,""
"1967-12","1967","12","","","","","","","","","","","43.2","E","64.3","","107.4","E","","M",,"",,""
"1968-01","1968","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-02","1968","02","","","","","","","","","","","","M","","M","152.4","E","","M",,"",,""
"1968-03","1968","03","","","","","","","","","","","22.4","E","21.1","E","43.4","E","0","T",,"",,""
"1968-04","1968","04","","","","","","","","","","","55.9","E","0.0","T","55.9","E","0","",,"",,""
"1968-05","1968","05","","","","","","","","","","","52.1","E","0.0","","52.1","E","0","",,"",,""
"1968-06","1968","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-07","1968","07","","","","","","","","","","","67.1","","0.0","","67.1","","0","",,"",,""
