"Station Name","PASQUIA PROJECT"
"Province","MANITOBA"
"Latitude","53.72"
"Longitude","-101.53"
"Elevation","262.10"
"Climate Identifier","5052060"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1956-01","1956","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-02","1956","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-03","1956","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-04","1956","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1956-05","1956","05","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1956-06","1956","06","23.1","","11.6","","17.4","","36.1","","5.6","S","0.0","","0.0","","0.0","","0","",,"",,""
"1956-07","1956","07","22.9","","12.5","","17.7","","28.9","","7.2","","","M","","M","","M","0","",,"",,""
"1956-08","1956","08","21.6","","10.4","","16.0","","27.8","","2.2","","0.0","","0.0","","0.0","","","M",,"",,""
"1956-09","1956","09","13.3","","2.4","","7.9","","23.3","","-6.1","","","M","","M","","M","","M",,"",,""
"1956-10","1956","10","9.8","","-1.5","","4.2","","21.1","","-11.1","","0.0","","0.0","","0.0","","","M",,"",,""
"1956-11","1956","11","-1.7","","-12.3","","-7.0","","7.2","","-24.4","S","","M","","M","","M","","M",,"",,""
"1956-12","1956","12","-12.6","","-21.8","","-17.2","","5.0","","-37.8","","","M","","M","","M","","M",,"",,""
"1957-01","1957","01","-17.9","","-29.5","","-23.7","","-4.4","S","-39.4","","","","","","","","","M",,"",,""
"1957-02","1957","02","-13.3","","-25.2","","-19.3","","-0.6","","-33.9","S","","","","","","","","M",,"",,""
"1957-03","1957","03","-4.2","","-17.9","","-11.1","","5.0","","-26.7","","","","","","","","","M",,"",,""
"1957-04","1957","04","4.5","","-8.3","","-1.9","","26.1","","-25.6","","","","","","","","","M",,"",,""
"1957-05","1957","05","15.3","","3.1","","9.2","","28.3","","-3.3","","","","","","","","0","",,"",,""
"1957-06","1957","06","20.7","","6.4","","13.6","","30.0","","-1.7","","","","","","","","0","",,"",,""
"1957-07","1957","07","25.8","","12.2","","19.0","","36.1","","4.4","","","","","","","","0","",,"",,""
"1957-08","1957","08","21.0","","8.9","","15.0","","27.2","","1.7","S","","","","","","","0","",,"",,""
"1957-09","1957","09","15.9","","4.8","","10.4","","25.6","","-5.0","","","","","","","","0","",,"",,""
"1957-10","1957","10","10.3","","-2.2","","4.1","","26.1","","-15.6","","","","","","","","","M",,"",,""
"1957-11","1957","11","","M","","M","","M","","M","","M","","","","","","","","M",,"",,""
"1957-12","1957","12","-11.9","","-24.6","","-18.3","","0.6","","-42.8","","","","","","","","","M",,"",,""
"1958-01","1958","01","-11.8","","-23.2","","-17.5","","2.8","","-35.6","","","","","","","","","",,"",,""
"1958-02","1958","02","-13.9","","-25.7","","-19.8","","4.4","","-44.4","","","","","","","","","",,"",,""
"1958-03","1958","03","-1.8","","-14.8","","-8.3","","10.6","","-31.7","","","","","","","","","",,"",,""
"1958-04","1958","04","8.1","","-2.4","","2.9","","22.2","","-13.3","","","","","","","","","",,"",,""
"1958-05","1958","05","17.3","","3.0","","10.2","","30.0","","-10.0","","","","","","","","","",,"",,""
"1958-06","1958","06","19.0","","4.1","","11.6","","26.7","S","-3.3","","","","","","","","","",,"",,""
"1958-07","1958","07","22.9","","9.9","","16.4","","32.8","","4.4","S","","","","","","","","",,"",,""
"1958-08","1958","08","21.9","","8.8","","15.4","","28.9","","1.7","","","","","","","","","",,"",,""
"1958-09","1958","09","14.9","","3.9","","9.4","","21.7","S","-5.0","","","","","","","","","",,"",,""
"1958-10","1958","10","9.2","","-1.4","","3.9","","14.4","","-7.8","","","","","","","","","",,"",,""
"1958-11","1958","11","-3.7","","-11.5","","-7.6","","13.3","","-35.0","","","","","","","","","",,"",,""
"1958-12","1958","12","-14.9","","-24.9","","-19.9","","1.7","","-36.1","","","","","","","","","",,"",,""
"1959-01","1959","01","-20.9","","-31.1","","-26.0","","-9.4","","-45.0","","0.0","","","M","","M","","",,"",,""
"1959-02","1959","02","-10.9","","-27.9","","-19.4","","2.8","S","-38.3","","","M","","M","","M","","",,"",,""
