"Station Name","PELLY"
"Province","SASKATCHEWAN"
"Latitude","52.08"
"Longitude","-101.87"
"Elevation","509.00"
"Climate Identifier","4086000"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1951-01","1951","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1951-02","1951","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1951-03","1951","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1951-04","1951","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1951-05","1951","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1951-06","1951","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1951-07","1951","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1951-08","1951","08","19.2","","","M","","M","26.7","","","M","63.5","","0.0","","63.5","","","M",,"",,""
"1951-09","1951","09","13.5","","2.7","","8.1","","23.9","S","-9.4","","47.5","","10.2","","57.7","","","M",,"",,""
"1951-10","1951","10","5.3","","-4.4","","0.5","","22.8","","-18.9","","30.5","","31.8","","62.2","","8","",,"",,""
"1951-11","1951","11","-5.8","","-16.0","","-10.9","","6.1","","-32.2","","0.0","","24.1","","24.1","","23","",,"",,""
"1951-12","1951","12","-14.3","","-25.2","","-19.8","","4.4","S","-42.2","","0.0","","11.4","","11.4","","25","",,"",,""
"1952-01","1952","01","-17.5","","-29.0","","-23.3","","-0.6","","-43.3","","0.0","","25.4","","25.4","","51","",,"",,""
"1952-02","1952","02","-7.7","","-20.6","","-14.2","","3.3","","-37.8","","0.0","","16.5","","16.5","","66","",,"",,""
"1952-03","1952","03","-4.8","","-20.1","","-12.5","","5.6","","-42.2","","0.0","","14.0","","14.0","","46","",,"",,""
"1952-04","1952","04","14.2","","-2.4","","5.9","","28.3","","-13.9","","0.0","","2.5","","2.5","","0","",,"",,""
"1952-05","1952","05","17.0","","2.4","","9.7","","24.4","","-3.3","","37.3","","0.0","","37.3","","","M",,"",,""
"1952-06","1952","06","20.7","","6.2","","13.5","","26.7","","-0.6","","67.3","","0.0","","67.3","","","M",,"",,""
"1952-07","1952","07","22.2","","7.9","","15.1","","31.1","","-0.6","","34.0","","0.0","","34.0","","","M",,"",,""
"1952-08","1952","08","21.9","","6.7","","14.3","","31.7","S","0.6","","24.6","","0.0","","24.6","","","M",,"",,""
"1952-09","1952","09","17.3","","2.8","","10.1","","28.3","","-7.8","","37.1","","0.0","","37.1","","","M",,"",,""
"1952-10","1952","10","9.6","","-4.3","","2.7","","19.4","","-16.7","S","2.3","","11.4","","13.7","","","M",,"",,""
"1952-11","1952","11","0.6","","-9.7","","-4.6","","12.2","","-26.1","","0.0","","6.4","","6.4","","0","T",,"",,""
"1952-12","1952","12","-7.6","","-17.3","","-12.5","","1.7","","-31.7","","0.0","","7.6","","7.6","","8","",,"",,""
"1953-01","1953","01","-14.7","","-24.6","","-19.7","","0.6","","-42.2","","0.0","","40.6","","40.6","","30","",,"",,""
"1953-02","1953","02","-7.4","","-19.2","E","-13.3","E","1.7","","","M","0.0","","19.1","","19.1","","30","",,"",,""
"1953-03","1953","03","-4.2","","-18.7","E","-11.5","E","6.7","S","","M","0.0","T","50.8","","50.8","","0","T",,"",,""
"1953-04","1953","04","3.9","","-8.8","E","-2.5","E","13.9","","","M","6.9","","16.5","","23.4","","","M",,"",,""
"1953-05","1953","05","14.1","","1.7","E","7.9","E","30.0","","","M","61.5","","1.3","","62.7","","","M",,"",,""
"1953-06","1953","06","19.3","","6.5","","12.9","","30.0","","-1.1","S","139.7","","0.0","","139.7","","","M",,"",,""
"1953-07","1953","07","22.3","","9.6","","16.0","","29.4","S","3.3","","86.6","","0.0","","86.6","","","M",,"",,""
"1953-08","1953","08","23.1","","9.0","","16.1","","30.6","","3.3","","35.3","","0.0","","35.3","","","M",,"",,""
"1953-09","1953","09","15.0","","2.4","","8.7","","22.2","S","-6.7","","61.2","","0.0","","61.2","","","M",,"",,""
"1953-10","1953","10","13.9","","-1.6","","6.2","","21.7","S","-8.3","","19.8","","10.2","","30.0","","8","",,"",,""
"1953-11","1953","11","2.2","","-6.0","","-1.9","","15.0","","-18.9","","0.0","T","7.6","","7.6","","0","T",,"",,""
"1953-12","1953","12","-8.5","","-17.9","","-13.2","","4.4","","-43.3","","0.0","","27.9","","27.9","","20","",,"",,""
"1954-01","1954","01","-20.9","","-34.2","","-27.6","","4.4","","-44.4","","0.0","","47.0","","47.0","","38","",,"",,""
"1954-02","1954","02","-2.6","","-14.2","","-8.4","","9.4","","-35.6","","0.0","","15.2","","15.2","","36","",,"",,""
"1954-03","1954","03","-5.3","","-20.9","","-13.1","","2.2","","-36.7","","0.0","","10.2","","10.2","","28","",,"",,""
"1954-04","1954","04","-0.3","","-10.4","","-5.4","","7.8","","-35.6","","2.3","","69.9","","72.1","","10","",,"",,""
"1954-05","1954","05","11.3","","-0.1","","5.6","","22.8","","-10.0","","23.1","","7.6","","30.7","","5","",,"",,""
"1954-06","1954","06","18.5","","6.9","","12.7","","23.9","S","-2.8","","139.4","","0.0","","139.4","","","M",,"",,""
"1954-07","1954","07","23.3","","10.1","","16.7","","30.6","","1.7","S","49.3","","0.0","","49.3","","","M",,"",,""
"1954-08","1954","08","19.9","","8.7","","14.3","","27.8","","-0.6","","82.8","","0.0","","82.8","","","M",,"",,""
"1954-09","1954","09","13.9","","3.0","","8.5","","21.7","","-4.4","","56.6","","0.0","T","56.6","","","M",,"",,""
"1954-10","1954","10","9.7","","-3.6","","3.1","","19.4","","-13.9","","8.4","","14.0","","22.4","","3","",,"",,""
"1954-11","1954","11","1.3","","-6.8","","-2.8","","11.1","","-21.7","","6.4","","29.2","","35.6","","20","",,"",,""
"1954-12","1954","12","-5.5","","-15.2","","-10.4","","5.6","","-33.9","","0.0","","7.6","","7.6","","18","",,"",,""
"1955-01","1955","01","-13.3","","-24.7","","-19.0","","-7.2","","-36.1","","0.0","","33.0","","33.0","","43","",,"",,""
"1955-02","1955","02","-12.4","","-25.6","","-19.0","","1.7","","-41.7","S","0.0","","8.9","","8.9","","","M",,"",,""
"1955-03","1955","03","-9.7","","-23.5","","-16.6","","8.3","","-38.3","","0.0","","35.6","","35.6","","15","",,"",,""
"1955-04","1955","04","9.7","","-1.1","","4.3","","18.3","","-6.7","","27.2","","7.6","","34.8","","","M",,"",,""
"1955-05","1955","05","16.1","","2.9","","9.5","","28.3","","-3.9","","51.8","","1.3","","53.1","","","M",,"",,""
"1955-06","1955","06","21.7","","6.9","","14.3","","28.9","S","-0.6","S","47.2","","0.0","","47.2","","","M",,"",,""
"1955-07","1955","07","24.2","","10.2","","17.2","","31.7","","-0.6","","65.0","","0.0","","65.0","","","M",,"",,""
"1955-08","1955","08","24.8","","7.7","","16.3","","32.8","","1.1","","36.8","","0.0","","36.8","","","M",,"",,""
"1955-09","1955","09","14.8","","0.6","","7.7","","28.9","","-12.2","","42.2","","0.0","T","42.2","","","M",,"",,""
"1955-10","1955","10","10.8","","-3.2","","3.8","","19.4","","-13.3","","15.0","","11.4","","26.4","","10","",,"",,""
"1955-11","1955","11","-9.6","","-18.1","","-13.9","","6.1","","-32.8","","0.0","","73.7","","73.7","","46","",,"",,""
"1955-12","1955","12","-16.1","","-28.3","","-22.2","","-5.0","","-46.1","","0.0","","41.9","","41.9","","76","",,"",,""
"1956-01","1956","01","-15.9","","-25.8","","-20.9","","-6.1","","-41.1","","0.0","","53.3","","53.3","","91","",,"",,""
"1956-02","1956","02","-12.8","","-26.8","","-19.8","","2.8","","-43.3","","0.0","","71.1","","71.1","","122","",,"",,""
"1956-03","1956","03","-6.3","","-21.2","","-13.8","","8.9","","-39.4","","0.0","","96.5","","96.5","","140","",,"",,""
"1956-04","1956","04","2.4","","-10.3","","-4.0","","11.1","","-21.1","S","0.0","T","11.4","","11.4","","","M",,"",,""
"1956-05","1956","05","14.8","","1.7","","8.3","","25.0","","-5.0","","23.4","","8.9","","32.3","","0","",,"",,""
"1956-06","1956","06","23.1","","8.6","","15.9","","35.0","","-1.1","","102.4","","0.0","","102.4","","0","",,"",,""
"1956-07","1956","07","22.7","","8.4","","15.6","","27.8","","1.1","","34.8","","0.0","","34.8","","0","",,"",,""
"1956-08","1956","08","21.7","","6.9","","14.3","","27.8","S","-1.7","","60.7","","0.0","","60.7","","0","",,"",,""
