"Station Name","PETERS CORNERS"
"Province","ONTARIO"
"Latitude","43.30"
"Longitude","-80.10"
"Elevation","243.80"
"Climate Identifier","6156470"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1952-01","1952","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1952-02","1952","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1952-03","1952","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1952-04","1952","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1952-05","1952","05","","M","","M","","M","","M","","M","77.2","","0.0","","77.2","","","",,"",,""
"1952-06","1952","06","","M","","M","","M","","M","","M","29.0","","0.0","","29.0","","","",,"",,""
"1952-07","1952","07","27.7","","15.4","","21.6","","35.6","","5.0","","130.0","","0.0","","130.0","","","",,"",,""
"1952-08","1952","08","","M","12.0","","","M","","M","4.4","","130.3","","0.0","","130.3","","","",,"",,""
"1952-09","1952","09","","M","","M","","M","","M","","M","65.8","","0.0","","65.8","","","",,"",,""
"1952-10","1952","10","12.7","","1.3","","7.0","","25.0","","-6.7","S","","M","","M","","M","","",,"",,""
"1952-11","1952","11","9.1","","0.4","","4.8","","20.0","","-8.3","","62.2","","0.0","","62.2","","","",,"",,""
"1952-12","1952","12","2.9","","","M","","M","15.0","","","M","24.4","","13.7","","38.1","","","",,"",,""
"1953-01","1953","01","1.2","","-6.1","","-2.5","","11.1","","-18.9","","34.5","","4.1","","38.6","","","",,"",,""
"1953-02","1953","02","2.4","","-6.4","","-2.0","","13.9","","-17.8","","18.8","","17.8","","36.6","","","",,"",,""
"1953-03","1953","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1953-04","1953","04","11.3","","","M","","M","18.3","","","M","45.0","","2.5","","47.5","","","",,"",,""
"1953-05","1953","05","18.8","","6.1","","12.5","","28.9","","2.8","","181.9","","0.0","","181.9","","","",,"",,""
"1953-06","1953","06","25.4","","11.3","","18.4","","33.9","","5.6","","34.8","","0.0","","34.8","","","",,"",,""
"1953-07","1953","07","28.3","","13.2","","20.8","","32.2","S","6.1","S","31.2","","0.0","","31.2","","","",,"",,""
"1953-08","1953","08","27.6","","12.3","","20.0","","35.0","S","4.4","","29.2","","0.0","","29.2","","","",,"",,""
"1953-09","1953","09","23.1","","","M","","M","36.7","S","","M","","M","","M","","M","","",,"",,""
"1953-10","1953","10","17.8","","1.6","","9.7","","25.6","S","-4.4","","","M","","M","","M","","",,"",,""
"1953-11","1953","11","10.3","","-0.2","","5.1","","19.4","","-6.7","","","M","","M","","M","","",,"",,""
