"Station Name","PICADELLY"
"Province","ALBERTA"
"Latitude","57.65"
"Longitude","-114.53"
"Elevation","456.00"
"Climate Identifier","3075172"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1989-01","1989","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-02","1989","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-03","1989","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-04","1989","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-05","1989","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-06","1989","06","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1989-07","1989","07","24.8","","9.8","","17.3","","32.0","S","1.0","","50.0","","0.0","","50.0","","0","",,"",,""
"1989-08","1989","08","22.3","","9.4","","15.9","","32.0","S","-1.0","","47.6","","0.0","","47.6","","0","",,"",,""
"1989-09","1989","09","14.7","","1.0","","7.9","","24.0","S","-9.0","","37.4","","0.0","","37.4","","0","",,"",,""
"1989-10","1989","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-11","1989","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-12","1989","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-01","1990","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-02","1990","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-03","1990","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-04","1990","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-05","1990","05","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1990-06","1990","06","21.9","","6.2","","14.1","","31.0","","-3.0","","63.2","","0.0","","63.2","","0","",,"",,""
"1990-07","1990","07","24.6","","8.7","","16.7","","34.0","S","0.0","","28.6","E","0.0","","28.6","E","0","",,"",,""
"1990-08","1990","08","22.5","","7.4","E","15.0","E","33.0","S","-2.0","","50.8","E","0.0","","50.8","E","0","",,"",,""
"1990-09","1990","09","17.2","","1.9","E","9.6","E","27.0","","-4.0","S","34.2","","0.0","","34.2","","0","",,"",,""
"1990-10","1990","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-11","1990","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-12","1990","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-01","1991","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-02","1991","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-03","1991","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-04","1991","04","13.2","I","-5.0","I","4.1","I","21.0","I","-10.0","I","0.0","I","0.0","I","0.0","I","","",,"",,""
"1991-05","1991","05","19.2","E","3.5","E","11.3","E","29.0","E","-10.0","E","42.8","","0.0","","42.8","","","M",,"",,""
"1991-06","1991","06","20.8","E","9.1","E","14.9","E","28.0","S","1.0","E","181.7","","0.0","","181.7","","0","",,"",,""
"1991-07","1991","07","23.2","E","9.7","E","16.5","E","33.0","","0.0","","85.0","","0.0","","85.0","","0","",,"",,""
"1991-08","1991","08","24.2","","9.4","","16.8","","34.0","","3.0","","40.2","","0.0","","40.2","","0","",,"",,""
"1991-09","1991","09","14.6","","1.2","","7.9","","22.0","","-8.0","S","43.6","","0.0","","43.6","","","",,"",,""
"1991-10","1991","10","8.8","I","-3.0","I","2.6","I","16.0","I","-9.0","I","5.2","I","0.0","I","5.2","I","","M",,"",,""
"1991-11","1991","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-12","1991","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-01","1992","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-02","1992","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-03","1992","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-04","1992","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-05","1992","05","15.9","I","1.3","I","8.7","I","26.0","I","-8.0","I","20.6","I","13.9","I","34.5","I","","M",,"",,""
"1992-06","1992","06","20.4","","6.3","","13.4","","29.0","","0.0","","80.2","","0.0","","80.2","","0","",,"",,""
"1992-07","1992","07","22.0","","6.8","","14.4","","29.0","","-3.0","","72.6","","0.0","","72.6","","0","",,"",,""
"1992-08","1992","08","21.1","","4.6","","12.8","","32.0","","-7.0","","54.8","","0.0","","54.8","","0","",,"",,""
"1992-09","1992","09","11.8","I","0.8","I","6.4","I","18.0","I","-2.0","I","16.5","I","8.5","I","25.0","I","","M",,"",,""
"1992-10","1992","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-11","1992","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-12","1992","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1993-01","1993","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1993-02","1993","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1993-03","1993","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1993-04","1993","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1993-05","1993","05","17.4","","0.3","","8.8","","29.0","","-6.0","S","58.5","","0.0","","58.5","","0","",,"",,""
"1993-06","1993","06","17.7","I","3.6","I","10.7","I","23.0","I","-5.0","I","63.7","I","0.0","I","63.7","I","0","",,"",,""
"1993-07","1993","07","21.1","","5.3","","13.2","","27.0","","-3.0","","65.5","","0.0","","65.5","","","",,"",,""
"1993-08","1993","08","20.6","","4.0","","12.3","","29.0","S","-3.0","S","23.4","","0.0","","23.4","","","",,"",,""
"1993-09","1993","09","14.5","","-0.8","","6.9","","24.0","","-9.0","","47.6","","0.0","","47.6","","","",,"",,""
"1993-10","1993","10","8.0","I","-4.5","I","1.7","I","20.0","I","-10.0","I","14.4","I","0.0","I","14.4","I","","",,"",,""
"1993-11","1993","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1993-12","1993","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1994-01","1994","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-02","1994","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-03","1994","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-04","1994","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-05","1994","05","17.9","I","2.4","I","10.2","I","27.0","I","-4.0","I","21.1","I","0.0","I","21.1","I","","",,"",,""
"1994-06","1994","06","21.5","","5.8","","13.7","","30.0","","-3.0","S","26.9","","0.0","","26.9","","","",,"",,""
"1994-07","1994","07","23.4","E","7.3","E","15.4","E","33.0","","0.0","","70.7","E","0.0","","70.7","E","0","",,"",,""
"1994-08","1994","08","23.7","E","5.5","E","14.6","E","30.0","B","-3.0","B","8.9","I","0.0","I","8.9","I","0","",,"",,""
"1994-09","1994","09","16.5","I","1.6","I","8.9","I","23.0","I","-5.0","I","36.6","I","0.0","I","36.6","I","","",,"",,""
"1994-10","1994","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-11","1994","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-12","1994","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1995-01","1995","01","","","","","","","","","","","","","","","","","","",,"",,""
"1995-02","1995","02","","","","","","","","","","","","","","","","","","",,"",,""
"1995-03","1995","03","","","","","","","","","","","","","","","","","","",,"",,""
"1995-04","1995","04","","","","","","","","","","","","","","","","","","",,"",,""
"1995-05","1995","05","","","","","","","","","","","","","","","","","","",,"",,""
"1995-06","1995","06","23.0","","6.1","E","14.5","E","29.0","S","0.0","","26.3","","0.0","","26.3","","0","",,"",,""
"1995-07","1995","07","21.1","","5.0","","13.0","","26.0","S","-2.0","","71.6","","0.0","","71.6","","0","",,"",,""
"1995-08","1995","08","18.5","","3.5","","11.0","","26.0","","-4.0","S","53.9","","0.0","","53.9","","0","",,"",,""
"1995-09","1995","09","19.0","E","0.1","","9.6","E","28.0","S","-9.0","","16.7","E","0.0","","16.7","E","0","",,"",,""
"1995-10","1995","10","","","","","","","","","","","","","","","","","","",,"",,""
"1995-11","1995","11","","","","","","","","","","","","","","","","","","",,"",,""
"1995-12","1995","12","","","","","","","","","","","","","","","","","","",,"",,""
"1996-01","1996","01","","","","","","","","","","","","","","","","","","",,"",,""
"1996-02","1996","02","","","","","","","","","","","","","","","","","","",,"",,""
"1996-03","1996","03","","","","","","","","","","","","","","","","","","",,"",,""
"1996-04","1996","04","9.8","I","-3.6","I","2.9","I","15.0","I","-12.9","I","11.4","I","0.0","I","11.4","I","","",,"",,""
"1996-05","1996","05","12.6","","-0.9","E","5.8","E","23.8","","-13.3","","25.5","E","11.0","E","36.5","E","0","E",,"",,""
"1996-06","1996","06","20.5","","4.9","E","12.7","E","26.9","","0.7","S","97.2","","0.0","","97.2","","0","E",,"",,""
"1996-07","1996","07","22.4","","7.0","","14.7","","31.6","","0.0","","46.4","","0.0","","46.4","","0","E",,"",,""
"1996-08","1996","08","21.4","","5.0","","13.3","","31.6","","-1.4","","83.2","","0.0","","83.2","","0","E",,"",,""
"1996-09","1996","09","13.7","","1.3","","7.5","","26.9","","-12.5","","54.7","E","0.0","","54.7","E","","",,"",,""
"1996-10","1996","10","","","","","","","","","","","","","","","","","","",,"",,""
"1996-11","1996","11","","","","","","","","","","","","","","","","","","",,"",,""
"1996-12","1996","12","","","","","","","","","","","","","","","","","","",,"",,""
"1997-01","1997","01","","","","","","","","","","","","","","","","","","",,"",,""
"1997-02","1997","02","","","","","","","","","","","","","","","","","","",,"",,""
"1997-03","1997","03","","","","","","","","","","","","","","","","","","",,"",,""
"1997-04","1997","04","","","","","","","","","","","","","","","","","","",,"",,""
"1997-05","1997","05","14.3","","-0.9","","6.7","","25.5","","-9.0","","17.4","","0.0","","17.4","","0","E",,"",,""
"1997-06","1997","06","21.4","","4.7","","13.1","","25.1","S","-2.4","","63.7","","0.0","","63.7","","0","",,"",,""
"1997-07","1997","07","23.3","E","8.2","E","15.8","E","33.2","","1.1","","124.3","E","0.0","","124.3","E","0","E",,"",,""
"1997-08","1997","08","19.3","I","4.2","I","11.4","I","19.3","I","3.5","I","1.5","I","0.0","I","1.5","I","","",,"",,""
"1997-09","1997","09","","","","","","","","","","","","","","","","","","",,"",,""
