"Station Name","PICCADILLY"
"Province","NEWFOUNDLAND"
"Latitude","48.55"
"Longitude","-58.92"
"Elevation","13.10"
"Climate Identifier","8402945"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1980-01","1980","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1980-02","1980","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1980-03","1980","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1980-04","1980","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1980-05","1980","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1980-06","1980","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1980-07","1980","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1980-08","1980","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1980-09","1980","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1980-10","1980","10","8.6","","1.7","","5.2","","","M","","M","135.0","","0.0","T","135.0","","0","T",,"",,""
"1980-11","1980","11","5.2","","0.2","","2.7","","11.0","S","-7.0","","131.2","","13.8","","145.0","","0","",,"",,""
"1980-12","1980","12","-0.1","E","-6.0","E","-3.1","E","8.0","E","-17.0","","59.0","","96.2","","155.2","","8","",,"",,""
"1981-01","1981","01","-2.6","","-8.2","","-5.4","","3.0","","-14.5","","17.6","","76.6","","94.2","","0","",,"",,""
"1981-02","1981","02","2.0","","-6.6","","-2.3","","10.0","","-17.0","","13.2","","10.4","","23.6","","0","",,"",,""
