"Station Name","PIERSON"
"Province","MANITOBA"
"Latitude","49.18"
"Longitude","-101.27"
"Elevation","469.00"
"Climate Identifier","5012080"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1904-01","1904","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1904-02","1904","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1904-03","1904","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1904-04","1904","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1904-05","1904","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1904-06","1904","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1904-07","1904","07","23.8","","9.5","","16.7","","28.9","S","4.4","","","M","0.0","","","M","","",,"",,""
"1904-08","1904","08","22.6","","7.6","","15.1","","31.7","","1.1","","63.5","","0.0","","63.5","","","",,"",,""
"1904-09","1904","09","16.6","","4.1","","10.4","","26.7","","-2.8","","43.7","","0.0","","43.7","","","",,"",,""
"1904-10","1904","10","13.2","","-1.2","","6.0","","","M","","M","8.1","","0.0","","8.1","","","",,"",,""
"1904-11","1904","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1904-12","1904","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1905-01","1905","01","","M","","M","","M","","M","","","","M","","M","","M","","",,"",,""
"1905-02","1905","02","","M","","M","","M","","M","","","","M","","M","","M","","",,"",,""
"1905-03","1905","03","","M","","M","","M","","M","","","","M","","M","","M","","",,"",,""
"1905-04","1905","04","","M","","M","","M","","M","","","","M","","M","","M","","",,"",,""
"1905-05","1905","05","15.8","","","M","","M","23.3","S","","","39.1","","0.0","","39.1","","","",,"",,""
"1905-06","1905","06","19.9","","6.0","","13.0","","","M","","","52.6","","0.0","","52.6","","","",,"",,""
"1905-07","1905","07","","M","","M","","M","","M","","","","M","","M","","M","","",,"",,""
"1905-08","1905","08","","M","","M","","M","","M","","","","M","","M","","M","","",,"",,""
"1905-09","1905","09","","M","","M","","M","","M","","","","M","","M","","M","","",,"",,""
"1905-10","1905","10","","M","","M","","M","","M","","","","M","","M","","M","","",,"",,""
"1905-11","1905","11","","M","","M","","M","","M","","","","M","","M","","M","","",,"",,""
"1905-12","1905","12","","M","","M","","M","","M","","","","M","","M","","M","","",,"",,""
"1906-01","1906","01","","","","","","","","","","","","","","","","","","",,"",,""
"1906-02","1906","02","","","","","","","","","","","","","","","","","","",,"",,""
"1906-03","1906","03","","","","","","","","","","","","","","","","","","",,"",,""
"1906-04","1906","04","","","","","","","","","","","","","","","","","","",,"",,""
"1906-05","1906","05","","","","","","","","","","","","","","","","","","",,"",,""
"1906-06","1906","06","","","","","","","","","","","","","","","","","","",,"",,""
"1906-07","1906","07","","","","","","","","","","","","","","","","","","",,"",,""
"1906-08","1906","08","","","","","","","","","","","","","","","","","","",,"",,""
"1906-09","1906","09","","","","","","","","","","","","","","","","","","",,"",,""
"1906-10","1906","10","","","","","","","","","","","","","","","","","","",,"",,""
"1906-11","1906","11","","","","","","","","","","","","","","","","","","",,"",,""
"1906-12","1906","12","","","","","","","","","","","","","","","","","","",,"",,""
"1907-01","1907","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1907-02","1907","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1907-03","1907","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1907-04","1907","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1907-05","1907","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1907-06","1907","06","","M","","M","","M","","M","","M","36.1","","0.0","","36.1","","","",,"",,""
"1907-07","1907","07","24.2","","10.1","","17.2","","31.7","","5.0","","48.8","","0.0","","48.8","","","",,"",,""
"1907-08","1907","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1907-09","1907","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1907-10","1907","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1907-11","1907","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1907-12","1907","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1908-01","1908","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1908-02","1908","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1908-03","1908","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1908-04","1908","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1908-05","1908","05","16.0","","2.7","","9.4","","26.1","","-5.6","S","38.1","","0.0","","38.1","","","",,"",,""
"1908-06","1908","06","21.6","","8.2","","14.9","","31.7","","-9.4","","104.9","","0.0","","104.9","","","",,"",,""
"1908-07","1908","07","25.4","","10.5","","18.0","","33.3","","1.1","","40.6","","0.0","","40.6","","","",,"",,""
"1908-08","1908","08","23.4","","6.1","","14.8","","31.1","","-1.1","","46.7","","0.0","","46.7","","","",,"",,""
"1908-09","1908","09","21.1","","5.7","","13.4","","32.8","","-4.4","","33.0","","0.0","","33.0","","","",,"",,""
"1908-10","1908","10","10.4","","-1.6","","4.4","","22.2","","-12.2","","20.3","","0.0","","20.3","","","",,"",,""
"1908-11","1908","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1908-12","1908","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1909-01","1909","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1909-02","1909","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1909-03","1909","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1909-04","1909","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1909-05","1909","05","","M","","M","","M","","M","","M","93.7","","0.0","","93.7","","","",,"",,""
"1909-06","1909","06","23.4","","9.3","","16.4","","32.2","","","M","43.2","","0.0","","43.2","","","",,"",,""
"1909-07","1909","07","24.7","","12.4","","18.6","","","M","","M","77.0","","0.0","","77.0","","","",,"",,""
"1909-08","1909","08","27.6","","10.7","","19.2","","33.9","S","-2.2","","","M","0.0","","","M","","",,"",,""
"1909-09","1909","09","22.8","","4.8","","13.8","","","M","","M","1.3","","0.0","","1.3","","","",,"",,""
"1909-10","1909","10","11.3","","-2.6","","4.4","","28.9","","","M","10.2","","0.0","","10.2","","","",,"",,""
"1909-11","1909","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
