"Station Name","PINCHER CREEK WEST"
"Province","ALBERTA"
"Latitude","49.52"
"Longitude","-114.03"
"Elevation","1146.00"
"Climate Identifier","3035221"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1961-01","1961","01","","","","","","","","","","","0.0","","10.2","","10.2","","","",,"",,""
"1961-02","1961","02","","","","","","","","","","","0.0","","43.2","","43.2","","","",,"",,""
"1961-03","1961","03","","","","","","","","","","","16.0","","7.6","","23.6","","","",,"",,""
"1961-04","1961","04","","","","","","","","","","","33.8","","76.2","","110.0","","","",,"",,""
"1961-05","1961","05","","","","","","","","","","","95.5","","20.3","","115.8","","","",,"",,""
"1961-06","1961","06","","","","","","","","","","","13.0","","0.0","","13.0","","","",,"",,""
"1961-07","1961","07","","","","","","","","","","","49.3","","0.0","","49.3","","","",,"",,""
"1961-08","1961","08","","","","","","","","","","","30.5","","0.0","","30.5","","","",,"",,""
"1961-09","1961","09","","","","","","","","","","","99.3","","10.2","","109.5","","","",,"",,""
"1961-10","1961","10","","","","","","","","","","","72.9","","91.4","","164.3","","","",,"",,""
"1961-11","1961","11","","","","","","","","","","","8.4","","38.1","","46.5","","","",,"",,""
"1961-12","1961","12","","","","","","","","","","","1.3","","35.6","","36.8","","","",,"",,""
"1962-01","1962","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","","","","","","","","","","0.0","","59.2","","59.2","","","M",,"",,""
"1962-04","1962","04","","","","","","","","","","","18.5","","22.9","","41.4","","0","",,"",,""
"1962-05","1962","05","","","","","","","","","","","41.4","","1.3","","42.7","","0","",,"",,""
"1962-06","1962","06","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1962-07","1962","07","","","","","","","","","","","49.8","","0.0","","49.8","","0","",,"",,""
"1962-08","1962","08","","","","","","","","","","","26.2","","0.0","","26.2","","0","",,"",,""
"1962-09","1962","09","","","","","","","","","","","31.0","","15.2","","46.2","","0","",,"",,""
"1962-10","1962","10","","","","","","","","","","","7.9","","0.0","T","7.9","","0","",,"",,""
"1962-11","1962","11","","","","","","","","","","","9.7","","5.1","","14.7","","0","",,"",,""
"1962-12","1962","12","","","","","","","","","","","9.7","","27.9","","37.6","","","M",,"",,""
"1963-01","1963","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-02","1963","02","","","","","","","","","","","5.6","","0.0","T","5.6","","","M",,"",,""
"1963-03","1963","03","","","","","","","","","","","9.4","","","M","","M","","M",,"",,""
"1963-04","1963","04","","","","","","","","","","","8.9","","27.9","","36.8","","0","",,"",,""
"1963-05","1963","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-06","1963","06","","","","","","","","","","","169.9","","0.0","","169.9","","0","",,"",,""
"1963-07","1963","07","","","","","","","","","","","33.3","","0.0","","33.3","","0","",,"",,""
"1963-08","1963","08","","","","","","","","","","","21.6","","0.0","","21.6","","0","",,"",,""
"1963-09","1963","09","","","","","","","","","","","37.1","","0.0","","37.1","","0","",,"",,""
"1963-10","1963","10","","","","","","","","","","","9.9","","0.0","","9.9","","0","",,"",,""
"1963-11","1963","11","","","","","","","","","","","0.0","T","33.8","","33.8","","","M",,"",,""
"1963-12","1963","12","","","","","","","","","","","0.0","","58.4","","58.4","","","M",,"",,""
"1964-01","1964","01","","","","","","","","","","","2.0","","14.0","","16.0","","","M",,"",,""
"1964-02","1964","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-04","1964","04","","","","","","","","","","","6.1","","119.4","","125.5","","","M",,"",,""
"1964-05","1964","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-06","1964","06","","","","","","","","","","","65.3","","0.0","","65.3","","0","",,"",,""
"1964-07","1964","07","","","","","","","","","","","19.6","","0.0","","19.6","","0","",,"",,""
"1964-08","1964","08","","","","","","","","","","","18.0","","0.0","","18.0","","0","",,"",,""
"1964-09","1964","09","","","","","","","","","","","49.8","","13.2","","63.0","","0","",,"",,""
"1964-10","1964","10","","","","","","","","","","","1.3","","2.0","","3.3","","0","",,"",,""
"1964-11","1964","11","","","","","","","","","","","1.8","","17.8","","19.6","","","M",,"",,""
"1964-12","1964","12","","","","","","","","","","","0.0","","100.3","","100.3","","","M",,"",,""
"1965-01","1965","01","","","","","","","","","","","0.0","","50.8","","50.8","","","M",,"",,""
"1965-02","1965","02","","","","","","","","","","","0.0","","55.9","","55.9","","","M",,"",,""
"1965-03","1965","03","","","","","","","","","","","1.8","","50.8","","52.6","","","M",,"",,""
"1965-04","1965","04","","","","","","","","","","","12.2","","81.3","","93.5","","0","",,"",,""
"1965-05","1965","05","","","","","","","","","","","","M","","M","50.3","","0","",,"",,""
"1965-06","1965","06","","","","","","","","","","","154.2","","10.2","","164.3","","0","",,"",,""
"1965-07","1965","07","","","","","","","","","","","35.1","","0.0","","35.1","","0","",,"",,""
"1965-08","1965","08","","","","","","","","","","","85.1","","0.0","","85.1","","0","",,"",,""
"1965-09","1965","09","","","","","","","","","","","119.9","","31.8","","151.6","","0","",,"",,""
"1965-10","1965","10","","","","","","","","","","","2.0","","0.0","","2.0","","0","",,"",,""
"1965-11","1965","11","","","","","","","","","","","2.5","","66.0","","68.6","","","M",,"",,""
"1965-12","1965","12","","","","","","","","","","","0.8","","47.0","","47.8","","","M",,"",,""
