"Station Name","POINTE DU BOIS"
"Province","MANITOBA"
"Latitude","50.30"
"Longitude","-95.55"
"Elevation","300.20"
"Climate Identifier","5032249"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1967-01","1967","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-02","1967","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-03","1967","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-04","1967","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-05","1967","05","","M","","M","","M","25.0","","","M","","M","","M","","M","0","",,"",,""
"1967-06","1967","06","21.6","","9.0","","15.3","","28.3","","-1.7","","65.3","","0.0","","65.3","","0","",,"",,""
"1967-07","1967","07","24.3","","11.9","","18.1","","33.9","","5.6","","64.0","","0.0","","64.0","","0","",,"",,""
"1967-08","1967","08","23.6","","10.8","","17.2","","31.7","","4.4","","75.9","","0.0","","75.9","","0","",,"",,""
"1967-09","1967","09","21.2","","9.6","","15.4","","29.4","S","-2.2","","10.9","","0.0","","10.9","","0","",,"",,""
"1967-10","1967","10","7.8","E","1.1","E","4.5","E","","M","-10.0","","50.8","E","4.8","","55.6","E","0","T",,"",,""
"1967-11","1967","11","-1.7","","-7.8","","-4.8","","8.3","","-25.0","","0.0","T","28.7","","28.7","","13","",,"",,""
"1967-12","1967","12","-8.6","E","-16.8","E","-12.7","E","4.4","","-42.2","","4.8","","23.6","","28.4","","33","",,"",,""
"1968-01","1968","01","-13.0","E","-23.8","E","-18.4","E","5.6","","-44.4","","0.0","T","26.2","","26.2","","48","",,"",,""
"1968-02","1968","02","-10.3","","-23.6","","-17.0","","1.7","","-35.0","S","0.0","","1.3","","1.3","","41","",,"",,""
"1968-03","1968","03","2.2","","-10.8","","-4.3","","13.9","S","-28.9","","0.8","","13.5","","14.2","","0","T",,"",,""
"1968-04","1968","04","9.4","","-3.4","","3.0","","24.4","","-16.1","","18.8","","4.6","","23.4","","0","",,"",,""
"1968-05","1968","05","14.5","","3.7","","9.1","","23.3","","-5.6","","80.8","","3.3","","84.1","","0","",,"",,""
"1968-06","1968","06","19.8","E","9.7","E","14.8","E","25.0","","3.3","","144.8","E","0.0","","144.8","E","0","",,"",,""
"1968-07","1968","07","23.3","","11.9","","17.6","","31.1","","6.7","S","86.9","","0.0","","86.9","","0","",,"",,""
"1968-08","1968","08","19.9","","10.4","","15.2","","27.2","","2.2","","97.3","","0.0","","97.3","","0","",,"",,""
"1968-09","1968","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-10","1968","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-11","1968","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-12","1968","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1969-01","1969","01","","","","","","","","","","","","","","","","","","",,"",,""
"1969-02","1969","02","","","","","","","","","","","","","","","","","","",,"",,""
"1969-03","1969","03","","","","","","","","","","","","","","","","","","",,"",,""
"1969-04","1969","04","","","","","","","","","","","","","","","","","","",,"",,""
"1969-05","1969","05","","","","","","","","","","","","","","","","","","",,"",,""
"1969-06","1969","06","","","","","","","","","","","","","","","","","","",,"",,""
"1969-07","1969","07","","","","","","","","","","","","","","","","","","",,"",,""
"1969-08","1969","08","","","","","","","","","","","","","","","","","","",,"",,""
"1969-09","1969","09","","","","","","","","","","","","","","","","","","",,"",,""
"1969-10","1969","10","","","","","","","","","","","","","","","","","","",,"",,""
