"Station Name","POINTER ISLAND"
"Province","BRITISH COLUMBIA"
"Latitude","52.07"
"Longitude","-127.95"
"Elevation","6.70"
"Climate Identifier","1066202"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1977-01","1977","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-02","1977","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-03","1977","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-04","1977","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-05","1977","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-06","1977","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-07","1977","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-08","1977","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-09","1977","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-10","1977","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-11","1977","11","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1977-12","1977","12","4.2","","-0.2","","2.0","","8.5","","-10.5","","130.8","","41.0","","171.8","","","M",,"",,""
"1978-01","1978","01","4.8","","1.7","","3.3","","9.0","","-6.0","S","59.7","","16.0","","75.7","","0","",,"",,""
"1978-02","1978","02","8.2","","3.0","","5.6","","12.5","","-1.5","","89.8","","2.0","","91.8","","0","",,"",,""
"1978-03","1978","03","8.1","","3.1","","5.6","","15.0","","-0.5","","220.9","","0.0","","220.9","","0","",,"",,""
"1978-04","1978","04","11.3","","4.8","","8.1","","17.5","","2.0","S","82.9","","0.0","","82.9","","0","",,"",,""
"1978-05","1978","05","13.7","","6.3","","10.0","","21.0","","3.0","","137.9","","0.0","","137.9","","0","",,"",,""
"1978-06","1978","06","19.0","","9.9","","14.5","","27.5","","6.5","","62.4","","0.0","","62.4","","0","",,"",,""
"1978-07","1978","07","19.5","","11.0","","15.3","","29.0","","8.0","S","16.4","","0.0","","16.4","","0","",,"",,""
"1978-08","1978","08","18.1","","12.4","","15.3","","26.5","","10.0","","184.4","","0.0","","184.4","","0","",,"",,""
"1978-09","1978","09","15.7","","10.1","","12.9","","20.0","","7.0","S","249.2","","0.0","","249.2","","0","",,"",,""
"1978-10","1978","10","13.0","","8.0","","10.5","","18.5","","2.0","","199.0","","0.0","","199.0","","0","",,"",,""
"1978-11","1978","11","7.6","","3.3","","5.5","","15.0","","-2.0","","269.9","","0.0","","269.9","","0","",,"",,""
"1978-12","1978","12","4.5","","0.4","","2.5","","9.0","","-7.5","","202.4","","8.5","","210.9","","","M",,"",,""
"1979-01","1979","01","3.7","","-0.3","","1.7","","8.0","S","-4.5","","85.7","","16.8","","102.5","","0","",,"",,""
"1979-02","1979","02","3.6","","-0.6","","1.5","","8.0","","-8.0","","206.7","","24.1","","230.8","","0","",,"",,""
"1979-03","1979","03","9.7","","3.0","","6.4","","18.5","","-0.5","","128.4","","0.0","","128.4","","0","",,"",,""
"1979-04","1979","04","11.8","","4.5","","8.2","","18.5","S","0.0","","88.4","","0.0","","88.4","","0","",,"",,""
"1979-05","1979","05","13.8","","7.4","","10.6","","22.0","","4.0","","192.8","","0.0","","192.8","","0","",,"",,""
"1979-06","1979","06","15.9","","9.5","","12.7","","22.0","","6.5","","162.2","","0.0","","162.2","","0","",,"",,""
"1979-07","1979","07","19.8","","12.5","","16.2","","27.0","","6.5","","129.0","","0.0","","129.0","","0","",,"",,""
"1979-08","1979","08","20.0","","12.9","","16.5","","27.5","","10.5","","39.0","","0.0","","39.0","","0","",,"",,""
"1979-09","1979","09","17.2","","11.4","","14.3","","25.0","","9.0","S","281.8","","0.0","","281.8","","0","",,"",,""
"1979-10","1979","10","13.9","","8.2","","11.1","","18.0","S","4.0","S","124.8","","0.0","","124.8","","0","",,"",,""
