"Station Name","PORCUPINE PLAIN 2"
"Province","SASKATCHEWAN"
"Latitude","52.60"
"Longitude","-103.25"
"Elevation","498.30"
"Climate Identifier","4086161"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1953-01","1953","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1953-02","1953","02","","","","","","","","","","","0.0","","26.9","","26.9","","","",,"",,""
"1953-03","1953","03","","","","","","","","","","","0.0","T","101.9","","101.9","","","",,"",,""
"1953-04","1953","04","","","","","","","","","","","2.8","","16.5","","19.3","","","",,"",,""
"1953-05","1953","05","","","","","","","","","","","66.3","","16.0","","82.3","","","",,"",,""
"1953-06","1953","06","","","","","","","","","","","108.7","","0.0","","108.7","","","",,"",,""
"1953-07","1953","07","","","","","","","","","","","97.0","","0.0","","97.0","","","",,"",,""
"1953-08","1953","08","","","","","","","","","","","43.7","","0.0","","43.7","","","",,"",,""
"1953-09","1953","09","","","","","","","","","","","94.7","","0.0","","94.7","","","",,"",,""
"1953-10","1953","10","","","","","","","","","","","5.6","","8.9","","14.5","","","",,"",,""
"1953-11","1953","11","","","","","","","","","","","0.0","T","20.8","","20.8","","","",,"",,""
"1953-12","1953","12","","","","","","","","","","","0.0","","34.8","","34.8","","","",,"",,""
"1954-01","1954","01","","M","","M","","M","","M","","M","","M","","M","","M","91","",,"",,""
"1954-02","1954","02","","M","","M","","M","","M","","M","0.0","","12.7","","12.7","","30","",,"",,""
"1954-03","1954","03","","M","","M","","M","","M","","M","0.0","","15.7","","15.7","","18","",,"",,""
"1954-04","1954","04","","M","","M","","M","","M","","M","0.5","","48.0","","48.5","","28","",,"",,""
"1954-05","1954","05","","M","","M","","M","","M","","M","33.5","","25.4","","58.9","","13","",,"",,""
"1954-06","1954","06","","M","","M","","M","","M","","M","201.4","","0.0","","201.4","","","M",,"",,""
"1954-07","1954","07","","M","","M","","M","","M","","M","108.7","","0.0","","108.7","","","M",,"",,""
"1954-08","1954","08","","M","","M","","M","","M","","M","138.2","","0.0","","138.2","","","M",,"",,""
"1954-09","1954","09","","M","","M","","M","","M","","M","64.8","","0.0","T","64.8","","","M",,"",,""
"1954-10","1954","10","","M","","M","","M","","M","","M","16.8","","10.4","","27.2","","0","T",,"",,""
"1954-11","1954","11","","M","","M","","M","","M","","M","5.8","","30.7","","36.6","","23","",,"",,""
"1954-12","1954","12","-4.5","","-12.2","","-8.4","","5.0","S","-30.6","","0.0","","5.1","","5.1","","","M",,"",,""
"1955-01","1955","01","-13.4","","-22.1","","-17.8","","-3.3","","-32.8","S","0.0","","25.4","","25.4","","23","",,"",,""
