"Station Name","PORT BURWELL RES STN 6"
"Province","ONTARIO"
"Latitude","42.67"
"Longitude","-80.88"
"Elevation","201.20"
"Climate Identifier","6136ER9"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1962-01","1962","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","9.9","","1.6","","5.8","","23.9","","-6.7","","","M","0.0","","","M","0","",,"",,""
"1962-05","1962","05","19.1","","9.5","","14.3","","27.2","","0.6","","21.3","","0.0","","21.3","","0","",,"",,""
"1962-06","1962","06","22.2","","13.4","","17.8","","28.3","","6.1","","83.8","","0.0","","83.8","","0","",,"",,""
"1962-07","1962","07","24.6","","14.2","","19.4","","27.8","S","8.9","","29.2","","0.0","","29.2","","0","",,"",,""
"1962-08","1962","08","24.7","","14.7","","19.7","","27.8","","7.8","","46.5","","0.0","","46.5","","0","",,"",,""
"1962-09","1962","09","19.2","","10.4","","14.8","","26.1","S","2.8","","94.0","","0.0","","94.0","","0","",,"",,""
"1962-10","1962","10","15.5","","6.8","","11.2","","22.2","","-3.3","","","M","","M","","M","0","",,"",,""
"1962-11","1962","11","7.1","","0.3","","3.7","","12.2","","-6.7","","71.9","","0.0","","71.9","","0","",,"",,""
"1962-12","1962","12","-0.4","","","M","","M","10.6","","-23.9","","","M","","M","","M","","M",,"",,""
"1963-01","1963","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-02","1963","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-03","1963","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-04","1963","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-05","1963","05","15.2","","6.1","","10.7","","22.2","S","-1.7","","63.2","","0.0","","63.2","","0","",,"",,""
"1963-06","1963","06","22.9","","11.6","","17.3","","28.9","","3.9","","","M","0.0","","","M","0","",,"",,""
"1963-07","1963","07","25.2","","14.6","","19.9","","31.1","","6.1","","81.0","","0.0","","81.0","","0","",,"",,""
"1963-08","1963","08","22.3","","12.9","","17.6","","26.1","","8.3","","104.1","","0.0","","104.1","","0","",,"",,""
"1963-09","1963","09","18.9","","8.3","","13.6","","23.3","S","0.0","","26.4","","0.0","","26.4","","0","",,"",,""
"1963-10","1963","10","18.2","","6.4","","12.3","","23.9","","-2.8","","14.5","","0.0","","14.5","","0","",,"",,""
"1963-11","1963","11","9.6","","3.2","","6.4","","15.0","","-4.4","","46.5","","1.3","","47.8","","0","",,"",,""
"1963-12","1963","12","-2.8","","-8.4","","-5.6","","8.3","","-16.7","S","","M","","M","","M","","M",,"",,""
"1964-01","1964","01","0.4","","-6.1","","-2.9","","7.8","","-17.8","S","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","-0.8","","-8.3","","-4.6","","5.6","","-13.3","","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","4.0","","-3.7","","0.2","","11.1","","-11.7","","82.3","","","M","","M","","M",,"",,""
"1964-04","1964","04","10.3","","1.8","","6.1","","20.6","","-8.9","S","","M","","M","","M","0","",,"",,""
"1964-05","1964","05","17.7","","7.7","","12.7","","22.8","S","1.1","","54.4","","0.0","","54.4","","0","",,"",,""
"1964-06","1964","06","21.8","","11.7","","16.8","","29.4","","3.9","","41.7","","0.0","","41.7","","0","",,"",,""
"1964-07","1964","07","26.3","","16.7","","21.5","","31.1","S","9.4","","65.8","","0.0","","65.8","","0","",,"",,""
"1964-08","1964","08","22.2","","13.3","","17.8","","31.7","","7.8","","230.1","","0.0","","230.1","","0","",,"",,""
"1964-09","1964","09","20.6","","10.9","","15.8","","26.1","","3.3","S","16.3","","0.0","","16.3","","0","",,"",,""
"1964-10","1964","10","13.8","","3.6","","8.7","","23.3","","-3.3","","26.4","","0.0","","26.4","","0","",,"",,""
"1964-11","1964","11","9.1","","1.6","","5.4","","16.1","","-7.8","","14.0","","3.6","","17.5","","0","",,"",,""
"1964-12","1964","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
