"Station Name","PORT COQUITLAM MARY HILL"
"Province","BRITISH COLUMBIA"
"Latitude","49.25"
"Longitude","-122.78"
"Elevation","63.00"
"Climate Identifier","110FKNF"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1988-01","1988","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-02","1988","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-03","1988","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-04","1988","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-05","1988","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-06","1988","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-07","1988","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-08","1988","08","","","","","","","","","","","32.2","","0.0","","32.2","","0","",,"",,""
"1988-09","1988","09","","","","","","","","","","","100.2","","0.0","","100.2","","0","",,"",,""
"1988-10","1988","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-11","1988","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-12","1988","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1989-01","1989","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1989-02","1989","02","","","","","","","","","","","78.4","E","9.6","E","88.0","E","0","",,"",,""
"1989-03","1989","03","","","","","","","","","","","200.7","","0.0","T","200.7","","0","",,"",,""
"1989-04","1989","04","","","","","","","","","","","84.3","","0.0","","84.3","","0","",,"",,""
"1989-05","1989","05","","","","","","","","","","","191.3","E","0.0","","191.3","E","0","",,"",,""
"1989-06","1989","06","","","","","","","","","","","91.0","E","0.0","","91.0","E","0","",,"",,""
"1989-07","1989","07","","","","","","","","","","","56.1","","0.0","","56.1","","0","",,"",,""
"1989-08","1989","08","","","","","","","","","","","94.1","E","0.0","","94.1","E","0","",,"",,""
"1989-09","1989","09","","","","","","","","","","","16.1","E","0.0","","16.1","E","0","",,"",,""
"1989-10","1989","10","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1989-11","1989","11","","","","","","","","","","","384.3","","0.0","","384.3","","0","",,"",,""
"1989-12","1989","12","","","","","","","","","","","","M","0.0","T","","M","0","",,"",,""
"1990-01","1990","01","","","","","","","","","","","313.0","E","46.2","E","359.2","E","","M",,"",,""
"1990-02","1990","02","","","","","","","","","","","190.3","E","53.6","E","243.9","E","0","",,"",,""
"1990-03","1990","03","","","","","","","","","","","143.2","","0.0","","143.2","","0","",,"",,""
"1990-04","1990","04","","","","","","","","","","","117.8","","0.0","","117.8","","0","",,"",,""
"1990-05","1990","05","","","","","","","","","","","81.6","","0.0","","81.6","","0","",,"",,""
"1990-06","1990","06","","","","","","","","","","","126.6","","0.0","","126.6","","0","",,"",,""
"1990-07","1990","07","","","","","","","","","","","31.9","","0.0","","31.9","","0","",,"",,""
"1990-08","1990","08","","","","","","","","","","","59.7","","0.0","","59.7","","0","",,"",,""
"1990-09","1990","09","","","","","","","","","","","36.4","","0.0","","36.4","","0","",,"",,""
"1990-10","1990","10","","","","","","","","","","","207.4","","0.0","","207.4","","0","",,"",,""
"1990-11","1990","11","","","","","","","","","","","472.3","E","5.8","E","478.1","E","0","",,"",,""
"1990-12","1990","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
