"Station Name","POSTE DE CHAPAIS"
"Province","QUEBEC"
"Latitude","49.48"
"Longitude","-75.30"
"Elevation","381.00"
"Climate Identifier","7096205"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1967-01","1967","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1967-02","1967","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1967-03","1967","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1967-04","1967","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1967-05","1967","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1967-06","1967","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1967-07","1967","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1967-08","1967","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1967-09","1967","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1967-10","1967","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1967-11","1967","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1967-12","1967","12","-7.1","","-17.0","","-12.1","","6.1","","-37.8","","6.4","E","61.7","E","68.1","E","","",,"",,""
"1968-01","1968","01","-15.6","E","-28.3","E","-22.0","E","","M","","M","0.0","","27.9","","27.9","","66","",,"",,""
"1968-02","1968","02","-13.3","","-26.2","","-19.8","","0.0","","-40.6","","0.0","","62.5","","62.5","","79","",,"",,""
"1968-03","1968","03","-0.9","","-16.1","","-8.5","","13.3","","-39.4","","22.6","","18.0","","40.6","","46","",,"",,""
"1968-04","1968","04","7.8","","-6.1","","0.9","","20.0","","-20.0","","61.7","E","26.7","","88.4","E","0","",,"",,""
"1968-05","1968","05","15.1","","0.2","","7.7","","27.2","","-11.1","","15.5","","0.3","","15.7","","0","",,"",,""
"1968-06","1968","06","19.1","","6.8","","13.0","","26.1","","-1.1","","96.0","","0.0","","96.0","","0","",,"",,""
"1968-07","1968","07","21.2","","9.2","","15.2","","29.4","","1.7","","158.8","","0.0","","158.8","","0","",,"",,""
"1968-08","1968","08","17.8","","6.2","","12.0","","24.4","","0.0","S","118.4","","0.0","","118.4","","0","",,"",,""
"1968-09","1968","09","19.2","","7.5","","13.4","","29.4","","-1.1","","101.1","","0.0","","101.1","","0","",,"",,""
"1968-10","1968","10","8.9","E","1.8","E","5.4","E","","M","","M","","M","0.0","","101.6","E","","M",,"",,""
"1968-11","1968","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-12","1968","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
