"Station Name","PRINCE RUPERT AWOS"
"Province","BRITISH COLUMBIA"
"Latitude","54.29"
"Longitude","-130.44"
"Elevation","35.40"
"Climate Identifier","1066483"
"WMO Identifier","71898"
"TC Identifier","VPT"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2005-02","2005","02","6.7","","0.1","","3.4","","13.1","","-4.5","","","","","","232.5","I","","",,"",,""
"2005-03","2005","03","","","","","","","","","","","","","","","","","","",,"",,""
"2005-04","2005","04","","","","","","","","","","","","","","","","","","",,"",,""
"2005-05","2005","05","","","","","","","","","","","","","","","","","","",,"",,""
"2005-06","2005","06","16.8","","10.2","","13.5","","28.8","","6.8","","","","","","22.5","","","",,"",,""
"2005-07","2005","07","16.6","E","11.9","","14.4","E","18.8","B","8.4","","","","","","154.0","","","",,"",,""
"2005-08","2005","08","18.3","","12.4","","15.3","","27.9","","9.1","","","","","","120.5","","","",,"",,""
"2005-09","2005","09","15.1","","9.0","","12.1","","18.4","","4.7","","","","","","222.5","","","",,"",,""
"2005-10","2005","10","11.4","E","6.1","","8.8","E","14.9","","-0.1","","","","","","376.6","","","",,"",,""
"2005-11","2005","11","7.9","","3.2","","5.6","","13.2","","-6.2","","","","","","284.5","","","",,"",,""
"2005-12","2005","12","7.4","","1.8","","4.6","","13.9","","-8.5","","","","","","197.5","","","",,"",,""
"2006-01","2006","01","6.5","","2.3","","4.4","","10.7","","-0.5","","","","","","252.5","","","",,"",,""
"2006-02","2006","02","5.9","","-0.7","","2.6","","11.2","","-8.9","","","","","","96.5","","","",,"",,""
"2006-03","2006","03","7.0","","-1.0","","3.0","","12.5","","-10.3","","","","","","78.5","","","",,"",,""
"2006-04","2006","04","9.5","","2.8","","6.2","","14.3","","-0.5","","","","","","351.0","E","","",,"",,""
"2006-05","2006","05","13.4","","6.2","","9.8","","23.2","","0.9","","","","","","92.0","E","","",,"",,""
"2006-06","2006","06","15.9","","9.6","","12.8","","18.8","","7.3","","","","","","76.0","E","","",,"",,""
"2006-07","2006","07","16.9","","11.4","","14.2","","23.0","","8.6","","","","","","69.0","","","",,"",,""
"2006-08","2006","08","16.2","","10.9","","13.6","","18.0","","7.8","","","","","","123.0","","","",,"",,""
"2006-09","2006","09","15.2","","9.9","","12.6","","19.0","","4.2","","","","","","221.0","E","","",,"",,""
"2006-10","2006","10","11.2","","5.4","","8.3","","15.5","","-2.0","","","","","","173.0","","","",,"",,""
"2006-11","2006","11","4.2","","-1.7","","1.3","","11.6","","-15.3","","","","","","291.5","","","",,"",,""
"2006-12","2006","12","7.3","","2.4","","4.8","","11.8","","-2.1","","","","","","259.5","E","","",,"",,""
"2007-01","2007","01","5.1","","0.2","","2.7","","10.3","","-9.3","","","","","","252.5","","","",,"",,""
"2007-02","2007","02","6.5","","1.3","","3.9","","10.5","","-6.1","","","","","","214.0","","","",,"",,""
