"Station Name","QUALICUM BEACH AIRPORT"
"Province","BRITISH COLUMBIA"
"Latitude","49.34"
"Longitude","-124.39"
"Elevation","58.20"
"Climate Identifier","1026562"
"WMO Identifier","71766"
"TC Identifier","VOQ"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-11","2006","11","1.9","I","-4.2","I","-1.2","I","4.0","I","-6.0","I","","","","","73.3","I","8","",,"",,""
