"Station Name","QUALICUM R FISH RESEARCH"
"Province","BRITISH COLUMBIA"
"Latitude","49.39"
"Longitude","-124.62"
"Elevation","7.60"
"Climate Identifier","1026565"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1962-01","1962","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-05","1962","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-06","1962","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-07","1962","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-08","1962","08","","M","","M","","M","23.9","","7.8","","","M","0.0","","","M","0","",,"",,""
"1962-09","1962","09","18.7","","8.7","","13.7","","23.9","","5.6","S","63.2","","0.0","","63.2","","0","",,"",,""
"1962-10","1962","10","13.4","","6.5","","10.0","","17.8","","2.2","","124.7","","0.0","","124.7","","0","",,"",,""
"1962-11","1962","11","9.4","","3.9","","6.7","","14.4","","0.0","","302.8","","0.0","","302.8","","0","",,"",,""
"1962-12","1962","12","7.9","","2.9","","5.4","","13.9","","-3.3","S","258.8","","0.0","","258.8","","0","",,"",,""
"1963-01","1963","01","4.8","","-1.3","","1.8","","9.4","","-7.8","S","26.4","","0.0","","26.4","","0","",,"",,""
"1963-02","1963","02","10.0","","2.8","","6.4","","13.9","","-6.1","","194.8","","0.0","","194.8","","0","",,"",,""
"1963-03","1963","03","","M","","M","","M","13.9","","-2.2","","","M","1.3","","","M","0","",,"",,""
"1963-04","1963","04","12.9","","3.9","","8.4","","18.3","","0.0","","73.4","","0.0","","73.4","","0","",,"",,""
"1963-05","1963","05","17.4","","6.2","","11.8","","26.1","","1.7","S","38.6","","0.0","","38.6","","0","",,"",,""
"1963-06","1963","06","19.8","","10.1","","15.0","","27.8","S","6.1","S","51.8","","0.0","","51.8","","0","",,"",,""
"1963-07","1963","07","20.3","","11.5","","15.9","","25.6","","7.2","","60.5","","0.0","","60.5","","0","",,"",,""
"1963-08","1963","08","21.9","","12.5","","17.2","","26.7","S","9.4","","15.5","","0.0","","15.5","","0","",,"",,""
"1963-09","1963","09","20.7","","10.4","","15.6","","26.7","","5.0","","22.1","","0.0","","22.1","","0","",,"",,""
"1963-10","1963","10","13.8","","6.9","","10.4","","19.4","","1.7","","246.9","","0.0","","246.9","","0","",,"",,""
"1963-11","1963","11","8.7","","2.3","","5.5","","13.3","","-2.8","","183.6","","0.0","","183.6","","0","",,"",,""
"1963-12","1963","12","","M","1.5","","","M","15.0","","-3.9","","344.4","","0.0","","344.4","","0","",,"",,""
"1964-01","1964","01","6.4","","1.8","","4.1","","10.0","S","-0.6","S","258.3","","7.6","","265.9","","0","",,"",,""
"1964-02","1964","02","7.9","","0.3","","4.1","","13.3","","-2.2","S","61.5","","0.0","","61.5","","0","",,"",,""
"1964-03","1964","03","9.1","","1.9","","5.5","","18.9","","-1.1","S","123.7","","0.0","","123.7","","0","",,"",,""
"1964-04","1964","04","12.2","","3.2","","7.7","","15.0","","-1.1","S","29.5","","0.0","","29.5","","0","",,"",,""
"1964-05","1964","05","15.2","","5.5","","10.4","","22.8","","0.6","","","M","0.0","","","M","0","",,"",,""
"1964-06","1964","06","18.0","","10.8","","14.4","","22.8","","6.7","S","34.0","","0.0","","34.0","","0","",,"",,""
"1964-07","1964","07","19.4","","11.4","","15.4","","23.9","S","8.3","","83.1","","0.0","","83.1","","0","",,"",,""
"1964-08","1964","08","20.3","","11.3","","15.8","","25.6","","6.1","","38.1","","0.0","","38.1","","0","",,"",,""
"1964-09","1964","09","17.0","","8.3","","12.7","","21.7","S","3.3","","58.2","","0.0","","58.2","","0","",,"",,""
"1964-10","1964","10","13.3","","5.2","","9.3","","20.6","","-1.1","","61.7","","0.0","","61.7","","0","",,"",,""
"1964-11","1964","11","7.3","","1.8","","4.6","","13.9","","-2.8","","166.9","","5.1","","172.0","","","M",,"",,""
"1964-12","1964","12","3.8","","-1.2","","1.3","","10.6","","-11.7","","90.4","","49.5","","140.0","","","M",,"",,""
"1965-01","1965","01","4.2","","-0.2","","2.0","","10.0","","-8.3","","81.8","","48.3","","130.0","","0","",,"",,""
"1965-02","1965","02","7.2","","1.9","","4.6","","11.7","S","-2.2","","152.9","","5.1","","158.0","","","M",,"",,""
"1965-03","1965","03","9.3","","0.9","","5.1","","15.6","","-2.2","S","43.9","","0.0","","43.9","","","M",,"",,""
"1965-04","1965","04","12.6","","5.1","","8.9","","17.2","","0.6","","54.4","","0.0","","54.4","","0","",,"",,""
