"Station Name","RAMORE TS"
"Province","ONTARIO"
"Latitude","48.33"
"Longitude","-80.43"
"Elevation","286.50"
"Climate Identifier","6076870"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1960-01","1960","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-02","1960","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-03","1960","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-04","1960","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-05","1960","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-06","1960","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-07","1960","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-08","1960","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-09","1960","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-10","1960","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-11","1960","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-12","1960","12","","","","","","","","","","","2.3","","39.1","","41.4","","","",,"",,""
"1961-01","1961","01","","","","","","","","","","","0.0","T","13.5","","13.5","","18","",,"",,""
"1961-02","1961","02","","","","","","","","","","","0.0","","42.9","","42.9","","43","",,"",,""
"1961-03","1961","03","","","","","","","","","","","1.0","","42.2","","43.2","","36","",,"",,""
"1961-04","1961","04","","","","","","","","","","","16.0","","14.0","","30.0","","","M",,"",,""
"1961-05","1961","05","","","","","","","","","","","54.9","","0.0","T","54.9","","","M",,"",,""
"1961-06","1961","06","","","","","","","","","","","97.8","","0.0","","97.8","","","M",,"",,""
"1961-07","1961","07","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1961-08","1961","08","","","","","","","","","","","126.5","","0.0","","126.5","","","M",,"",,""
"1961-09","1961","09","","","","","","","","","","","156.2","","0.0","T","156.2","","","M",,"",,""
"1961-10","1961","10","","","","","","","","","","","63.2","","2.5","","65.8","","","M",,"",,""
"1961-11","1961","11","","","","","","","","","","","21.8","","50.0","","71.9","","","M",,"",,""
"1961-12","1961","12","","","","","","","","","","","15.2","","41.9","","57.2","","36","",,"",,""
"1962-01","1962","01","","","","","","","","","","","0.0","","43.2","","43.2","","58","",,"",,""
"1962-02","1962","02","","","","","","","","","","","0.0","","75.7","","75.7","","94","",,"",,""
"1962-03","1962","03","","","","","","","","","","","11.7","","2.5","","14.2","","51","",,"",,""
"1962-04","1962","04","","","","","","","","","","","42.2","","0.0","T","42.2","","0","T",,"",,""
"1962-05","1962","05","","","","","","","","","","","58.7","","0.0","","58.7","","0","",,"",,""
"1962-06","1962","06","","","","","","","","","","","36.3","","0.0","","36.3","","0","",,"",,""
"1962-07","1962","07","","","","","","","","","","","75.9","","0.0","","75.9","","0","",,"",,""
"1962-08","1962","08","","","","","","","","","","","162.3","","0.0","","162.3","","0","",,"",,""
"1962-09","1962","09","","","","","","","","","","","72.6","","0.0","","72.6","","0","",,"",,""
"1962-10","1962","10","","","","","","","","","","","16.5","","8.4","","24.9","","","M",,"",,""
"1962-11","1962","11","","","","","","","","","","","10.9","","2.5","","13.5","","0","",,"",,""
