"Station Name","RAPIDE DES JOACHIMS"
"Province","QUEBEC"
"Latitude","46.20"
"Longitude","-77.70"
"Elevation","137.20"
"Climate Identifier","7086380"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1976-01","1976","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-02","1976","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-03","1976","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-04","1976","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-05","1976","05","17.2","","3.2","","10.2","","28.9","","-2.8","","89.9","","0.0","","89.9","","0","",,"",,""
"1976-06","1976","06","26.9","","11.6","","19.3","","32.2","S","3.3","","65.5","","0.0","","65.5","","0","",,"",,""
"1976-07","1976","07","","M","11.8","","","M","32.2","","5.0","","89.2","","0.0","","89.2","","0","",,"",,""
"1976-08","1976","08","23.4","","10.8","","17.1","","31.1","","1.7","","66.3","","0.0","","66.3","","0","",,"",,""
"1976-09","1976","09","","M","","M","","M","","M","","M","40.1","","0.0","","40.1","","0","",,"",,""
"1976-10","1976","10","9.4","","-0.1","","4.7","","23.9","S","-8.3","S","","M","","M","","M","0","",,"",,""
"1976-11","1976","11","-0.6","","-7.8","","-4.2","","4.4","S","-20.6","","0.0","T","7.4","","7.4","","5","",,"",,""
"1976-12","1976","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-01","1977","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-02","1977","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-03","1977","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-04","1977","04","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1977-05","1977","05","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1977-06","1977","06","21.9","","9.4","","15.7","","31.1","","1.7","S","23.7","","0.0","","23.7","","0","",,"",,""
"1977-07","1977","07","26.3","","12.6","","19.5","","35.6","","6.1","","63.0","","0.0","","63.0","","0","",,"",,""
"1977-08","1977","08","22.4","","11.1","","16.8","","30.6","","6.1","S","74.2","","0.0","","74.2","","0","",,"",,""
"1977-09","1977","09","17.2","","7.7","","12.5","","27.8","","0.0","","54.1","","0.0","","54.1","","0","",,"",,""
"1977-10","1977","10","10.8","","0.0","","5.4","","","M","-7.8","","46.7","","0.0","","46.7","","0","",,"",,""
"1977-11","1977","11","4.8","","-4.2","","0.3","","18.3","","-17.8","","","M","","M","","M","12","",,"",,""
"1977-12","1977","12","-5.6","","-14.5","","-10.1","","7.2","","","M","20.1","","","M","","M","22","",,"",,""
"1978-01","1978","01","","M","-22.5","","","M","","M","-37.2","","0.0","","33.7","","33.7","","55","",,"",,""
"1978-02","1978","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1978-03","1978","03","1.0","","-15.0","","-7.0","","7.8","","-31.1","","6.1","","11.1","","17.2","","40","",,"",,""
