"Station Name","REVELSTOKE MT COPELAND"
"Province","BRITISH COLUMBIA"
"Latitude","51.20"
"Longitude","-118.38"
"Elevation","1847.10"
"Climate Identifier","1176753"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1969-01","1969","01","","M","","M","","M","","M","-31.1","S","","M","","M","","M","348","",,"",,""
"1969-02","1969","02","-4.8","","-12.2","","-8.5","","1.1","S","-22.2","","0.0","","251.5","","251.5","","389","",,"",,""
"1969-03","1969","03","0.2","","-8.3","","-4.1","","7.2","","-13.9","","2.3","","148.6","","150.9","","394","",,"",,""
"1969-04","1969","04","3.8","","-3.6","","0.1","","11.1","","-8.3","","18.8","","152.1","","170.9","","384","",,"",,""
"1969-05","1969","05","8.9","","0.4","","4.7","","13.3","","-3.3","S","57.7","","28.4","","86.1","","249","",,"",,""
"1969-06","1969","06","13.1","","4.9","","9.0","","20.6","","0.0","","131.6","","0.0","","131.6","","0","",,"",,""
"1969-07","1969","07","13.4","","4.7","","9.1","","20.6","","-0.6","","105.9","","0.0","T","105.9","","0","",,"",,""
"1969-08","1969","08","13.4","","4.9","","9.2","","22.8","","0.0","","83.8","","11.9","","95.8","","0","",,"",,""
"1969-09","1969","09","8.6","","2.6","","5.6","","21.7","","-1.7","","223.3","","50.5","","273.8","","0","",,"",,""
"1969-10","1969","10","2.9","","-3.1","","-0.1","","7.2","","-8.9","S","20.8","","88.9","","109.7","","0","",,"",,""
"1969-11","1969","11","-1.8","","-6.9","","-4.4","","3.3","","-15.6","","0.0","","309.9","","309.9","","127","",,"",,""
"1969-12","1969","12","-4.9","","-10.7","","-7.8","","0.6","","-16.7","S","0.0","","120.9","","120.9","","203","",,"",,""
"1970-01","1970","01","-7.9","","-14.1","","-11.0","","-2.2","","-25.0","","0.0","","358.1","","358.1","","305","",,"",,""
"1970-02","1970","02","-1.8","","-8.6","","-5.2","","3.3","","-15.0","","0.0","","134.6","","134.6","","290","",,"",,""
"1970-03","1970","03","-2.7","","-10.1","","-6.4","","3.3","","-21.1","","0.0","","269.2","","269.2","","335","",,"",,""
"1970-04","1970","04","0.2","","-7.9","","-3.9","","3.3","S","-15.6","","0.0","","175.3","","175.3","","356","",,"",,""
"1970-05","1970","05","6.4","","-1.0","","2.7","","11.7","S","-7.8","","56.9","","33.0","","89.9","","231","",,"",,""
"1970-06","1970","06","12.2","","4.0","","8.1","","20.6","","-2.2","","58.7","","0.0","T","58.7","","0","",,"",,""
"1970-07","1970","07","16.6","","7.3","","12.0","","22.2","S","1.7","","129.8","","0.0","T","129.8","","0","",,"",,""
"1970-08","1970","08","16.7","","7.3","","12.0","","22.8","","1.7","","26.2","","0.0","","26.2","","0","",,"",,""
"1970-09","1970","09","5.4","","-0.2","","2.6","","14.4","S","-7.2","","93.0","","44.5","","137.4","","0","",,"",,""
"1970-10","1970","10","1.8","","-4.2","","-1.2","","15.0","","-14.4","","20.8","","93.5","","114.3","","41","",,"",,""
"1970-11","1970","11","-3.7","","-9.7","","-6.7","","7.8","","-27.2","","0.0","","303.8","","303.8","","157","",,"",,""
"1970-12","1970","12","-7.6","","-14.2","","-10.9","","-0.6","S","-25.6","","0.0","","407.7","","407.7","","259","",,"",,""
"1971-01","1971","01","-5.8","","-11.6","","-8.7","","2.8","","-24.4","","0.0","T","466.1","","466.1","","381","",,"",,""
"1971-02","1971","02","-5.6","","-11.7","","-8.7","","1.7","","-22.2","","0.0","T","308.4","","308.4","","419","",,"",,""
"1971-03","1971","03","-5.3","","-11.9","","-8.6","","1.1","","-23.3","","0.0","","399.5","","399.5","","516","",,"",,""
"1971-04","1971","04","4.1","","-5.6","","-0.8","","","M","-15.0","","0.0","","142.2","","142.2","","424","",,"",,""
"1971-05","1971","05","","M","","M","","M","14.4","","","M","0.0","T","29.2","","29.2","","272","",,"",,""
"1971-06","1971","06","7.6","","2.0","","4.8","","17.2","","","M","111.8","","53.8","","165.6","","152","",,"",,""
"1971-07","1971","07","","M","","M","","M","","M","","M","14.2","","0.0","T","14.2","","","M",,"",,""
"1971-08","1971","08","","M","","M","","M","","M","6.1","S","26.7","","0.0","","26.7","","0","",,"",,""
"1971-09","1971","09","5.9","","","M","","M","13.3","","","M","56.4","","26.2","","82.6","","0","",,"",,""
"1971-10","1971","10","","M","","M","","M","14.4","","-19.4","","3.6","","130.0","","133.6","","84","",,"",,""
"1971-11","1971","11","","M","","M","","M","0.6","S","","M","0.0","","379.5","","379.5","","216","",,"",,""
"1971-12","1971","12","-9.4","","-16.5","","-13.0","","-4.4","S","-23.3","","0.0","","485.1","","485.1","","307","",,"",,""
"1972-01","1972","01","","M","","M","","M","-1.1","","-30.0","","0.0","","400.6","","400.6","","","M",,"",,""
"1972-02","1972","02","-6.3","","-11.5","","-8.9","","0.6","","-23.3","","0.0","","453.9","","453.9","","427","",,"",,""
"1972-03","1972","03","-1.1","E","-6.9","E","-4.0","E","","M","-15.0","","0.0","T","253.0","","253.0","","404","",,"",,""
"1972-04","1972","04","0.6","","-5.9","","-2.7","","7.8","","-11.1","","0.0","","245.1","","245.1","","414","",,"",,""
"1972-05","1972","05","","M","0.3","","","M","17.2","","-5.0","","66.5","","32.5","","99.1","","249","",,"",,""
"1972-06","1972","06","8.6","","2.5","","5.6","","13.3","S","-2.2","S","154.9","","40.6","","195.6","","0","",,"",,""
"1972-07","1972","07","12.6","","5.1","","8.9","","20.0","","-0.6","","147.1","","0.0","T","147.1","","0","",,"",,""
"1972-08","1972","08","16.4","","7.6","","12.0","","23.3","","1.7","","51.3","","0.0","","51.3","","0","",,"",,""
"1972-09","1972","09","4.4","","-1.2","","1.6","","16.1","","-12.8","","78.2","","179.1","","257.3","","0","",,"",,""
"1972-10","1972","10","3.2","","-2.5","","0.4","","11.7","","-13.3","","6.9","","98.6","","105.4","","43","",,"",,""
"1972-11","1972","11","-3.9","","-7.1","","-5.5","","0.0","","-15.0","","0.0","","247.9","","247.9","","109","",,"",,""
"1972-12","1972","12","-10.1","","-14.6","","-12.4","","-1.1","S","-29.4","","0.0","","","M","","M","","M",,"",,""
"1973-01","1973","01","-9.2","E","-13.8","E","-11.5","E","0.0","S","-27.8","S","0.0","","289.1","","289.1","","300","",,"",,""
"1973-02","1973","02","-5.0","","-9.2","","-7.1","","3.9","","-18.3","","0.0","","217.4","","217.4","","330","",,"",,""
"1973-03","1973","03","-2.9","","-8.2","","-5.6","","2.2","","-14.4","","0.0","","268.2","","268.2","","353","",,"",,""
"1973-04","1973","04","0.4","","-6.7","","-3.2","","5.6","","-13.3","","0.0","T","82.6","","82.6","","328","",,"",,""
"1973-05","1973","05","6.2","","0.2","","3.2","","13.9","","-8.9","","56.4","","53.6","","110.0","","221","",,"",,""
"1973-06","1973","06","8.2","","2.6","","5.4","","17.8","","-2.2","S","88.9","","14.7","","103.6","","74","",,"",,""
"1973-07","1973","07","14.7","","6.7","","10.7","","23.3","S","1.1","","63.2","","0.0","T","63.2","","0","",,"",,""
"1973-08","1973","08","14.7","","6.7","","10.7","","23.3","S","-1.1","S","66.8","","0.0","T","66.8","","0","",,"",,""
"1973-09","1973","09","9.7","","4.3","","7.0","","20.0","S","-1.1","S","91.4","","9.1","","100.6","","0","",,"",,""
"1973-10","1973","10","0.6","","-1.9","","-0.7","","6.7","","-8.3","","78.0","","165.1","","243.1","","0","",,"",,""
"1973-11","1973","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-12","1973","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
