"Station Name","RICHMOND BROADMOOR"
"Province","BRITISH COLUMBIA"
"Latitude","49.13"
"Longitude","-123.13"
"Elevation","1.00"
"Climate Identifier","1106763"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1986-01","1986","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-02","1986","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-03","1986","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-04","1986","04","12.4","","4.6","","8.5","","20.5","","-1.0","","98.7","","0.0","","98.7","","0","",,"",,""
"1986-05","1986","05","17.7","","8.2","","13.0","","25.0","S","3.5","","85.3","","0.0","","85.3","","0","",,"",,""
"1986-06","1986","06","21.5","","11.3","","16.4","","28.0","","7.5","","47.1","","0.0","","47.1","","0","",,"",,""
"1986-07","1986","07","21.5","","11.5","","16.5","","26.0","","6.0","","37.8","","0.0","","37.8","","0","",,"",,""
"1986-08","1986","08","24.7","","13.8","","19.3","","30.0","","9.0","","0.2","","0.0","","0.2","","0","",,"",,""
"1986-09","1986","09","19.2","","9.5","","14.4","","28.5","","5.0","","58.1","","0.0","","58.1","","0","",,"",,""
"1986-10","1986","10","14.7","","6.2","","10.5","","18.5","","1.5","S","41.5","","0.0","","41.5","","0","",,"",,""
"1986-11","1986","11","8.6","","3.1","","5.9","","12.0","S","-3.0","","158.7","","0.9","","159.6","","0","",,"",,""
"1986-12","1986","12","6.9","","1.2","","4.1","","11.0","","-5.0","","153.7","","0.0","","153.7","","0","",,"",,""
"1987-01","1987","01","6.4","","1.0","","3.7","","12.0","","-5.5","S","130.2","","0.6","","130.8","","0","",,"",,""
"1987-02","1987","02","9.6","","2.6","","6.1","","14.0","","-2.5","S","51.7","","2.2","","53.9","","0","",,"",,""
"1987-03","1987","03","12.2","","3.7","","8.0","","18.0","","-1.5","","111.7","","0.0","","111.7","","0","",,"",,""
"1987-04","1987","04","15.6","","5.6","","10.6","","28.0","","1.5","S","68.3","","0.0","","68.3","","0","",,"",,""
"1987-05","1987","05","18.9","","8.3","","13.6","","25.0","","5.0","S","71.1","","0.0","","71.1","","0","",,"",,""
"1987-06","1987","06","21.8","","10.5","","16.2","","30.0","S","6.0","","13.1","","0.0","","13.1","","0","",,"",,""
"1987-07","1987","07","22.6","","12.6","","17.6","","28.5","","8.5","","39.5","","0.0","","39.5","","0","",,"",,""
"1987-08","1987","08","23.8","","11.9","","17.9","","29.5","","6.5","","19.9","","0.0","","19.9","","0","",,"",,""
"1987-09","1987","09","21.1","","9.9","","15.5","","29.5","","4.5","S","23.4","","0.0","","23.4","","0","",,"",,""
"1987-10","1987","10","15.5","","4.8","","10.2","","22.0","","0.0","S","18.8","","0.0","","18.8","","0","",,"",,""
"1987-11","1987","11","10.3","","4.8","","7.6","","14.0","S","-3.5","","131.5","","0.0","","131.5","","0","",,"",,""
"1987-12","1987","12","5.5","","0.0","","2.8","","12.0","S","-6.0","","121.7","","11.5","","133.2","","0","",,"",,""
"1988-01","1988","01","5.7","","-0.5","","2.6","","12.0","","-8.0","S","82.5","","2.7","","85.2","","0","",,"",,""
"1988-02","1988","02","8.3","","1.8","","5.1","","13.0","S","-9.5","","60.1","","2.4","","62.5","","0","",,"",,""
"1988-03","1988","03","10.5","","2.5","","6.5","","15.5","","-2.5","","111.4","","0.0","","111.4","","0","",,"",,""
"1988-04","1988","04","14.5","","5.2","","9.9","","20.5","","-1.0","","88.1","","1.6","","89.7","","0","",,"",,""
"1988-05","1988","05","17.5","","7.5","","12.5","","25.0","","2.5","","146.7","","0.0","","146.7","","0","",,"",,""
"1988-06","1988","06","20.6","","10.0","","15.3","","29.0","","4.5","","29.7","","0.0","","29.7","","0","",,"",,""
"1988-07","1988","07","23.7","","11.6","","17.7","","32.0","","7.5","","25.0","","0.0","","25.0","","0","",,"",,""
"1988-08","1988","08","23.1","","12.1","","17.6","","29.0","S","8.0","","25.5","","0.0","","25.5","","0","",,"",,""
"1988-09","1988","09","19.5","","8.7","","14.1","","31.0","","4.5","","77.3","","0.0","","77.3","","0","",,"",,""
"1988-10","1988","10","13.9","","7.8","","10.9","","21.5","","-1.0","","108.0","","0.0","","108.0","","0","",,"",,""
"1988-11","1988","11","8.9","","3.9","","6.4","","12.5","","-2.0","","203.2","","2.4","","205.6","","0","",,"",,""
"1988-12","1988","12","6.8","","1.3","","4.1","","11.0","","-4.0","S","161.1","","4.0","","165.1","","0","",,"",,""
"1989-01","1989","01","5.8","","0.2","","3.0","","12.0","","-5.0","","118.7","E","19.7","E","138.4","E","0","",,"",,""
"1989-02","1989","02","4.2","","-4.2","","0.0","","9.5","S","-14.0","","50.6","","19.1","","69.7","","0","",,"",,""
"1989-03","1989","03","9.3","","1.4","","5.4","","13.0","S","-7.0","","103.5","","2.5","","106.0","","0","",,"",,""
"1989-04","1989","04","16.2","","4.9","","10.6","","24.5","","0.5","","36.8","","0.0","","36.8","","0","",,"",,""
"1989-05","1989","05","18.3","","7.6","","13.0","","24.0","","3.5","","79.4","","0.0","","79.4","","0","",,"",,""
"1989-06","1989","06","22.0","","10.8","","16.4","","29.0","S","7.5","S","45.5","","0.0","","45.5","","0","",,"",,""
"1989-07","1989","07","22.8","","11.7","","17.3","","25.5","","9.5","S","28.4","","0.0","","28.4","","0","",,"",,""
"1989-08","1989","08","22.2","","11.7","","17.0","","27.5","","9.0","S","61.3","","0.0","","61.3","","0","",,"",,""
"1989-09","1989","09","21.1","","8.7","","14.9","","26.5","","5.0","","9.4","","0.0","","9.4","","0","",,"",,""
"1989-10","1989","10","13.4","","6.2","","9.8","","18.0","","-2.0","","86.9","","0.0","","86.9","","0","",,"",,""
"1989-11","1989","11","9.1","","3.4","","6.3","","14.0","","-2.5","","183.7","","0.0","","183.7","","0","",,"",,""
"1989-12","1989","12","6.7","","1.7","","4.2","","12.0","S","-3.5","","127.0","","0.0","","127.0","","0","",,"",,""
"1990-01","1990","01","6.6","","0.9","","3.8","","10.0","S","-3.5","S","162.7","","11.3","","174.0","","0","",,"",,""
"1990-02","1990","02","5.5","","-1.9","","1.8","","12.0","","-12.0","","80.3","E","32.0","E","112.3","E","0","",,"",,""
"1990-03","1990","03","11.4","","1.5","","6.5","","15.5","S","-3.5","S","75.4","","1.0","","76.4","","0","",,"",,""
"1990-04","1990","04","15.5","","5.8","","10.7","","22.5","","1.0","S","89.4","","0.0","","89.4","","0","",,"",,""
"1990-05","1990","05","17.9","","8.1","","13.0","","24.5","","4.0","","54.9","","0.0","","54.9","","0","",,"",,""
"1990-06","1990","06","20.1","","10.3","","15.2","","27.0","","7.0","","98.5","","0.0","","98.5","","0","",,"",,""
"1990-07","1990","07","24.8","","13.2","","19.0","","32.0","","10.0","","7.5","","0.0","","7.5","","0","",,"",,""
"1990-08","1990","08","24.6","","12.7","","18.7","","32.0","","7.5","","40.1","","0.0","","40.1","","0","",,"",,""
"1990-09","1990","09","21.1","","10.6","","15.9","","26.5","","4.0","","39.9","","0.0","","39.9","","0","",,"",,""
"1990-10","1990","10","12.4","","5.7","","9.1","","17.0","","1.0","","123.8","","0.0","","123.8","","0","",,"",,""
"1990-11","1990","11","8.8","","3.1","","6.0","","14.0","","-2.0","S","216.4","","1.0","","217.4","","0","",,"",,""
"1990-12","1990","12","3.0","","-2.9","","0.1","","9.0","","-16.0","","130.7","","42.8","","173.5","","14","",,"",,""
"1991-01","1991","01","4.1","","-2.4","","0.9","","9.0","","-11.0","","105.9","","53.7","","159.6","","0","",,"",,""
"1991-02","1991","02","10.1","E","3.2","E","6.7","E","13.0","B","-2.5","E","115.3","","0.0","T","115.3","","0","",,"",,""
"1991-03","1991","03","9.7","E","0.4","E","5.0","E","15.5","E","-4.0","E","74.2","E","18.5","","92.7","E","0","",,"",,""
"1991-04","1991","04","14.2","","3.3","","8.8","","20.0","","-2.0","","96.8","","0.5","","97.3","","0","",,"",,""
"1991-05","1991","05","17.0","","8.2","","12.6","","22.5","","4.0","","53.7","","0.0","","53.7","","0","",,"",,""
"1991-06","1991","06","19.0","","10.8","","15.0","","25.5","S","6.0","","59.7","","0.0","","59.7","","0","",,"",,""
"1991-07","1991","07","23.4","","13.6","","18.5","","32.0","","10.5","","29.0","","0.0","","29.0","","0","",,"",,""
"1991-08","1991","08","22.7","","14.1","","18.4","","28.0","S","9.5","","159.6","","0.0","","159.6","","0","",,"",,""
"1991-09","1991","09","20.2","","10.7","","15.5","","25.5","","6.5","","8.8","","0.0","","8.8","","0","",,"",,""
"1991-10","1991","10","13.0","","5.2","","9.1","","21.5","","-4.5","","26.3","","3.0","","29.3","","0","",,"",,""
"1991-11","1991","11","9.4","","4.4","","6.9","","14.0","","-1.5","","176.1","","0.0","","176.1","","0","",,"",,""
"1991-12","1991","12","7.5","E","2.7","E","5.0","E","10.0","B","-5.0","E","88.3","","0.0","","88.3","","0","",,"",,""
"1992-01","1992","01","8.1","","3.3","E","5.7","E","13.5","","-4.5","E","249.9","","0.0","","249.9","","0","",,"",,""
"1992-02","1992","02","9.8","","3.9","","6.9","","15.0","","-0.5","","87.7","","0.0","T","87.7","","0","",,"",,""
"1992-03","1992","03","13.5","","4.3","","8.9","","19.0","","-1.0","","21.6","","0.0","","21.6","","0","",,"",,""
"1992-04","1992","04","15.8","","6.6","","11.2","","22.0","S","0.5","","93.0","","0.0","","93.0","","0","",,"",,""
"1992-05","1992","05","20.0","E","9.3","E","14.7","E","27.0","E","3.0","E","16.3","","0.0","","16.3","","0","",,"",,""
"1992-06","1992","06","22.8","","13.0","","17.9","","30.0","","8.0","","81.5","","0.0","","81.5","","0","",,"",,""
"1992-07","1992","07","23.3","E","14.1","E","18.7","E","30.5","E","11.0","E","39.1","","0.0","","39.1","","0","",,"",,""
"1992-08","1992","08","23.8","I","13.3","I","18.6","I","29.0","I","9.5","I","22.9","","0.0","","22.9","","0","",,"",,""
"1992-09","1992","09","18.2","E","10.0","E","14.1","E","23.5","E","4.5","B","46.0","","0.0","","46.0","","0","",,"",,""
"1992-10","1992","10","13.8","E","8.3","E","11.1","E","21.0","E","-1.0","E","94.0","","0.0","","94.0","","0","",,"",,""
"1992-11","1992","11","8.7","","4.3","","6.5","","12.0","","-3.5","","146.3","","0.0","T","146.3","","0","",,"",,""
"1992-12","1992","12","4.4","E","-0.7","E","1.8","E","8.0","B","-9.0","B","77.7","E","35.0","E","112.7","E","11","",,"",,""
"1993-01","1993","01","2.8","","-3.8","E","-0.6","E","10.0","S","-13.5","E","82.6","","22.5","","105.1","","0","",,"",,""
"1993-02","1993","02","7.6","","-0.8","","3.4","","15.0","","-7.5","","5.6","","7.5","","13.1","","0","",,"",,""
"1993-03","1993","03","11.3","","3.9","","7.6","","15.0","","-1.0","","112.3","","0.0","","112.3","","0","",,"",,""
"1993-04","1993","04","14.1","E","6.9","E","10.5","E","21.0","E","3.0","E","117.6","","0.0","","117.6","","0","",,"",,""
"1993-05","1993","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
