"Station Name","RICHMOND MCLENNAN ROAD"
"Province","BRITISH COLUMBIA"
"Latitude","49.20"
"Longitude","-123.10"
"Elevation","1.80"
"Climate Identifier","1106766"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1970-01","1970","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-02","1970","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-03","1970","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1970-04","1970","04","","","","","","","","","","","142.2","E","0.0","","142.2","E","0","",,"",,""
"1970-05","1970","05","","","","","","","","","","","21.1","","0.0","","21.1","","0","",,"",,""
"1970-06","1970","06","","","","","","","","","","","25.7","","0.0","","25.7","","0","",,"",,""
"1970-07","1970","07","","","","","","","","","","","37.8","","0.0","","37.8","","0","",,"",,""
"1970-08","1970","08","","","","","","","","","","","9.4","","0.0","","9.4","","0","",,"",,""
"1970-09","1970","09","","","","","","","","","","","89.2","","0.0","","89.2","","0","",,"",,""
"1970-10","1970","10","","","","","","","","","","","79.8","","0.0","","79.8","","0","",,"",,""
"1970-11","1970","11","","","","","","","","","","","116.3","","3.3","","119.6","","0","",,"",,""
"1970-12","1970","12","","","","","","","","","","","204.5","","5.8","","210.3","","0","",,"",,""
"1971-01","1971","01","","","","","","","","","","","171.5","","95.0","","266.4","","0","",,"",,""
"1971-02","1971","02","","","","","","","","","","","136.7","","21.3","","158.0","","15","",,"",,""
"1971-03","1971","03","","","","","","","","","","","171.5","","2.8","","174.2","","0","",,"",,""
"1971-04","1971","04","","","","","","","","","","","53.6","","0.0","","53.6","","0","",,"",,""
"1971-05","1971","05","","","","","","","","","","","39.4","","0.0","","39.4","","0","",,"",,""
"1971-06","1971","06","","","","","","","","","","","68.8","","0.0","","68.8","","0","",,"",,""
"1971-07","1971","07","","","","","","","","","","","27.7","","0.0","","27.7","","0","",,"",,""
"1971-08","1971","08","","","","","","","","","","","31.8","","0.0","","31.8","","0","",,"",,""
"1971-09","1971","09","","","","","","","","","","","104.9","","0.0","","104.9","","0","",,"",,""
"1971-10","1971","10","","","","","","","","","","","161.0","","0.0","T","161.0","","0","",,"",,""
"1971-11","1971","11","","","","","","","","","","","191.5","","0.0","","191.5","","0","",,"",,""
"1971-12","1971","12","","","","","","","","","","","129.0","","65.5","","194.6","","13","",,"",,""
"1972-01","1972","01","","","","","","","","","","","71.1","","17.5","","88.6","","","M",,"",,""
"1972-02","1972","02","","","","","","","","","","","143.8","","1.3","","145.0","","0","",,"",,""
"1972-03","1972","03","","","","","","","","","","","190.2","","0.8","","191.0","","0","",,"",,""
"1972-04","1972","04","","","","","","","","","","","130.6","","0.8","","131.3","","0","",,"",,""
"1972-05","1972","05","","","","","","","","","","","39.1","","0.0","","39.1","","0","",,"",,""
"1972-06","1972","06","","","","","","","","","","","50.3","","0.0","","50.3","","0","",,"",,""
"1972-07","1972","07","","","","","","","","","","","95.0","","0.0","","95.0","","0","",,"",,""
"1972-08","1972","08","","","","","","","","","","","23.9","","0.0","","23.9","","0","",,"",,""
"1972-09","1972","09","","","","","","","","","","","88.1","","0.0","","88.1","","0","",,"",,""
"1972-10","1972","10","","","","","","","","","","","47.2","","0.0","","47.2","","0","",,"",,""
"1972-11","1972","11","","","","","","","","","","","121.4","","0.0","","121.4","","0","",,"",,""
"1972-12","1972","12","","","","","","","","","","","318.3","","14.5","","332.7","","0","",,"",,""
"1973-01","1973","01","","","","","","","","","","","158.5","","2.5","","161.0","","0","",,"",,""
"1973-02","1973","02","","","","","","","","","","","73.7","E","0.0","","73.7","E","","M",,"",,""
"1973-03","1973","03","","","","","","","","","","","79.5","","0.0","","79.5","","","M",,"",,""
"1973-04","1973","04","","","","","","","","","","","14.0","","0.0","","14.0","","","M",,"",,""
"1973-05","1973","05","","","","","","","","","","","54.6","","0.0","","54.6","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-07","1973","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-08","1973","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-09","1973","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-10","1973","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-11","1973","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-12","1973","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
