"Station Name","RISKE CREEK FTP"
"Province","BRITISH COLUMBIA"
"Latitude","52.02"
"Longitude","-122.52"
"Elevation","1005.80"
"Climate Identifier","1096775"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1965-01","1965","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-02","1965","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-03","1965","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-04","1965","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-05","1965","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-06","1965","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-07","1965","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-08","1965","08","22.6","","7.3","","15.0","","32.2","","1.7","S","79.0","","0.0","","79.0","","0","",,"",,""
"1965-09","1965","09","16.3","","2.1","","9.2","","22.8","S","-4.4","","14.2","","0.0","","14.2","","0","",,"",,""
"1965-10","1965","10","11.4","","-0.7","","5.4","","20.0","","-6.7","","31.5","","0.0","","31.5","","0","",,"",,""
"1965-11","1965","11","-0.3","","-8.9","","-4.6","","10.6","","-25.0","","","M","","M","","M","","M",,"",,""
"1965-12","1965","12","","M","","M","","M","5.6","","","M","","M","","M","","M","","M",,"",,""
"1966-01","1966","01","-9.7","","-18.4","","-14.1","","3.3","","-37.8","","0.0","","51.3","","51.3","","","M",,"",,""
"1966-02","1966","02","1.3","","-11.4","","-5.1","","8.3","","-21.1","","0.0","","8.1","","8.1","","","M",,"",,""
"1966-03","1966","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-04","1966","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-05","1966","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-06","1966","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-07","1966","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-08","1966","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-09","1966","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-10","1966","10","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1966-11","1966","11","-0.8","","-10.4","","-5.6","","15.0","","-27.8","","0.0","","21.3","","21.3","","13","",,"",,""
"1966-12","1966","12","-2.0","","-14.6","","-8.3","","7.8","","-30.0","","0.0","","29.7","","29.7","","28","",,"",,""
"1967-01","1967","01","-2.9","","-14.7","","-8.8","","3.3","S","-31.1","","0.0","","42.7","","42.7","","48","",,"",,""
"1967-02","1967","02","3.6","","-11.1","","-3.8","","8.3","","-20.6","","0.0","","14.2","","14.2","","46","",,"",,""
"1967-03","1967","03","1.9","","-14.1","","-6.1","","13.9","","-28.3","","0.0","T","8.9","","8.9","","46","",,"",,""
"1967-04","1967","04","8.1","","-5.1","","1.5","","13.3","","-19.4","","1.5","","11.2","","12.7","","0","",,"",,""
"1967-05","1967","05","14.6","","0.4","","7.5","","22.2","","-6.1","","29.2","","25.4","","54.6","","0","",,"",,""
"1967-06","1967","06","23.0","","6.8","","14.9","","30.0","","-0.6","","21.6","","0.0","","21.6","","0","",,"",,""
"1967-07","1967","07","22.2","","7.2","","14.7","","28.9","","1.7","","68.6","","0.0","","68.6","","0","",,"",,""
"1967-08","1967","08","26.3","","7.2","","16.8","","32.8","","0.0","S","12.2","","0.0","","12.2","","0","",,"",,""
