"Station Name","ROSEVALE"
"Province","NEW BRUNSWICK"
"Latitude","45.87"
"Longitude","-64.82"
"Elevation","274.30"
"Climate Identifier","8104475"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1964-01","1964","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-04","1964","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-05","1964","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-06","1964","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-07","1964","07","","","","","","","","","","","110.7","","0.0","","110.7","","0","",,"",,""
"1964-08","1964","08","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1964-09","1964","09","","","","","","","","","","","63.0","","0.0","","63.0","","0","",,"",,""
"1964-10","1964","10","","","","","","","","","","","122.9","","0.0","T","122.9","","0","",,"",,""
"1964-11","1964","11","","","","","","","","","","","58.4","","52.3","","110.7","","0","",,"",,""
"1964-12","1964","12","","","","","","","","","","","60.5","","132.1","","192.5","","38","",,"",,""
"1965-01","1965","01","","","","","","","","","","","4.1","","81.3","","85.3","","74","",,"",,""
"1965-02","1965","02","","","","","","","","","","","53.8","","50.8","","104.6","","58","",,"",,""
"1965-03","1965","03","","","","","","","","","","","16.3","","43.2","","59.4","","66","",,"",,""
"1965-04","1965","04","","","","","","","","","","","31.2","E","28.2","E","59.4","E","","M",,"",,""
"1965-05","1965","05","","","","","","","","","","","42.7","","0.0","","42.7","","0","",,"",,""
"1965-06","1965","06","","","","","","","","","","","59.9","","0.0","","59.9","","0","",,"",,""
"1965-07","1965","07","","","","","","","","","","","28.4","","0.0","","28.4","","0","",,"",,""
"1965-08","1965","08","","","","","","","","","","","","M","0.0","","91.4","E","0","",,"",,""
"1965-09","1965","09","","","","","","","","","","","26.9","","0.0","","26.9","","0","",,"",,""
"1965-10","1965","10","","","","","","","","","","","60.2","E","0.0","T","60.2","E","0","",,"",,""
"1965-11","1965","11","","","","","","","","","","","68.1","","33.8","","101.9","","25","",,"",,""
"1965-12","1965","12","","","","","","","","","","","57.4","","35.6","","93.0","","36","",,"",,""
"1966-01","1966","01","","","","","","","","","","","7.1","","138.2","","145.3","","112","",,"",,""
"1966-02","1966","02","","","","","","","","","","","14.5","","94.2","","108.7","","145","",,"",,""
"1966-03","1966","03","","","","","","","","","","","72.6","","53.6","","126.2","","","M",,"",,""
"1966-04","1966","04","","","","","","","","","","","3.6","","24.9","","28.4","","51","",,"",,""
"1966-05","1966","05","","","","","","","","","","","79.0","","5.1","","84.1","","0","",,"",,""
"1966-06","1966","06","","","","","","","","","","","91.4","","0.0","","91.4","","0","",,"",,""
"1966-07","1966","07","","","","","","","","","","","61.0","","0.0","","61.0","","0","",,"",,""
"1966-08","1966","08","","","","","","","","","","","35.3","","0.0","","35.3","","0","",,"",,""
"1966-09","1966","09","","","","","","","","","","","128.5","","0.0","","128.5","","0","",,"",,""
"1966-10","1966","10","","","","","","","","","","","105.9","","0.5","","106.4","","0","",,"",,""
"1966-11","1966","11","","","","","","","","","","","100.6","","5.1","","105.7","","0","",,"",,""
"1966-12","1966","12","","","","","","","","","","","57.4","","55.1","","112.5","","36","",,"",,""
"1967-01","1967","01","","","","","","","","","","","4.8","","97.3","","102.1","","69","",,"",,""
"1967-02","1967","02","","","","","","","","","","","10.2","E","106.7","E","116.8","E","137","",,"",,""
"1967-03","1967","03","","","","","","","","","","","3.6","","136.1","","139.7","","188","",,"",,""
"1967-04","1967","04","","","","","","","","","","","19.6","","38.1","","57.7","","114","",,"",,""
"1967-05","1967","05","","","","","","","","","","","200.9","","50.8","","251.7","","0","",,"",,""
"1967-06","1967","06","","","","","","","","","","","113.8","","0.0","","113.8","","0","",,"",,""
"1967-07","1967","07","","","","","","","","","","","98.6","","0.0","","98.6","","0","",,"",,""
"1967-08","1967","08","","","","","","","","","","","83.3","","0.0","","83.3","","0","",,"",,""
"1967-09","1967","09","","","","","","","","","","","151.6","","0.0","","151.6","","0","",,"",,""
"1967-10","1967","10","","","","","","","","","","","122.4","","0.0","","122.4","","0","",,"",,""
"1967-11","1967","11","","","","","","","","","","","88.4","","50.8","","139.2","","8","",,"",,""
"1967-12","1967","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-01","1968","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-02","1968","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-03","1968","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-04","1968","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-05","1968","05","","","","","","","","","","","56.9","","0.0","","56.9","","0","",,"",,""
"1968-06","1968","06","","","","","","","","","","","139.7","","0.0","","139.7","","0","",,"",,""
"1968-07","1968","07","","","","","","","","","","","14.2","","0.0","","14.2","","0","",,"",,""
