"Station Name","ROSEVILLE"
"Province","ONTARIO"
"Latitude","43.35"
"Longitude","-80.47"
"Elevation","328.00"
"Climate Identifier","6147188"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1972-01","1972","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-02","1972","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-03","1972","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-04","1972","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-05","1972","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-06","1972","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-07","1972","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-08","1972","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-09","1972","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-10","1972","10","","M","","M","","M","","M","-7.2","","","M","","M","","M","0","",,"",,""
"1972-11","1972","11","3.1","","-2.1","","0.5","","12.2","","-12.8","","45.2","","18.8","","64.0","","","M",,"",,""
"1972-12","1972","12","0.3","","-6.2","","-3.0","","8.9","","-15.6","S","59.4","","30.0","","89.4","","5","",,"",,""
"1973-01","1973","01","-1.5","","-8.1","","-4.8","","8.3","","-21.7","","24.6","","9.9","","34.5","","","M",,"",,""
"1973-02","1973","02","-3.1","","-12.3","","-7.7","","6.1","","-24.4","","20.8","","48.5","","69.3","","15","",,"",,""
"1973-03","1973","03","6.7","","-1.1","","2.8","","17.8","","-8.9","S","143.5","","20.3","","163.8","","","M",,"",,""
"1973-04","1973","04","11.3","","2.3","","6.8","","25.6","","-6.1","","53.6","","4.6","","58.2","","0","",,"",,""
"1973-05","1973","05","15.5","","6.4","","11.0","","22.8","","0.0","","79.2","","0.0","T","79.2","","0","",,"",,""
"1973-06","1973","06","24.3","","13.8","","19.1","","31.1","","8.9","S","68.1","","0.0","","68.1","","0","",,"",,""
"1973-07","1973","07","26.2","","14.5","","20.4","","30.6","S","7.2","","84.1","","0.0","","84.1","","0","",,"",,""
"1973-08","1973","08","26.7","","15.1","","20.9","","33.3","","5.0","","31.2","","0.0","","31.2","","0","",,"",,""
"1973-09","1973","09","22.3","","9.2","","15.8","","33.9","","-3.3","","50.0","","0.0","","50.0","","0","",,"",,""
"1973-10","1973","10","16.2","","6.1","","11.2","","23.9","","-1.7","","96.3","","0.0","","96.3","","0","",,"",,""
"1973-11","1973","11","5.8","","0.3","","3.1","","15.0","","-7.8","","98.3","","4.6","","102.9","","","M",,"",,""
"1973-12","1973","12","-1.6","","-7.9","","-4.8","","12.2","","-21.7","","22.1","","68.6","","90.7","","20","",,"",,""
"1974-01","1974","01","-2.1","","-9.9","","-6.0","","8.9","","-22.2","","48.8","","27.4","","76.2","","8","",,"",,""
"1974-02","1974","02","-4.1","","-11.8","","-8.0","","6.7","","-21.7","","34.5","","36.8","","71.4","","5","",,"",,""
"1974-03","1974","03","2.1","","-4.9","","-1.4","","15.6","","-17.2","","59.2","","14.0","","73.2","","0","T",,"",,""
"1974-04","1974","04","12.2","","2.1","","7.2","","25.0","","-6.1","","82.6","","1.0","","83.6","","","M",,"",,""
"1974-05","1974","05","15.9","","4.8","","10.4","","25.6","","-3.3","S","123.7","","1.0","","124.7","","0","",,"",,""
"1974-06","1974","06","22.6","","11.9","","17.3","","29.4","","6.1","","99.8","","0.0","","99.8","","0","",,"",,""
"1974-07","1974","07","25.8","","13.9","","19.9","","32.2","","8.3","","60.5","","0.0","","60.5","","0","",,"",,""
"1974-08","1974","08","25.4","E","13.0","E","19.2","E","31.1","","7.8","","47.8","","0.0","","47.8","","0","",,"",,""
"1974-09","1974","09","18.8","","7.6","","13.2","","26.7","","-3.3","","85.6","","0.0","","85.6","","0","",,"",,""
"1974-10","1974","10","12.8","","1.7","","7.3","","21.1","","-6.1","","36.6","","0.0","T","36.6","","0","",,"",,""
"1974-11","1974","11","5.8","","-0.2","","2.8","","20.0","","-9.4","","106.7","","3.8","","110.5","","","M",,"",,""
"1974-12","1974","12","0.1","","-5.3","","-2.6","","4.4","","-11.7","","4.3","","43.2","","47.5","","10","",,"",,""
"1975-01","1975","01","-0.7","","-8.3","","-4.5","","10.6","","-24.4","","45.0","","17.8","","62.7","","5","",,"",,""
